Benchmarking CTC - ATR  (kg/tc) - Safra 2025 (própria) ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;122,31;125,04;129,16;132,92;140,09;148,45;150,55;125,26;124,2;;;
2;Zilor - Quatá;;116,16;123,25;128,91;134,99;149,11;155;149,27;128,63;120,99;;;
3;Participante 3;;131,6;139,53;139,97;145,1;154,59;158,05;153,66;137,42;127,89;;;
4;Umoe Bioenergy;128,1;132,37;135,08;138,36;136,97;145,24;153,91;150,17;136,47;121,97;;;
5;Uisa;;101,71;110,05;119,65;120,74;131,12;141,75;139,06;118,11;100,58;;;
6;UPI - São Luiz;;110,39;119,8;123,79;128,26;143,39;145,38;151,04;138,66;;;;
7;Tietê - Ubarana;;118,17;126;130,69;138,66;145,99;154,5;147,71;129,15;;;;
8;Tietê - Paraíso;;108,27;116,83;124,72;127,8;142,79;145,44;149,72;135,97;;;;
9;Tereos - Vertente;;105,54;120,81;122,11;135;142,77;150,5;138,96;124,08;;;;
10;Tereos - Tanabi;;117,5;123,6;129,93;137,32;147,29;158,49;151,79;;;;;
11;Tereos - S.José;;110,6;117,68;123,03;134,17;148,57;155,8;149,76;128,18;;;;
12;Tereos - Mandu;;112,66;118,84;126,94;132,39;148,05;151,39;149,76;128,52;;;;
13;Tereos - Cruz Alta;;116;121,97;123,26;130,24;144,78;153,54;146,44;135,41;;;;
14;Tereos - Andrade;;116,55;116,41;117,37;127,08;143,01;159,05;142,93;154,25;;;;
15;São Martinho - Santa Cruz;;114,92;123,73;132,72;138,35;148,08;155,3;154,61;136,57;;;;
16;São Martinho - Matriz;;113,9;118,16;124,5;134,33;150,35;157;153,96;141,63;;;;
17;São Martinho - Iracema;;116,49;123,74;131,97;139,52;151,03;158,89;153,4;131,75;;;;
18;São Martinho - Boa Vista;;102,66;105,29;113,87;129,8;140,2;150,57;144,66;121,95;109,98;;;
19;São Manoel;;109,81;121,45;130,63;133,17;141,32;155,41;155,13;132,24;;;;
20;São Luiz SA;;110,95;116;129,46;129,94;141,83;154,05;154,54;128,27;;;;
21;São João;;122,23;132,77;142,68;141,64;149,9;159,36;168,75;;;;;
22;São José Estiva;;;134,78;134,33;139,2;147,07;155,8;155,81;134,68;130,43;;;
23;São Domingos;;121,2;129,75;130,88;139,19;149,82;156,88;155,06;135,21;;;;
24;Participante 24;;112,45;120,97;119,71;130,23;140,59;146,32;147,78;128,31;115,35;;;
25;Santo Ângelo;97,59;105,43;115,28;121,84;132,6;145,17;151,8;150,43;139,49;;;;
26;Santa Terezinha - Terra Rica;117,8;116,7;127,46;135,7;137,42;145,15;159,53;155,05;140,01;134,66;;;
27;Santa Terezinha - Tapejara;106,72;111,72;119,6;121,74;127,45;137,12;147;145,61;134,46;131,5;;;
28;Santa Terezinha - Rondon;116,9;117;122,18;121,53;129,77;140,56;142,18;145,39;126,94;124,1;;;
29;Santa Terezinha - Paranacity;120,88;119,21;130,83;130,24;135,91;141,6;150,99;149,65;131,37;122,78;;;
30;Santa Terezinha - Ivaté;116,88;114,66;126,35;128,18;138,05;140,76;152,15;147,45;139,38;132,71;;;
31;Santa Terezinha - Iguatemi;113,5;116,92;119,92;125,71;127,3;128,93;135,3;137,45;124,47;128,24;;;
32;Santa Terezinha - Cidade Gaúcha;110,28;110,66;125,17;123,9;129,82;146,75;148,62;149,79;139,93;132,35;;;
33;Santa Maria Pilon;;;143,17;142,82;141,77;149,97;156,97;157,64;139,13;127,17;;;
34;Participante 34;;130,83;134,63;136,25;144,68;153,11;158,87;160,28;135,8;;;;
35;Participante 35;;128,63;133,71;140,8;148,39;150,67;157,73;155,47;133,45;;;;
36;Santa Fé;;110,34;117,09;125,41;132,58;146,84;155,9;150,97;133,83;;;;
37;Santa Adélia - Polo Noroeste;;112,37;121,51;124,97;125,56;139,23;147,41;147,06;127,16;112,78;;;
38;Santa Adélia - Jaboticabal;;120,76;129,04;133,5;135,13;147,52;154,06;156,51;140,76;;;;
39;Participante 39;;112,91;115,17;126,89;133,88;138,49;143,85;141,31;137,13;122,2;;;
40;Raízen - V. do Rosário;;102,45;112,84;119,11;127,15;143,88;153,86;147,86;135,34;;;;
41;Raízen - Univalem;;113,77;119,47;120,53;127,13;142,33;156,92;151,93;131,03;127,82;;;
42;Raízen - São Francisco;104,32;103,4;;146,5;;148,21;153,84;155,57;141,06;;;;
43;Raízen - Santa Elisa;;;109,82;122,13;127,65;;;;;;;;
44;Raízen - Santa Cândida;;99,47;120,75;127,68;132,78;145,86;154,71;163,56;;;;;
45;Raízen - Rio Brilhante;109,44;107,09;111,7;116,19;112,86;115,96;129,33;140,65;122,86;;;;
46;Raízen - Rafard;109,93;114,88;126,85;131,62;135,33;146,6;156,24;155,24;137,63;;;;
47;Raízen - Passa Tempo;104,3;117,43;114,67;117,6;117,9;122,37;143,75;139,78;108,02;;;;
48;Raízen - Paraíso;;108,4;120,97;126,39;134,26;145,26;155,86;;;;;;
49;Raízen - Mundial;;117,18;125,27;122,37;130,12;140,75;155,72;151,98;128,38;;;;
50;Raízen - Leme;;114,02;117,93;120,26;134,92;146,66;158,17;153,43;;;;;
51;Raízen - Lagoa da Prata;;96,36;108,45;127,74;137,3;144,65;144,29;142,28;;;;;
52;Raízen - Junqueira;;93,74;113,94;123,11;135,09;152,55;152,6;148,07;;;;;
53;Raízen - Jataí;;109,06;120,75;121,43;132,02;146,21;158,85;148,45;135,3;;;;
54;Raízen - Ipaussu;;113,29;123,92;128,08;132,98;142,89;153,98;151,52;;;;;
55;Raízen - Gasa;;106,5;112,64;119,96;128,4;138,68;153,56;152,88;132,61;127,29;;;
56;Raízen - Diamante;;106,58;118,67;117,13;134,45;146,96;159,25;159,58;;;;;
57;Raízen - Destivale;;108,8;117,07;118,35;129,32;131,75;153,72;146,33;;106,74;;;
58;Raízen - Da Serra;;111,06;116,44;124,52;137,43;148,24;153,8;142,89;;;;;
59;Raízen - Da Barra;;113,12;119,75;126,6;132,47;139,65;150,64;151,01;128,5;;;;
60;Raízen - Costa Pinto;;114,11;128,95;131,72;129,6;150,09;151,17;147,9;134,67;;;;
61;Raízen - Continental;102,5;104;113,79;123,98;138,51;150,83;156,75;153,19;;;;;
62;Raízen - Caarapó;;111,39;122,37;124,15;126,68;126,77;141,2;139,24;126,26;125,18;;;
63;Raízen - Bonfim;;112,83;122,85;120,18;125,83;139,28;150,46;158,97;;;;;
64;Raízen - Benálcool;;114,2;121,43;121,69;127,13;140,98;150,83;149,01;127,38;117,01;;;
65;Raízen - Araraquara;;97,6;113,75;125,05;129,67;143,48;155,02;;;;;;
66;Pedra - Ipê;;107,76;116,07;125,63;128,43;138,2;149,28;147,74;;;;;
67;Pedra - Da Pedra;;114,96;122,55;129,92;137,35;146,91;159,2;161,14;;;;;
68;Pedra - Cedro;;;;;;122,23;146,7;142,63;;;;;
69;Pedra - Buriti;;;114,58;122,21;136,45;147,86;158,18;158,86;;;;;
70;Participante 70;;120,62;121,71;120,95;122,94;130,98;139,33;146,38;122,99;123,71;;;
