Benchmarking CTC - Safra 2025 - Estãgio Médio de Corte mês a mês ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;3,5;3,1;3,9;5,5;5,2;3,9;3,8;2,8;3,4;;;
2;Zilor - Quatá;;2;1,6;2,7;1,9;2,6;2,8;3,6;3,9;4,6;;;
3;Zilor - Barra Grande;;1,5;1,4;1,5;2,1;2,9;3,3;3,7;3,5;;;;
4;Participante 4;;5,8;3;3,7;2,3;1,8;2,6;2;3,1;3,9;;;
5;Vale do Paracatu Bioenergia SA;;;4,8;4,1;4,3;4,3;5,5;;;;;;
6;Umoe Bioenergy;4;2,7;2,7;4,5;3;3,5;2,3;3,8;3,7;2,7;;;
7;Uisa;;2,8;2,1;2,1;2,7;2,5;3,3;3,6;3,7;3,8;;;
8;UPI - São Luiz;;4,1;2,2;2,7;3,2;2,5;2,6;2,6;2,3;;;;
9;Tietê - Ubarana;;5,2;3;2,9;2,5;3,4;3,8;3,5;3,6;;;;
10;Tietê - Paraíso;;5,1;3,3;3,1;3,6;2,9;3,7;3,7;4,4;;;;
11;Tereos - Vertente;;5,1;3,3;1,7;2,1;2,6;3,1;3,1;3,6;;;;
12;Tereos - Tanabi;;4,2;3,4;3;2,3;2,3;3,2;3,6;;;;;
13;Tereos - S.José;;2,7;2,2;3,5;3,5;3,6;3,8;3,3;3,9;;;;
14;Tereos - Mandu;;3,8;3,1;2,3;3;3,3;2,8;3,3;4,5;;;;
15;Tereos - Cruz Alta;;3,8;2,2;3,3;3,6;2;2,4;4;4,4;;;;
16;Tereos - Andrade;;4,5;1,9;1,9;3,1;2,3;2,8;3;3;;;;
17;São Martinho - Santa Cruz;;2,4;2,4;2,7;3,1;2,7;2,1;3,4;3,5;;;;
18;São Martinho - Matriz;;3,3;2,6;3,1;3,8;3,4;3,6;3,4;4,2;;;;
19;São Martinho - Iracema;;2,1;2,7;2,9;3,5;3,9;3;3,3;3,1;;;;
20;São Martinho - Boa Vista;;2,9;2,7;2,8;3,6;4,1;4,1;3,9;4,6;4;;;
21;São Manoel;;2,6;2,9;3,6;3,1;2,7;2,9;4,1;4,3;;;;
22;São Luiz SA;;5,6;3,5;3,4;4;3,3;3,4;3,5;4;;;;
23;São João;;3,9;4;3,8;4,2;4;4,2;3,7;;;;;
24;São José Estiva;;;2,7;2,3;3,3;2,4;3;4,4;4,4;3,8;;;
25;São Domingos;;3,5;2,5;2,2;2,8;2,8;2,2;2,8;3,2;;;;
26;Participante 26;;4,3;4,2;2,8;2,5;2,9;4,3;4,7;3,8;5,1;;;
27;Santo Ângelo;5,6;5;3,5;5,5;5,5;6,7;4,5;6,9;3,7;;;;
28;Santa Terezinha - Terra Rica;4,1;3,7;2,4;3;2,9;2,8;3,5;5,2;5,2;5;;;
29;Santa Terezinha - Tapejara;3,5;3,5;2,8;3,1;2,5;2,9;2,7;3,3;4,2;3,9;;;
30;Santa Terezinha - Rondon;4,6;4,1;3,5;4,2;3;1,9;3,2;4,1;4;4,7;;;
31;Santa Terezinha - Rio Paraná;;;7;7,2;6,4;7,9;6,6;4,3;7;6,8;;;
32;Santa Terezinha - Paranacity;3,7;3,4;2,2;1,9;2,3;2,3;3,4;4,6;4,1;4,2;;;
33;Santa Terezinha - Moreira Sales;4,3;3,5;2,1;3,6;2,9;1,7;2,4;1,9;3,2;1,6;;;
34;Santa Terezinha - Ivaté;3,7;3,8;2,3;3,9;2,4;3,7;2,6;3,5;4;2,9;;;
35;Santa Terezinha - Iguatemi;5,1;4,4;2,7;2,8;1,9;3,3;3,3;3,8;4,1;3,6;;;
36;Santa Terezinha - Cidade Gaúcha;4,3;4,6;2,8;4,8;2,7;2,6;2,2;3,7;4,9;4,9;;;
37;Santa Maria Pilon;;;2,1;4;3;3,8;5;3,6;4,1;5;;;
38;Participante 38;;1;2,9;3,4;3,3;2,5;4;4,4;4,9;;;;
39;Participante 39;;4,1;3,7;3,6;3;2,4;3;3,4;4,3;;;;
40;Santa Fé;;2,8;2,6;2,6;2,7;3,2;3,7;3,7;4;;;;
41;Santa Adélia - Polo Noroeste;;3,6;4,1;3;3,1;2,6;3,5;3,3;3,9;3,1;;;
42;Santa Adélia - Jaboticabal;;3,9;3,9;3,5;3,9;4;2,5;3,7;3;;;;
43;Sada Bioenergia;;;6,6;5,6;4,2;3,9;3,5;2,5;3,8;;;;
44;Participante 44;;3,5;2;3,2;2,9;4,5;3,3;5;4,6;4,5;;;
45;Raízen - V. do Rosário;;1;3,4;3,4;4;4,1;3,8;4,2;4,4;;;;
46;Raízen - Univalem;;3,4;2,4;2,6;1,9;3,3;3,4;3;3,6;3,9;;;
47;Raízen - São Francisco;2,6;3,5;3,3;3,1;4,3;2,8;2,8;3,4;4,6;2,9;;;
48;Raízen - Santa Elisa;;;2,2;2,7;3,8;4,5;;;4,7;;;;
49;Raízen - Santa Cândida;;3,4;3,1;3;3,1;3,1;3,4;3,6;3;;;;
50;Raízen - Rio Brilhante;7;6,4;5,8;5,1;5,4;4,5;4,1;3,8;7;;;;
51;Raízen - Rafard;1;1;2,9;1;2;2,9;3,9;3;3,7;1;;;
52;Raízen - Passa Tempo;7,7;8,5;5,7;2,9;3,9;5;5;5;4,1;;;;
53;Raízen - Paraíso;;3,3;2,3;2,7;2,7;2,9;3,3;4,3;;;;;
54;Raízen - Mundial;;3,6;2,3;2,2;3,2;3,3;3,4;3,8;4,1;;;;
55;Raízen - Leme;;3,8;2,5;2,5;3,9;2,6;4,2;4;;;;;
56;Raízen - Lagoa da Prata;;4,8;2,5;2,2;2,9;3,3;4;4,6;1,7;;;;
57;Raízen - Junqueira;;4,7;2,4;2,9;2,9;3,7;4,4;3,8;;;;;
58;Raízen - Jataí;;6;3,8;3,3;3,4;4,1;5;4,5;5,1;1;;;
59;Raízen - Ipaussu;;2;2,6;3,6;3,8;4;3,8;4,7;;;;;
60;Raízen - Gasa;;4,5;2,7;3,2;2,6;3,6;5;3,7;4,6;4,3;;;
61;Raízen - Diamante;;2,5;2,4;2,7;3;2,7;2,8;2,6;2,8;;;;
