Benchmarking CTC - Safra 2025 - Estágio médio de corte - Varias Safra ano a ano.;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Estados;;;;;;;;;;;
ES;3,48;3,49;4,1;3,91;3,82;2,64;3,85;3,41;3,74;3,91;
GO;3,27;3,5;3,87;3,94;3,73;2,67;3,61;3,71;3,74;3,8;3,79
MG;3,36;3,54;3,79;3,85;3,82;3,12;3,91;3,62;3,68;3,64;3,83
MS;3,3;3,41;3,58;3,75;3,77;3;3,8;3,79;3,78;3,66;3,7
MT;3,71;3,51;3,62;3,61;3,61;4,11;4,74;4,25;4,22;3,73;3,53
PR;3,25;3,5;3,93;4,13;3,88;3,77;3,63;3,55;3,48;3,57;3,39
SP;3,21;3,37;3,58;3,63;3,63;2,75;3,3;3,23;3,1;3,13;3,29
ARACATUBA;2,95;3,28;3,62;3,56;3,61;2,48;2,82;2,86;2,72;2,84;3,1
ASSIS;3,01;3,1;3,39;3,46;3,44;3,06;3,44;3,27;3,08;3,29;3,34
PIRACICABA;3,22;3,42;3,64;3,84;3,74;2,94;3,31;3,36;3,17;3,13;3,24
RIB. PRETO;3,58;3,7;3,72;3,84;3,87;2,7;3,79;3,51;3,65;3,71;3,82
S. J. RIO PRETO;3,27;3,39;3,56;3,59;3,6;2,86;3,45;3,26;3,1;3,06;3,29
SÃO CARLOS;3,14;3,28;3,55;3,6;3,56;2,72;3,19;3,37;3,15;3,01;3,06
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Centro-Sul;;;;;;;;;;;
Média;3,25;3,42;3,66;3,74;3,7;2,89;3,48;3,42;3,36;3,36;3,47
Maximo;4,88;5,19;5,9;5,15;5,36;5,62;5,75;5,76;5,97;5,99;5,63
Minimo;2,09;2,55;2,63;2,75;2,72;1,14;1,64;1,57;1,3;1;1,34
Desvio;0,47;0,47;0,48;0,48;0,51;0,75;0,7;0,68;0,67;0,67;0,64
Usinas;174;170;166;166;166;162;162;168;175;177;172
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Associada;;;;;;;;;;;
Maximo;3,79;4,09;3,99;3,95;3,84;3,52;4,59;4,09;3,83;4,31;4,05
Minimo;2,53;2,7;2,97;3,05;2,99;2,09;2,68;2,18;2,19;2,52;2,82
ASSIS;3,01;3,1;3,39;3,46;3,44;3,06;3,44;3,27;3,08;3,29;3,34
SP;3,21;3,37;3,58;3,63;3,63;2,75;3,3;3,23;3,1;3,13;3,29
Umoe Bioenergy;2,89;2,93;3,04;3,05;3,14;3,24;3,56;3,69;3,31;3,26;3,32
