Benchmarking CTC - Safra 2025 - TAH (ton de ATR/ha);;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;10,38;13,15;12,67;14,44;13,43;13,48;10,46;14,15;9,19;;;
2;Zilor - Quatá;;10,08;10,96;10,38;12,3;11,88;11,35;8,45;7,28;5,03;;;
3;Participante 3;;9,01;13,19;11,58;14,22;14,07;13,94;11,26;9,47;7,48;;;
4;Umoe Bioenergy;8,48;10,93;11,59;9,63;11,07;10,89;12,96;9,25;8,45;8,5;;;
5;Uisa;;8,84;11,61;12,48;12,81;13,36;12,64;11,03;9,6;7,9;;;
6;UPI - São Luiz;;7,78;11,72;11,52;10,3;11,69;13,39;11,49;10,37;;;;
7;Tietê - Ubarana;;9,34;11,81;12,08;13,59;12,92;12,89;10,96;9,43;;;;
8;Tietê - Paraíso;;8,37;10,3;11,57;9,56;12,25;11,07;9,91;8,31;;;;
9;Tereos - Vertente;;5,67;8,48;10,22;11,11;12,29;11,26;8,74;7,43;;;;
10;Tereos - Tanabi;;6,24;7,91;9,04;10,9;11,15;9,67;8,42;;;;;
11;Tereos - S.José;;8,16;9,16;10,86;9,31;9,87;10,45;10,51;8,09;;;;
12;Tereos - Mandu;;8,16;8,66;9,93;10,29;11,24;11,45;10,5;8,2;;;;
13;Tereos - Cruz Alta;;7,11;10,66;9,84;10,76;13,04;13,63;9,59;8,29;;;;
14;Tereos - Andrade;;6,54;11,86;12,46;9,87;13,19;11,94;10,91;11,97;;;;
15;São Martinho - Santa Cruz;;8,47;9,68;8,96;8,67;11,08;12,28;10,03;8,21;;;;
16;São Martinho - Matriz;;9,57;11,21;11,75;10,95;13,62;14,51;13,19;11,81;;;;
17;São Martinho - Iracema;;9,99;10,83;10,02;8,68;9,77;10,03;8,34;7,58;;;;
18;São Martinho - Boa Vista;;7,19;7,83;8,72;10,28;10,91;9,64;8,98;7,09;6,69;;;
19;São Manoel;;9,43;9,93;9,39;10,88;11,63;11;9,48;8,32;;;;
20;São Luiz SA;;6,46;14,12;13,24;12,06;13,37;15,08;15,48;11,84;;;;
21;São João;;11,49;12,12;14,17;12,72;15,5;13,78;15,47;;;;;
22;São José Estiva;;;10,57;10,85;10,97;13,18;11,62;8,93;7,39;8,7;;;
23;São Domingos;;8,84;11,65;13,45;11,01;13,69;14,48;11,51;8,83;;;;
24;Participante 24;;6,88;8,46;11,12;11,19;12,78;11,59;10,55;9,66;9,41;;;
25;Santo Ângelo;8;8,38;11,22;11,9;12,44;13,08;12,78;11,93;9,79;;;;
26;Santa Terezinha - Terra Rica;5,09;5,6;8,62;9,21;10,17;8,85;9,44;7,05;5,53;4,51;;;
27;Santa Terezinha - Tapejara;4,03;4,06;6,82;6,72;10,2;10,09;9,88;8,46;5,8;5,76;;;
28;Santa Terezinha - Rondon;4,82;7,02;8,74;6,66;10,1;13,51;11,82;8,87;7,13;7,32;;;
29;Santa Terezinha - Paranacity;4,7;5,92;9,49;9,9;10,08;9,8;7,82;5,75;5,06;4,63;;;
30;Santa Terezinha - Ivaté;5,6;5,53;7,85;4,79;8,16;6,67;8,38;5,65;4,86;6,18;;;
31;Santa Terezinha - Iguatemi;5,95;8,71;11,37;11,46;13,71;11,55;12,45;9,25;7,99;8,91;;;
32;Santa Terezinha - Cidade Gaúcha;5,5;7,03;10,81;7,81;11,44;12,75;13,29;9,8;7,96;6,62;;;
33;Santa Maria Pilon;;;15,51;13,77;12,99;11,64;11,13;11,93;8,83;6,1;;;
34;Participante 34;;15,07;11,19;11,06;11,83;13,95;12,06;10,16;8,6;;;;
35;Participante 35;;10,66;13,01;12,86;13,82;16,75;14,62;13,14;9,41;;;;
36;Santa Fé;;7,48;8,77;8;8,54;8,31;8,11;6,79;5,05;;;;
37;Santa Adélia - Polo Noroeste;;4,47;9,09;9,32;9,86;12,17;10,97;9,1;7,74;7,13;;;
38;Santa Adélia - Jaboticabal;;9,66;10,83;10,89;9,38;10,15;16,05;10,8;10,95;;;;
39;Participante 39;;9,15;11,23;9,73;9,61;8,1;11,21;7,32;7,67;6,67;;;
40;Raízen - V. do Rosário;;10,76;9,2;9,87;9,15;9,83;10,59;9,94;8,95;;;;
41;Raízen - Univalem;;5,89;8,11;8,77;10,28;8,85;9,02;10,04;7,36;5,57;;;
42;Raízen - São Francisco;9,74;8,52;;13,87;;11,84;12,15;8,98;7,43;;;;
43;Raízen - Santa Elisa;;;9,97;10,94;9,65;;;;;;;;
44;Raízen - Santa Cândida;;6,57;7,47;7,53;7,75;9,98;10,21;9;;;;;
45;Raízen - Rio Brilhante;9,3;8,33;9,06;9,73;9,06;7,68;12,07;15,3;10,23;;;;
46;Raízen - Rafard;13,62;17,04;14,66;19,11;13,48;11,19;8,92;10,7;6,72;;;;
47;Raízen - Passa Tempo;8;7,73;10,37;11,25;10,3;8,74;10,67;10,22;9,78;;;;
48;Raízen - Paraíso;;6,33;9,98;9,43;9,88;12,36;10,19;;;;;;
49;Raízen - Mundial;;5,73;9,82;10,89;9,49;9,56;9,39;7,48;6,61;;;;
50;Raízen - Leme;;8,12;11,78;11,26;12,32;15,96;10,99;10,8;;;;;
51;Raízen - Lagoa da Prata;;7,45;9,34;12,1;11,16;9,43;7,27;7,26;;;;;
52;Raízen - Junqueira;;3,88;8,07;7,78;9,51;10,18;8,06;7,26;;;;;
53;Raízen - Jataí;;9,72;10,48;10,54;13,6;12,34;11,69;11,36;7,27;;;;
54;Raízen - Ipaussu;;10,69;10,51;9,39;8,94;9,7;10,87;7,92;;;;;
55;Raízen - Gasa;;5,44;8,86;8,84;12,25;11,3;10,44;10,92;8,86;9,19;;;
56;Raízen - Diamante;;7,39;9,24;8,6;9,57;10,79;10,7;10,68;;;;;
57;Raízen - Destivale;;6,18;8,6;8,18;13,64;13,73;11,5;12,73;;6,64;;;
58;Raízen - Da Serra;;9,04;9,19;8,69;9,73;9,04;7,94;7,82;;;;;
59;Raízen - Da Barra;;8;7,53;8,14;9,55;9,8;9,69;8,41;7,77;;;;
