Benchmarkinh CTC - Safra 2025 - TAH (t de ATR/ha)Varias Safras ano a ano.;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Estados;;;;;;;;;;;
ES;7,04;5,41;6,04;6,4;5,28;5,68;7,52;7,14;5,98;6,04;
GO;10,97;9,85;10,52;10,05;10,99;11;9,99;10,6;11,29;10,99;9,77
MG;10,68;10,45;10,85;10,09;11,19;11,5;9,98;10,91;12,22;11,88;9,66
MS;10,82;10,29;9,35;9,76;9,12;10,07;8,98;9,11;11,06;9,61;9,71
MT;10,64;9,67;10,39;9,87;9,59;10,31;8,19;10,88;12,05;11,49;11,24
PR;9,65;8,66;8,34;7,84;7,86;8,02;7,08;7,55;8,71;8,2;9,08
SP;10,8;10,12;10,19;9,74;10,29;11,04;9,21;10,09;12,14;10,55;10,15
ARACATUBA;10,81;9,93;9,53;9,13;9,32;10,35;8,25;9,53;12,22;9,65;9,81
ASSIS;10,58;9,21;9,04;8,92;9,72;10,18;9,43;10,38;11,64;10,13;10,7
PIRACICABA;10,6;10,2;9,2;9,69;9,59;10,59;9,25;9,49;11,53;12,55;11,22
RIB. PRETO;10,79;11,19;11,56;10,82;11,84;12,62;10,47;10,84;12,74;11,68;10,32
S. J. RIO PRETO;10,72;10,28;10,63;9,95;10,65;11,97;8,93;10,74;13,1;10,8;10,22
SÃO CARLOS;11,14;9,88;10,34;9,81;10,3;10,29;9,44;9,38;10,98;10,35;9,6
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Centro-Sul;;;;;;;;;;;
Média;10,71;9,99;10,07;9,66;10,16;10,77;9,21;9,96;11,66;10,51;9,95
Maximo;14,05;13,93;13,85;13,97;15,08;15,18;15,66;13,71;15,73;16,8;14,55
Minimo;6,4;5,41;5,79;6,09;4,92;5,68;3,99;5,01;5,55;5,17;6,65
Desvio;1,23;1,51;1,61;1,54;1,83;1,8;1,88;1,75;1,82;1,77;1,51
Usinas;173;170;166;162;163;160;160;166;173;174;171
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Associada;;;;;;;;;;;
Maximo;13,21;11,02;11,84;12,35;13,52;12,98;12,74;12,84;13,63;13,28;13,49
Minimo;8,96;7,25;6,82;7,16;6,8;6,86;5,42;5,99;10,15;8,13;8,46
ASSIS;10,58;9,21;9,04;8,92;9,72;10,18;9,43;10,38;11,64;10,13;10,7
SP;10,8;10,12;10,19;9,74;10,29;11,04;9,21;10,09;12,14;10,55;10,15
Umoe Bioenergy;9,26;8,64;8,05;8,56;7,97;8,62;7,4;8,51;11,84;10,34;10,28
