Benchmarking CTC - Safra 2025 - TCH média geral mês a mês (ton/ha);;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;84,9;105,2;98,1;108,6;95,9;90,8;69,5;113;74;;;
2;Zilor - Quatá;;86,8;88,9;80,5;91,1;79,7;73,2;56,6;56,6;41,6;;;
3;Zilor - Barra Grande;;100,4;114,7;113,6;90,9;69,1;61;36,6;34,7;;;;
4;Participante 4;;68,5;94,5;82,7;98;91;88,2;73,3;68,9;58,5;;;
5;Vale do Paracatu Bioenergia SA;;;71,3;76,2;65,8;77,4;62,8;;;;;;
6;Umoe Bioenergy;66,2;82,6;85,8;69,6;80,8;75;84,2;61,6;61,9;69,7;;;
7;Uisa;;86,9;105,5;104,3;106,1;101,9;89,2;79,3;81,3;78,5;;;
8;UPI - São Luiz;;70,5;97,8;93,1;80,3;81,5;92,1;76,1;74,8;;;;
9;Tietê - Ubarana;;79;93,7;92,4;98;88,5;83,4;74,2;73;;;;
10;Tietê - Paraíso;;77,3;88,2;92,8;74,8;85,8;76,1;66,2;61,1;;;;
11;Tereos - Vertente;;53,7;70,2;83,7;82,3;86,1;74,8;62,9;59,9;;;;
12;Tereos - Tanabi;;53,1;64;69,6;79,4;75,7;61;55,5;;;;;
13;Tereos - S.José;;73,8;77,8;88,3;69,4;66,4;67,1;70,2;63,1;;;;
14;Tereos - Mandu;;72,4;72,9;78,2;77,7;75,9;75,6;70,1;63,8;;;;
15;Tereos - Cruz Alta;;61,3;87,4;79,8;82,6;90,1;88,8;65,5;61,2;;;;
16;Tereos - Andrade;;56,1;101,9;106,2;77,7;92,2;75,1;76,3;77,6;;;;
17;São Martinho - Santa Cruz;;73,7;78,2;67,5;62,7;74,8;79,1;64,9;60,1;;;;
18;São Martinho - Matriz;;84;94,9;94,4;81,5;90,6;92,4;85,7;83,4;;;;
19;São Martinho - Iracema;;85,8;87,5;75,9;62,2;64,7;63,1;54,4;57,5;;;;
20;São Martinho - Boa Vista;;70;74,4;76,6;79,2;77,8;64;62,1;58,1;60,8;;;
21;São Manoel;;85,9;81,8;71,9;81,7;82,3;70,8;61,1;62,9;;;;
22;São Luiz SA;;58,2;121,7;102,3;92,8;94,3;97,9;100,2;92,3;;;;
23;São João;;94;91,3;99,3;89,8;103,4;86,5;91,7;;;;;
24;São José Estiva;;;78,4;80,8;78,8;89,6;74,6;57,3;54,9;66,7;;;
25;São Domingos;;72,9;89,8;102,8;79,1;91,4;92,3;74,2;65,3;;;;
26;Participante 26;;61,2;69,9;92,9;85,9;90,9;79,2;71,4;75,3;81,6;;;
27;Santo Ângelo;82;79,5;97,3;97,7;93,8;90,1;84,2;79,3;70,2;;;;
28;Santa Terezinha - Terra Rica;43,2;48;67,6;67,9;74;61;59,2;45,5;39,5;33,5;;;
29;Santa Terezinha - Tapejara;37,8;36,3;57;55,2;80;73,6;67,2;58,1;43,1;43,8;;;
30;Santa Terezinha - Rondon;41,2;60;71,5;54,8;77,8;96,1;83,1;61;56,2;59;;;
31;Santa Terezinha - Rio Paraná;;;40,1;52,1;61,8;44,8;52;48,3;69;61,4;;;
32;Santa Terezinha - Paranacity;38,9;49,7;72,5;76;74,2;69,2;51,8;38,4;38,5;37,7;;;
33;Santa Terezinha - Moreira Sales;39;59;101,3;63,5;78,9;89,2;87,8;91,7;65,8;90,4;;;
34;Santa Terezinha - Ivaté;47,9;48,2;62,1;37,4;59,1;47,4;55,1;38,3;34,9;46,6;;;
35;Santa Terezinha - Iguatemi;52,4;74,5;94,8;91,2;107,7;89,6;92;67,3;64,2;69,5;;;
36;Santa Terezinha - Cidade Gaúcha;49,9;63,5;86,4;63;88,1;86,9;89,4;65,4;56,9;50;;;
37;Santa Maria Pilon;;;108,3;96,4;91,6;77,6;70,9;75,7;63,5;48;;;
38;Participante 38;;115,2;83,1;81,2;81,8;91,1;75,9;63,4;63,3;;;;
39;Participante 39;;82,9;97,3;91,3;93,1;111,2;92,7;84,5;70,5;;;;
40;Santa Fé;;67,8;74,9;63,8;64,4;56,6;52;45;37,7;;;;
41;Santa Adélia - Polo Noroeste;;39,8;74,8;74,6;78,5;87,4;74,4;61,9;60,9;63,2;;;
42;Santa Adélia - Jaboticabal;;80;83,9;81,6;69,4;68,8;104,2;69;77,8;;;;
43;Sada Bioenergia;;;111,5;102,3;100,5;110,9;106,7;104,8;90,8;;;;
44;Participante 44;;81;97,5;76,7;71,8;58,5;77,9;51,8;55,9;54,6;;;
45;Raízen - V. do Rosário;;105;81,5;82,9;72;68,3;68,8;67,2;66,1;;;;
46;Raízen - Univalem;;51,8;67,9;72,8;80,9;62,2;57,5;66,1;56,2;43,6;;;
47;Raízen - São Francisco;93,4;82,4;102,3;94,7;76,4;79,9;79;57,7;52,7;73,9;;;
48;Raízen - Santa Elisa;;;90,8;89,6;75,6;69,1;;;66,1;;;;
49;Raízen - Santa Cândida;;66,1;61,9;59;58,4;68,4;66;55;40,3;;;;
50;Raízen - Rio Brilhante;85;77,8;81,1;83,7;80,3;66,2;93,3;108,8;83,3;;;;
51;Raízen - Rafard;123,9;148,3;115,6;145,2;99,6;76,3;57,1;68,9;48,8;0;;;
52;Raízen - Passa Tempo;76,7;65,8;90,4;95,7;87,4;71,4;74,2;73,1;90,5;;;;
53;Raízen - Paraíso;;58,4;82,5;74,6;73,6;85,1;65,4;32,3;;;;;
54;Raízen - Mundial;;48,9;78,4;89;72,9;67,9;60,3;49,2;51,5;;;;
55;Raízen - Leme;;71,2;99,9;93,6;91,3;108,8;69,5;70,4;;;;;
56;Raízen - Lagoa da Prata;;77,3;86,1;94,7;81,3;65,2;50,4;51;122,5;;;;
57;Raízen - Junqueira;;41,4;70,8;63,2;70,4;66,7;52,8;49;;;;;
58;Raízen - Jataí;;89,1;86,8;86,8;103;84,4;73,6;76,5;53,7;23;;;
59;Raízen - Ipaussu;;94,4;84,8;73,3;67,2;67,9;70,6;52,3;;;;;
60;Raízen - Gasa;;51,1;78,7;73,7;95,4;81,5;68;71,4;66,8;72,2;;;
61;Raízen - Diamante;;69,3;77,9;73,4;71,2;73,4;67,2;66,9;62,6;;;;
62;Raízen - Destivale;;56,8;73,5;69,1;105,5;104,2;74,8;87;66,8;62,2;;;
63;Raízen - Da Serra;;81,4;78,9;69,8;70,8;61;51,6;54,7;;;;;
64;Raízen - Da Barra;;70,7;62,9;64,3;72,1;70,2;64,3;55,7;60,5;;;;
65;Raízen - Costa Pinto;63,5;84,6;95,9;81,5;92;73,9;58,3;58,7;64,5;62,9;;;
66;Raízen - Continental;77;85,8;72,9;72;68,7;69,3;55,6;62,5;;;;;
67;Raízen - Caarapó;;41,7;74,2;65,1;92,3;78,9;78;64,7;69,2;79,8;;;
68;Raízen - Bonfim;;53,5;72,7;87,2;87,2;83,6;78,4;47,9;;;;;
69;Raízen - Benálcool;;53,6;70,5;93;105,4;86,9;73,8;74,7;53;53,7;;;
70;Raízen - Araraquara;;73,5;85,7;84,5;67,7;70,2;63,8;61,5;;;;;
71;Pedra - Ipê;;65,1;81;71,5;74,6;71,3;81,5;65,9;;;;;
72;Pedra - Da Pedra;;84,8;88,2;75,6;84,2;81,8;59,4;61,9;;;;;
73;Pedra - Cedro;;;;;;110,7;92,8;73,3;;;;;
74;Pedra - Buriti;;;75,2;75;73,5;62,8;60,3;53,5;;;;;
75;Participante 75;;71,9;73,5;67,5;116,7;45,6;103,3;56,6;63,2;63,1;;;
76;Nova América - Tarumã;56,9;94,4;108,8;91,3;100,2;95,2;96,7;89,7;82,3;88,1;;;
77;Nardini - Vista Alegre;;83,5;85,1;85,7;81,7;76,7;69,9;54,7;49,6;;;;
78;Nardini - Aporé;;64,7;79,9;72,2;68,3;73,3;68,2;53,8;;;0;;
79;Participante 79;;;73,9;103,6;105,8;87,3;71,7;75,7;;;;;
80;Melhoramentos - VDP;79,8;81,7;83,5;89,3;88;82;78,6;72;70,6;64,8;;;
81;Melhoramentos - NL;76,7;62,3;78;75,9;67,3;73,1;71,4;51,7;67,9;76,2;;;
82;Melhoramentos - JS;;85,1;94,1;88;81,5;86,2;80,5;81,3;80,7;87,3;;;
83;Londra;103,3;89,5;97,8;87,6;117,1;118,2;105,8;93,7;97;93,1;;;
84;Lins;65;71,9;75,4;71,3;84,6;91,1;81,7;71,3;65,9;;;;
85;Laguna;93,3;80,6;99,1;91,4;80,2;83,4;104,3;113,9;95,4;105,1;;;
86;Jalles - Santa Vitória;;59,5;75,7;76,8;66,2;55;48;37,6;;;;;
87;Jalles - Otávio Lage;;82,4;89,4;92,7;93,5;88,1;85;67,5;54,4;;;;
88;Jalles - Matriz;;88,2;93,9;76,6;90,1;80;72,5;70,9;71;;;;
89;Jacarezinho;;94,7;92,6;95,9;89,4;92,2;102,2;99;95,6;94,7;;;
90;Itajobi;;76,7;88,9;89,4;72,7;67,4;57,4;52,9;44;;;;
91;Ipiranga - Passos;;101,4;115,5;93,2;85,7;82,3;83,9;72,8;95,5;69,2;;;
92;Ipiranga - Mococa;;84,3;84,4;85,6;83,7;85,9;73,8;69;66,3;69,6;;;
93;Ipiranga - Iacanga;;64,6;70,1;70,6;69,3;71,7;61,7;53,8;50,9;;;;
94;Ipiranga - Descalvado;72;83,8;70,8;70,5;71,2;64,2;59,7;56,8;;;;;
95;Guaira;;87,9;86,9;83,5;84,8;83,9;77,1;64,7;;;;;
96;Goiasa;;76,6;91,5;91,1;82,8;84;81,3;74,2;76,4;;;;
97;Participante 97;;;107,1;101,5;91,6;90,7;89,6;83,4;65,5;;;;
98;Ferrari;;90,1;98;87,5;86,9;84,1;79,7;74;70;;;;
99;Ester;;68,9;86,8;77,2;60,2;70,5;71,5;59,1;;;;;
100;Energética Sta Helena;75,8;72,4;82,5;76,9;62,6;67,3;56,2;54;89,2;65;;;
101;Energética Serranópolis;;69;97,4;92,4;84,2;74,3;;;;;;;
102;Diana;78;77,6;90,8;84,7;107,8;101,8;104,8;94,7;88,2;64,5;;;
103;Denusa;;81,5;101,1;110,8;111,9;97,9;78;85,1;70,9;;;;
104;Participante 104;;91,7;92,6;95;104,5;97,3;80,3;74,6;82,9;;;;
105;Participante 105;;91;89,5;91;95,1;81,9;73,3;69,3;55,4;;;;
106;Della Coletta;;55,2;69,1;69,6;79,4;68,3;61,4;63,1;45,7;;;;
