Benchmarking CTC - Moagem Total mês a mês;;;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média;;
1;Água Bonita;;182177;211718;137404;252895;273172;244419;176112;148931;60194;;;;;
2;Zilor - Quatá;;319830;434776;338010;476442;473274;401293;342488;341230;173995;;;;;
3;Zilor - Barra Grande;;578;578976;390504;641803;21113;587317;421204;257833;;;;;;
4;Participante 4;;7471;166541;120891;169451;168994;124170;121943;116369;35877;;;;;
5;Vale do Paracatu Bioenergia SA;;;208516;198302;127024;201495;167571;;;;;;;;
6;Umoe Bioenergy;252655;199800;355710;228661;404893;443496;304150;258574;220564;100384;;;;;
7;Uisa;;601276;925746;874609;946645;977885;851410;850269;822129;125722;;;;;
8;UPI - São Luiz;;46242;462682;372382;474702;422313;398087;278357;104278;;;;;;
9;Tietê - Ubarana;;106262;290558;263223;291329;295944;252928;259161;191034;;;;;;
10;Tietê - Paraíso;;158535;362124;329399;352092;368227;327329;290519;119700;;;;;;
11;Tereos - Vertente;;220473;340701;319969;338061;214488;262529;243983;40364;;;;;;
12;Tereos - Tanabi;;260762;476134;421211;471950;449699;419159;264509;;;;;;;
13;Tereos - S.José;;116311;508063;374306;530718;541964;477995;493809;112052;;;;;;
14;Tereos - Mandu;;138025;658734;586138;637993;558085;528443;439272;133240;;;;;;
15;Tereos - Cruz Alta;;314476;582048;544064;632428;703840;587403;439264;188814;;;;;;
16;Tereos - Andrade;;161594;367164;402588;384533;432734;363147;237349;5505;;;;;;
17;São Martinho - Santa Cruz;;520891;716619;716109;795900;763971;729158;624506;277084;;;;;;
18;São Martinho - Matriz;;835085;1471102;1153678;1476475;1315719;1224843;1100272;639174;;;;;;
19;São Martinho - Iracema;;331455;375021;278242;374990;380648;327099;240987;102209;;;;;;
20;São Martinho - Boa Vista;;470967;689565;626389;750652;684463;616282;555756;448082;59148;;;;;
21;São Manoel;;295283;652987;367329;694911;671762;581697;370722;300604;;;;;;
22;São Luiz SA;;52735;458602;299591;558721;573176;503271;371200;241939;;;;;;
23;São João;;361075;599899;522061;638820;640864;549594;109888;;;;;;;
