Benchmarking CTC - Safra 2025 - Moagem total (própr. + parc. + arrend. + fornec.) Varias Safras ano a ano.;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Estados;;;;;;;;;;;
ES;578005;392816;2560487;3587109;737098;408802;314472;463377;646105;1698863;61815
GO;52462025;43723233;45891035;43743629;51039825;48250575;46722242;48945067;52578470;54095136;52827376
MG;51042026;48819048;51481028;52618247;55229322;50035114;46203519;57993045;66836469;64954586;65685019
MS;34506997;36987996;34219798;34705210;32555103;33099216;30929603;34856866;42061746;38192705;43368355
MT;3211299;2983089;2701730;2676668;2883302;2713643;2469170;7213457;10664136;10232756;12037378
PR;21934532;25154496;20881326;21481992;20159164;20418423;18669702;20630260;24154331;22538089;25447612
SP;285910542;294291034;282672808;269261869;273536125;289989525;239772264;253876100;319078949;299563370;282472190
ARACATUBA;47671353;48008375;47076524;47218344;52103575;57741630;46073647;50834020;72748145;68262112;62783273
ASSIS;32276010;34488133;31517692;30526400;31832928;33264723;29824930;32021484;36205261;32782335;37322221
PIRACICABA;27587344;27967688;24693708;24439970;22821765;24439659;18711643;18852358;23880986;25550494;24122993
RIB. PRETO;63321425;63806413;65159433;61705607;65203287;67433402;54839510;56446955;67014484;62028097;53309086
S. J. RIO PRETO;66930830;70624338;68854653;63853878;60577554;61622584;46384323;52706240;67892124;62592599;56436762
SÃO CARLOS;48123580;49179509;45337596;41517671;40997016;45487527;43938211;43015044;51337948;48347733;48497855
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Centro-Sul;;;;;;;;;;;
Média;449645425;452351712;440408211;428074724;436409854;444915297;385080972;423978172;516020205;490854057;481899744
Maximo;10033250;9338216;9615012;8580803;9457965;9418930;8161161;8287397;9815869;8565290;9216351
Minimo;406600;363574;41958;596490;0;347;94698;391654;234916;27733;61815
Desvio;1322645;1332366;1353862;1264974;1389398;1417418;1206622;1250305;1529932;1357957;1370490
Usinas;174;170;166;166;168;162;162;169;177;178;174
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Associada;;;;;;;;;;;
Maximo;4355883;4912703;4503676;4312189;5016743;4752428;4000872;4616175;5140061;4450671;5196129
Minimo;1341610;1273792;41958;1195949;0;347;1311657;971366;515953;542749;729037
ASSIS;32276010;34488133;31517692;30526400;31832928;33264723;29824930;32021484;36205261;32782335;37322221
SP;285910542;294291034;282672808;269261869;273536125;289989525;239772264;253876100;319078949;299563370;282472190
Umoe Bioenergy;2321945,43;2000244,39;2119964,92;2270286,82;2133944,75;2335797,51;1882157,13;2019305,43;2580177,665;2605941,06;2768892,07
