Benchmarking CTC - Safra 2025 - Total de área (ha) colhida mês a mês ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;981;1776;1016;1592;2098;1435;2060;784;911;;;
2;Zilor - Quatá;;3680;4848;4196;5043;2845;5479;6040;6022;4197;;;
3;Zilor - Barra Grande;;1316;1820;1303;2614;3182;3585;3563;1746;;;;
4;Participante 4;;103;1102;467;336;413;338;608;1253;551;;;
5;Vale do Paracatu Bioenergia SA;;;2858;2600;3124;2490;2464;;;;;;
6;Umoe Bioenergy;3443;1841;3491;2324;4137;5000;2801;3113;3333;1758;;;
7;Uisa;;2468;5019;4942;5933;6159;6700;5048;9068;4861;;;
8;UPI - São Luiz;;626;3791;1748;3273;2538;2504;2245;636;;;;
9;Tietê - Ubarana;;1084;2973;2126;2039;1945;1718;3688;2833;;;;
10;Tietê - Paraíso;;1717;3620;3580;2809;2040;2467;3561;2542;;;;
11;Tereos - Vertente;;1749;3060;2833;2856;2791;3523;3632;1811;;;;
12;Tereos - Tanabi;;3155;5481;3855;3589;3510;5748;5211;;;;;
13;Tereos - S.José;;425;1540;1310;2418;2082;2743;2380;2228;;;;
14;Tereos - Mandu;;473;4768;2464;2381;2634;2908;2376;2053;;;;
15;Tereos - Cruz Alta;;3215;4448;2883;3654;4513;4219;3906;2308;;;;
16;Tereos - Andrade;;396;763;748;676;1134;1466;1139;121;;;;
17;São Martinho - Santa Cruz;;3592;7300;7174;8892;6096;6658;9513;5014;;;;
18;São Martinho - Matriz;;5069;9575;5449;9195;9350;7673;7044;12457;;;;
19;São Martinho - Iracema;;3717;2519;2644;2243;3895;3021;3741;3033;;;;
20;São Martinho - Boa Vista;;4204;4986;5552;4722;8187;6963;6483;13570;3624;;;
21;São Manoel;;2955;6246;3828;5712;4627;4635;4891;4435;;;;
22;São Luiz SA;;178;2835;2931;4663;5210;4166;3831;2944;;;;
23;São João;;2659;4774;2394;3069;3085;4327;1702;;;;;
24;São José Estiva;;;5457;5040;4000;4263;6604;7231;6071;261;;;
25;São Domingos;;1962;3628;1888;2124;2582;2959;4381;5959;;;;
26;Participante 26;;433;3137;2563;3131;3137;3294;3127;2963;739;;;
27;Santo Ângelo;1775;4538;5719;5657;5875;6310;6928;5950;4957;;;;
28;Santa Terezinha - Terra Rica;1023;2217;2693;2367;3064;3791;3468;2185;2679;2262;;;
29;Santa Terezinha - Tapejara;1943;2356;3883;1629;3397;3191;4310;2663;3754;4093;;;
30;Santa Terezinha - Rondon;2013;1975;2702;1601;2759;2060;2583;2519;1522;1089;;;
31;Santa Terezinha - Rio Paraná;;;776;352;888;730;745;375;173;109;;;
32;Santa Terezinha - Paranacity;2140;2867;4162;3041;4813;4942;3951;3427;3542;1875;;;
33;Santa Terezinha - Moreira Sales;766;771;921;746;1671;1498;1457;1067;1046;245;;;
34;Santa Terezinha - Ivaté;2673;2133;3295;2771;3926;4376;3590;1891;2101;1452;;;
35;Santa Terezinha - Iguatemi;256;1579;1247;812;2356;2481;3810;1748;1033;1300;;;
36;Santa Terezinha - Cidade Gaúcha;1421;2287;2555;1807;2932;2945;2340;3104;1656;1592;;;
