Benchmarking CTC - Safra 2025 - Área total colhida  Unid. ha Varias Safras ano a ano.;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Estados;;;;;;;;;;;
ES;9063;8819;11309;10634;4358;8095;4950;7783;7741;4540;
GO;525983;487721;496518;480340;489748;503969;514042;468362;524711;504815;545398
MG;477587;498839;498312;561274;521536;497219;571364;551309;559347;581233;647556
MS;339414;374731;404134;394810;392033;366198;383237;403511;416567;459073;443388
MT;36816;34137;36109;37087;36624;41378;26142;55353;81020;89200;95824
PR;274322;381426;316616;352970;351934;326429;330873;340663;364525;337921;327279
SP;2429056;2766363;2673136;2727177;2751921;2811872;2742027;2658250;2581352;2808804;2670017
ARACATUBA;448227;485720;484320;532794;615596;629531;625293;633801;633235;762751;606327
ASSIS;306967;417282;392534;386353;387353;393995;380958;370289;367120;382451;400409
PIRACICABA;208766;228581;213439;202291;205489;198620;154361;142027;140115;142682;148004
RIB. PRETO;443133;449802;462539;458453;455543;463126;428931;437717;407526;413403;396928
S. J. RIO PRETO;572256;669358;638006;644348;608200;587574;593997;550012;528995;586609;598585
SÃO CARLOS;449655;511944;481962;502939;479740;539371;558487;524403;504362;520909;519764
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Centro-Sul;;;;;;;;;;;
Média;4092240;4552042;4436475;4564292;4548720;4555160;4574944;4485230;4535264;4785586;4729463
Maximo;67351;69782;66802;65077;84698;82155;81181;76438;78625;76954;73469
Minimo;0;0;0;6668;1145;0;1704;92;0;151;3089
Desvio;13191;14197;14089;14023;14966;15456;15068;14429;14844;14644;14137
Usinas;182;173;169;166;166;164;162;168;177;177;172
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Associada;;;;;;;;;;;
Maximo;41481;68909;62242;59117;63186;59739;56726;58077;60822;63252;67408
Minimo;15450;19422;0;10599;7534;0;10481;5370;2036;3068;3089
ASSIS;306967;417282;392534;386353;387353;393995;380958;370289;367120;382451;400409
SP;2429056;2766363;2673136;2727177;2751921;2811872;2742027;2658250;2581352;2808804;2670017
Umoe Bioenergy (própria);27540,48;27697,1;29989,53;30006,09;31923,52;35330,23;32516,63;30290,28;28879,52;30219,42;31338,05
Umoe Bioenergy (própria + Fornecedores);30882,08;29763,63;32598,15;32060,42;33647,96;36927,39;33984,94;32012,89;31052,54;34302,48;36879,63
