;;;2022;2023;2024;2025;2026;2027;2028
Responsável;Indicador;Un.Medida;Real;Real;Real;Real;Plano;Plano;Plano
;;;;;;;;;
;Disponibilidade;;;;;;;;
Bressiano;Preparo - Tratores;%;71,0%;90,0%;82,0%;88,0%;85,0%;85,0%;85,0%
Bressiano;Preparo - Arados e Grades;%;92,0%;94,5%;92,0%;89,5%;85,0%;85,0%;85,0%
Bressiano;Plantio - Tratores Sulcação;%;87,0%;84,0%;92,0%;88,0%;88,0%;88,0%;88,0%
Bressiano;Plantio - Implemento Sulcação;%;81,0%;87,0%;97,0%;93,0%;90,0%;90,0%;90,0%
Bressiano;Plantio - Tratores Cobrição;%;87,0%;90,0%;91,0%;84,0%;85,0%;85,0%;85,0%
Bressiano;Plantio - Implemento Cobrição;%;88,0%;94,0%;89,0%;94,0%;90,0%;90,0%;90,0%
Bressiano;Plantio - Carregadeira;%;87,0%;83,0%;81,0%;84,0%;85,0%;85,0%;85,0%
Bressiano;Tratos - Quebra Lombo Trator;%;83,7%;85,0%;84,0%;78,0%;80,0%;80,0%;80,0%
Bressiano;Tratos - Quebra Lombo Implemento;%;99,4%;96,2%;94,6%;95,3%;95,0%;95,0%;95,0%
Bressiano;Tratos - Uniport;%;75,0%;80,0%;76,0%;84,0%;88,0%;88,0%;88,0%
Bressiano;Tratos - Herbiplus;%;79,0%;79,0%;71,0%;71,0%;85,0%;85,0%;85,0%
Bressiano;Tratos - Adubação Tratores;%;79,0%;79,0%;82,0%;80,0%;85,0%;85,0%;85,0%
Bressiano;Tratos - Adubação Implemento;%;81,0%;97,0%;89,0%;84,0%;80,0%;80,0%;80,0%
Bressiano;Tratos - Irriga/Ferti Tratores;%;70,0%;77,0%;87,5%;80,5%;85,0%;85,0%;85,0%
Bressiano;Tratos - Irriga/Ferti Motobomba;%;86,0%;86,0%;89,0%;85,5%;85,0%;85,0%;85,0%
Bressiano;Tratos - Irriga/Ferti Hidroroll;%;85,0%;92,0%;90,0%;88,5%;87,5%;87,5%;87,5%
Bressiano;Colheita - Colhedora;%;93,0%;91,0%;89,0%;89,0%;92,0%;92,0%;92,0%
Bressiano;Colheita - Tratores;%;96,0%;93,0%;91,0%;90,0%;91,0%;91,0%;91,0%
Bressiano;Colheita - Transbordo;%;98,0%;97,0%;97,0%;97,0%;97,0%;97,0%;97,0%
Bressiano;Apoio - CM Pipa;%;80,0%;82,0%;85,0%;79,0%;85,0%;85,0%;85,0%
Bressiano;Apoio - CM Calda Pronta;%;85,0%;80,0%;82,0%;81,1%;85,0%;85,0%;85,0%
Bressiano;Apoio - CM Munch;%;77,0%;79,0%;79,0%;78,0%;80,0%;80,0%;80,0%
Bressiano;Apoio - CM Adubo;%;83,9%;85,6%;87,9%;92,1%;85,0%;85,0%;85,0%
Bressiano;Apoio - CM Prancha;%;65,0%;71,0%;87,0%;83,0%;85,0%;85,0%;85,0%
Bressiano;Apoio - CM Tubo;%;86,7%;89,0%;85,0%;77,0%;85,0%;85,0%;85,0%
Bressiano;Apoio - CM Comboio;%;87,0%;90,0%;88,0%;86,0%;85,0%;85,0%;85,0%
Bressiano;Apoio - CM Borracheiro;%;70,0%;76,0%;78,0%;68,0%;80,0%;80,0%;80,0%
Bressiano;Apoio - CM Oficina;%;88,0%;90,0%;92,0%;91,0%;90,0%;90,0%;90,0%
