Benchmarking CTC - Safra 2025 - Capacidade diária colhedoras cana crua.;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;580;579;501;636;645;562;528;455;533;;;
2;Vale do Paracatu Bioenergia SA;;;709;816;816;816;816;;;;;;
3;Umoe Bioenergy;678;663;715;622;658;673;638;626;652;620;;;
4;Uisa;;650;696;610;630;724;628;583;598;430;;;
5;UPI - São Luiz;;698;668;805;737;637;516;574;537;;;;
6;Tietê - Ubarana;;620;825;761;786;762;622;568;456;;;;
7;Tietê - Paraíso;;513;693;711;639;654;598;526;509;;;;
8;Tereos - Vertente;;686;840;810;806;747;726;675;575;;;;
9;Tereos - Tanabi;;583;641;662;720;732;645;574;;;;;
10;Tereos - S.José;;920;752;746;745;742;676;767;506;;;;
11;Tereos - Mandu;;930;875;806;872;816;836;767;752;;;;
12;Tereos - Cruz Alta;;792;1066;976;1013;980;954;823;734;;;;
13;Tereos - Andrade;;808;766;847;718;771;741;735;486;;;;
14;São Martinho - Santa Cruz;;609;622;680;630;600;643;679;679;;;;
15;São Martinho - Matriz;;870;989;946;900;862;869;759;;;;;
16;São Martinho - Iracema;;617;651;555;561;531;;485;469;;;;
17;São Martinho - Boa Vista;;975;833;826;787;783;722;651;591;597;;;
18;São Luiz SA;;778;627;492;683;662;660;599;501;;;;
19;São João;;541;596;563;606;553;547;392;;;;;
20;São José Estiva;;;654;683;627;720;703;641;603;;;;
21;São Domingos;;462;728;696;666;664;706;600;622;;;;
22;Participante 22;;364;633;756;757;863;690;616;524;447;;;
23;Santo Ângelo;690;690;813;875;857;864;803;740;754;;;;
24;Santa Terezinha - Terra Rica;597;429;663;673;748;642;583;435;440;326;;;
25;Santa Terezinha - Tapejara;394;368;517;428;666;601;571;384;513;369;;;
26;Santa Terezinha - Rondon;411;437;564;423;648;603;570;373;359;282;;;
27;Santa Terezinha - Rio Paraná;;;383;435;576;424;444;285;249;219;;;
28;Santa Terezinha - Paranacity;550;478;671;650;714;684;508;341;368;289;;;
29;Santa Terezinha - Moreira Sales;302;369;482;412;587;561;592;447;482;300;;;
30;Santa Terezinha - Ivaté;500;376;522;455;586;555;522;400;340;308;;;
31;Santa Terezinha - Iguatemi;580;640;732;628;911;789;604;518;544;295;;;
32;Santa Terezinha - Cidade Gaúcha;549;544;678;525;721;721;681;481;404;310;;;
33;Participante 33;;444;674;696;735;702;619;523;581;;;;
34;Participante 34;;447;699;745;753;741;645;602;566;;;;
35;Santa Fé;;544;648;594;586;510;476;415;316;;;;
36;Santa Adélia - Polo Noroeste;;883;632;704;653;657;636;658;655;606;;;
37;Santa Adélia - Jaboticabal;;784;790;701;794;709;724;659;701;;;;
38;Sada Bioenergia;;;665;713;719;706;736;736;605;;;;
39;Nardini - Vista Alegre;;567;551;546;525;493;473;441;414;;;;
40;Nardini - Aporé;;643;780;669;766;724;694;565;;;;;
41;Participante 41;;;470;464;547;;468;486;;;;;
42;Melhoramentos - VDP;436;470;637;590;628;586;552;480;532;414;;;
43;Melhoramentos - NL;604;550;648;606;;703;525;393;566;580;;;
44;Melhoramentos - JS;;583;647;602;667;640;634;510;458;;;;
45;Londra;540;497;473;490;645;664;504;524;508;454;;;
46;Lins;561;618;723;585;755;707;640;590;441;;;;
47;Lasa;;216;;;;;;;;;;;
48;Laguna;589;603;575;569;604;565;571;497;493;465;;;
49;Jalles - Santa Vitória;;545;545;545;545;545;545;545;;;;;
50;Jalles - Otávio Lage;;443;659;668;679;647;609;480;402;;;;
51;Jalles - Matriz;;459;631;605;685;562;566;488;383;;;;
52;Jacarezinho;;498;511;421;492;489;439;403;374;417;;;
53;Itajobi;;557;519;523;508;505;461;397;298;;;;
54;Ipiranga - Passos;;352;567;496;535;520;492;396;403;501;;;
55;Ipiranga - Mococa;;474;556;482;503;462;452;343;322;345;;;
56;Ipiranga - Iacanga;;527;600;486;624;622;532;462;418;;;;
57;Ipiranga - Descalvado;451;614;662;586;570;548;477;402;;;;;
58;Goiasa;;407;580;570;661;705;698;702;645;;;;
59;Participante 59;;;514;545;499;562;538;467;332;;;;
60;Ferrari;;491;507;502;574;668;556;599;778;;;;
61;Ester;;430;557;489;461;542;499;401;;;;;
62;Energética Sta Helena;614;;;;;629;548;396;383;399;;;
63;Energética Serranópolis;;654;718;656;615;590;;;;;;;
64;Diana;371;496;602;495;577;557;559;499;456;164;;;
65;Denusa;;780;954;954;1023;896;841;906;672;;;;
66;Della Coletta;;490;490;;;;;;;;;;
67;Dacalda;261;261;350;300;344;334;291;267;241;254;;;
68;Da Mata;;;595;602;624;629;623;471;562;509;;;
69;Cox Energy - Coxag;;;589;543;592;596;545;414;;;;;
70;Coruripe - Lim. Oeste;;586;798;770;763;752;715;649;493;;;;
71;Coruripe - Iturama;;644;640;635;701;735;670;536;519;;;;
72;Coruripe - Carneirinho;;633;612;624;711;;705;544;427;;;;
73;Colombo - Santa Albertina;;648;754;722;866;803;663;556;451;;;;
74;Colombo - Palestina;;439;710;736;797;711;629;324;328;;;;
75;Colombo - Ariranha;;241;606;629;745;787;592;509;399;329;;;
76;Cofco - Sebastianópolis;;499;762;778;797;830;746;534;409;262;;;
77;Cofco - Potirendaba;;606;829;747;803;826;697;559;447;197;;;
78;Cofco - Meridiano;;420;704;716;759;774;654;526;404;;;;
79;Cofco - Catanduva;;579;865;834;900;904;781;631;500;;;;
80;Cerradão;;742;742;742;742;742;742;742;742;;;;
81;Cerradinho Bioenergia;;769;921;947;966;945;853;707;872;535;;;
82;Participante 82;;703;761;683;689;655;686;728;665;344;;;
83;Cargill Bioenergia - USF;;329;537;530;604;601;470;;;;;;
84;Cargill Bioenergia - URD;;414;527;435;419;509;480;433;;;;;
85;Cananova - Mirassol D Oeste;;;546;544;568;653;572;;;;;;
86;Cananova - Lambari D Oeste;;874;869;915;672;667;648;513;647;;;;
87;CMAA - Vale do Tijuco;;573;813;817;848;787;714;630;421;;;;
88;CMAA - Canápolis;;573;813;817;848;787;714;630;421;;;;
89;Bunge - Rio Vermelho;;;491;464;518;450;478;363;342;;;;
90;Bunge - Nova Unialco;;398;497;381;449;448;363;342;393;;;;
91;Bevap;;653;907;849;820;796;755;731;454;;;;
92;Bandeirantes;;388;425;342;430;387;380;409;;;;;
93;Bambuí Bioenergia;;342;516;494;417;447;385;303;;;;;
94;Balbo - Santo Antonio;;354;463;420;419;445;437;355;394;;;;
95;Participante 95;;505;642;593;637;610;626;561;610;;;;
