Benchmarking CTC - Safra 2025 - Precipitação mês a mês ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;95,2;60,4;64,7;18;5,5;7,6;225;372,6;348,5;;;
2;Zilor - Quatá;;131;21;121;12;10;10;165,5;100;274;;;
3;Zilor - Barra Grande;;124;3;98;14;2;3;67;135;;;;
4;Participante 4;34;59;0;77;17;0;7;96,5;181;218;213;;
5;Umoe Bioenergy;53;175;53;124,5;16;0;22;225;211;312;;;
6;Uisa;;192;27;56;0;0;4,6;135;89;101;224;;
7;UPI - São Luiz;;105;;32;4;3;29;110;299;;234;;
8;Tietê - Ubarana;;170,5;4,8;64,9;12,6;0;3;107,6;112,4;;;;
9;Tietê - Paraíso;;96,7;1,2;46,1;10,1;3,9;22,1;81,7;94,8;;;;
10;Tereos - Vertente;;113;23,1;31,1;5,3;9;30,2;105,8;91;;;;
11;Tereos - Tanabi;;118,2;11,7;35,1;10,3;10,9;15,1;97;89;;;;
12;Tereos - S.José;;82,2;15;30,8;5;17;39,6;89,3;97;;;;
13;Tereos - Mandu;;81,2;8,8;25,1;5,1;11,5;38,1;89,3;96;;;;
14;Tereos - Cruz Alta;;89,8;22,6;38;6,5;13;21,5;99,3;92;;;;
15;Tereos - Andrade;;107,5;3,5;35,1;8,1;9,5;33,9;84,2;106;;;;
16;São Martinho - Santa Cruz;;29,5;0,6;13,5;3,4;2,2;6,9;27,7;209,3;;;;
17;São Martinho - Matriz;;99;4;6;8;11;35;94;195;261;200;;
18;São Martinho - Iracema;;39;9;36;11;4;26;104;169;179;;;
19;São Martinho - Boa Vista;86,6;147,8;10,8;22,6;0,5;6,6;14,5;77,7;124,6;189,8;;;
20;São Manoel;69,7;56,6;8,3;56,6;11,5;1,5;11,8;231,4;202;365,8;286,1;;
21;São Luiz SA;167,5;48;41;83;10;0;9;143;242;254;;;
22;São João;;51,9;6;33,7;2,1;4;21,1;82,3;;;;;
