CD_UPNIVEL1;DE_UPNIVEL1;CD_UPNIVEL3;DE_AMBIENTE_PROD;CD_SAFRA;FORNEC;TIPO_PROP;DE_VARIED;DE_MATURAC;NO_CORTE;POND_CORTE;IDADE;POND_IDADE;AREA_CTT;TON_CANA;KG_ACUCAR;QT_CANA_ACUCAR;DT_PLANTIO;MES_PLANTIO;DT_CTT
10001;Laranjeira Industria;9;Ambiente C;21920;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;2;9,38;13,29;69.290,58;4,69;170,98;23.779,88;170,98;12/05/2017;5;24/08/2019
10001;Laranjeira Industria;9;Ambiente C;22021;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;3;14,07;11,69;80.971,84;4,69;227,04;31.142,04;227,04;12/05/2017;5;12/08/2020
10001;Laranjeira Industria;9;Ambiente C;22122;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;4;18,76;12,95;92.403,14;4,69;233,93;33.219,16;233,93;12/05/2017;5;07/09/2021
10001;Laranjeira Industria;9;Ambiente C;22223;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;5;23,45;13,33;172.078,10;4,69;423,18;57.457,63;423,18;12/05/2017;5;17/10/2022
10001;Laranjeira Industria;9;Ambiente C;22324;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;6;28,14;12,72;37.896,74;4,69;97,67;12.583,78;97,67;12/05/2017;5;05/11/2023
10001;Laranjeira Industria;10;Ambiente C;21920;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;2;3,76;13,29;27.796,23;1,88;68,59;9.539,40;68,59;12/05/2017;5;24/08/2019
10001;Laranjeira Industria;10;Ambiente C;22021;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;3;5,64;11,69;31.341,94;1,88;87,88;12.054,21;87,88;12/05/2017;5;12/08/2020
10001;Laranjeira Industria;10;Ambiente C;22122;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;4;7,52;12,95;36.697,87;1,88;92,91;13.192,98;92,91;12/05/2017;5;07/09/2021
10001;Laranjeira Industria;10;Ambiente C;22223;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;5;9,4;13,33;69.460,63;1,88;170,82;23.193,20;170,82;12/05/2017;5;17/10/2022
10001;Laranjeira Industria;10;Ambiente C;22324;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;6;11,28;12,72;15.319,02;1,88;39,48;5.086,75;39,48;12/05/2017;5;05/11/2023
10001;Laranjeira Industria;11;Ambiente C;21920;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;2;2,38;13,29;17.593,76;1,19;43,42;6.038,02;43,42;12/05/2017;5;24/08/2019
10001;Laranjeira Industria;11;Ambiente C;22021;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;3;3,57;11,69;19.855,74;1,19;55,68;7.636,59;55,68;12/05/2017;5;12/08/2020
10001;Laranjeira Industria;11;Ambiente C;22122;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;4;4,76;12,95;23.598,09;1,19;59,74;8.483,57;59,74;12/05/2017;5;07/09/2021
10001;Laranjeira Industria;11;Ambiente C;22223;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;5;5,95;13,33;44.214,42;1,19;108,73;14.763,38;108,73;12/05/2017;5;17/10/2022
10001;Laranjeira Industria;11;Ambiente C;22324;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;6;7,14;12,72;9.679,05;1,19;24,95;3.213,97;24,95;12/05/2017;5;05/11/2023
10002;Laranjeiras;1;Ambiente C;21920;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;3;40,92;14,41;380.870,29;13,64;866,62;102.885,86;866,62;02/03/2015;3;10/07/2019
10002;Laranjeiras;1;Ambiente C;22021;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;4;54,52;15,18;231.675,54;13,63;500,53;65.725,21;500,53;02/03/2015;3;12/08/2020
10002;Laranjeiras;1;Ambiente C;22122;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;5;68,15;12,82;155.505,58;13,63;397,84;54.527,02;397,84;02/03/2015;3;06/09/2021
10002;Laranjeiras;2;Ambiente C;21920;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;2;17,86;14,11;280.428,58;8,93;651,46;86.736,48;645,01;12/05/2017;5;11/10/2019
10002;Laranjeiras;2;Ambiente C;22021;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;3;26,79;12,66;196.172,42;8,93;507,99;66.588,16;507,99;12/05/2017;5;26/10/2020
10002;Laranjeiras;2;Ambiente C;22122;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;4;35,72;10,32;82.135,95;8,93;260,85;35.751,85;260,85;12/05/2017;5;06/09/2021
10002;Laranjeiras;3;Ambiente C;21920;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;2;9,7;14,11;152.382,74;4,85;354;47.131,98;350,49;12/05/2017;5;11/10/2019
10002;Laranjeiras;3;Ambiente C;22021;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;3;14,52;12,66;110.963,82;4,84;287,33;37.843,49;287,33;12/05/2017;5;26/10/2020
10002;Laranjeiras;3;Ambiente C;22122;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;4;19,36;10,32;44.519,95;4,84;141,39;19.378,50;141,39;12/05/2017;5;06/09/2021
10002;Laranjeiras;4;Ambiente B;21920;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;2;7,1;12,77;98.849,95;3,55;253,81;33.792,90;251,3;12/05/2017;5;11/10/2019
10002;Laranjeiras;4;Ambiente B;22021;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;3;10,65;12,61;29.254,72;3,55;76,08;9.254,30;76,08;12/05/2017;5;26/10/2020
10002;Laranjeiras;4;Ambiente B;22122;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;4;14,2;10,43;16.611,45;3,55;52,24;6.055,63;50,42;12/05/2017;5;08/09/2021
10002;Laranjeiras;5;Ambiente B;21920;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;2;16,86;12,77;234.812,66;8,43;602,92;80.273,41;596,95;13/05/2017;5;11/10/2019
10002;Laranjeiras;5;Ambiente B;22021;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;3;25,29;12,61;68.265,49;8,43;177,51;21.570,81;177,51;13/05/2017;5;26/10/2020
10002;Laranjeiras;5;Ambiente B;22122;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;4;33,72;10,43;38.767,26;8,43;121,92;14.132,40;117,67;13/05/2017;5;08/09/2021
10002;Laranjeiras;6;Ambiente B;21920;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;2;4,9;12,77;68.310,84;2,45;175,4;23.352,88;173,66;12/05/2017;5;11/10/2019
10002;Laranjeiras;6;Ambiente B;22021;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;3;7,35;12,61;19.581,27;2,45;50,91;6.186,23;50,91;12/05/2017;5;26/10/2020
10002;Laranjeiras;6;Ambiente B;22122;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;4;9,8;10,43;11.535,46;2,45;36,28;4.205,15;35,01;12/05/2017;5;08/09/2021
10002;Laranjeiras;8;Ambiente B;21920;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;3;26,25;14,41;254.069,33;8,75;578,1;68.632,63;578,1;02/03/2015;3;10/07/2019
10002;Laranjeiras;8;Ambiente B;22021;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;4;35;17,6;101.134,30;8,75;188,35;24.408,60;188,35;02/03/2015;3;26/10/2020
10002;Laranjeiras;8;Ambiente B;22122;UMOE BIOENERGY S.A.;1-Próprio;RB92579;6-Tardia;5;43,75;10,43;40.613,36;8,75;127,73;14.805,47;123,27;02/03/2015;3;08/09/2021
