;; ;;;;;;;;;;;;;;;;;;ANO;RANKING;;;;;;POSIÇÃO;;
 ;Meses;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;;;2026;1º;2º;3º;;;;1;2;3
16/03/2026 12:34;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
 TON;jan;;;;;;178.869;;;;;;;;;;;;;;2016;;;;;;178.869,20;0;0
;fev;;;;;;53.687;;;;;;;;;;;;;;2016;;;;;;53.686,60;0;0
;mar;;;55.862;;;;;;63.334;;;;88.749;232.446;252.656;31.680;;;;2025;2024;2023;;;;252.655,80;232.446,20;88.749,30
;abr;125.274;108.227;231.757;55.964;234.437;;208.658;255.193;320.322;306.254;226.241;103.273;210.831;260.679;199.801;;;;;2019;2020;2024;;;;320.322,10;306.253,70;260.678,60
;mai;283.273;221.426;256.578;210.072;315.840;113.492;236.273;264.070;305.120;274.141;297.896;298.358;349.954;297.475;355.711;;;;;2025;2023;2015;;;;355.710,60;349.954,20;315.839,60
;jun;277.163;165.615;150.921;284.729;336.307;254.431;269.985;314.532;315.349;205.547;219.693;260.412;278.415;412.419;228.662;;;;;2024;2015;2019;;;;412.419,00;336.307,50;315.348,80
;jul;259.708;326.790;275.108;235.644;172.372;372.087;400.891;352.392;311.339;360.087;351.177;378.828;405.531;300.984;404.894;;;;;2023;2025;2017;;;;405.531,10;404.893,50;400.890,90
;ago;280.214;249.667;334.461;324.582;366.316;299.524;261.452;223.542;327.812;231.305;247.197;196.495;356.660;338.586;443.497;;;;;2025;2015;2023;;;;443.496,60;366.315,80;356.659,90
;set;302.227;238.628;221.280;196.312;223.571;282.838;322.485;210.749;238.878;332.895;299.771;211.650;355.591;281.772;304.151;;;;;2023;2020;2017;;;;355.591,10;332.895,50;322.484,70
;out;170.667;266.541;234.278;265.795;192.470;263.227;152.258;145.792;231.651;297.043;133.297;176.405;191.410;261.188;258.574;;;;;2020;2012;2014;;;;297.042,90;266.540,60;265.794,80
;nov;188.885;213.997;174.693;191.892;115.564;282.188;153.753;293.920;20.140;309.058;106.129;307.360;216.172;220.393;220.564;;;;;2020;2022;2018;;;;309.057,80;307.360,30;293.919,70
;dez;14.308;110.283;761;156.528;130.509;132.459;112.663;210.097;;19.467;;85.136;126.864;;100.384;;;;;2018;2014;2016;;;;210.097,10;156.527,80;132.458,70
;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
 TON_HR;jan;0;0;0;0;0;535,9;0;0;0;0;0;0;0;0;0;0;;;;2016;;;;;;535,9;0;0
;fev;0;0;0;0;0;472,6;0;0;0;0;0;0;0;0;0;0;;;;2016;;;;;;472,6;0;0
;mar;0;0;437,8;0;0;0;0;0;492,4;0;0;0;493,2;487;452,4;443,6;;;;2023;2019;2024;;;;493,2;492,4;487
;abr;394,6;262;537,4;451,9;535,9;0;512,1;480,7;510,6;505,3;475,1;494,4;544,1;530,5;525,4;0;;;;2023;2013;2015;;;;544,1;537,4;535,9
;mai;483,7;319,6;525,2;526,8;563,8;530,8;495,5;502,2;499,9;495,7;481;472,2;570,7;552,9;579,4;0;;;;2025;2023;2015;;;;579,4;570,7;563,8
;jun;518,7;471,8;537,8;498,8;562,3;555,3;563,2;497;547,4;509,2;490,3;501,6;534,4;600;514,1;0;;;;2024;2017;2015;;;;600;563,2;562,3
;jul;492,3;478;543,3;562,8;564,6;571,8;554,9;495,5;518,4;521,2;506,5;518,5;577,8;562,8;602,3;0;;;;2025;2023;2016;;;;602,3;577,8;571,8
;ago;483,9;430,5;530,2;495,4;547,9;568;522,8;526,4;473;466,6;451,2;463;528,6;537,6;623,9;0;;;;2025;2016;2015;;;;623,9;568;547,9
;set;474,6;406;518,3;462,8;532,9;566,4;511;504,7;453,5;505,9;486,7;465,7;562,8;515,5;521,1;0;;;;2016;2023;2015;;;;566,4;562,8;532,9
;out;451,1;424,1;512;470,3;518,6;544,2;428,9;499,2;440,9;489,4;460,6;466,3;454,3;471,8;519,6;0;;;;2016;2025;2015;;;;544,2;519,6;518,6
;nov;368,5;405,1;469,9;465,8;520,4;540,3;400,1;546,5;380,1;489,6;455,8;503,3;512,4;497,8;531,8;0;;;;2018;2016;2025;;;;546,5;540,3;531,8
;dez;286,7;317,8;32,5;447,1;527,8;445,3;372,2;493,3;0;432,9;0;408,5;459,9;0;463,9;0;;;;2015;2018;2025;;;;527,8;493,3;463,9
;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
 DIAS_EFET;jan;0;0;0;0;0;13,9;0;0;0;0;0;0;0;0;0;0;;;;2016;;;;;;13,9;0;0
;fev;0;0;0;0;0;4,7;0;0;0;0;0;0;0;0;0;0;;;;2016;;;;;;4,7;0;0
;mar;0;0;5,3;0;0;0;0;0;5,4;0;0;0;7,5;19,9;23,3;3;;;;2025;2024;2023;;;;23,3;19,9;7,5
;abr;13,2;17,2;18;5,2;18,2;0;17;22,1;26,1;25,3;19,8;8,7;16,1;20,5;15,8;0;;;;2019;2020;2018;;;;26,1;25,3;22,1
;mai;24,4;28,9;20,4;16,6;23,3;8,9;19,9;21,9;25,4;23;25,8;26,3;25,5;22,4;25,6;0;;;;2012;2022;2021;;;;28,9;26,3;25,8
;jun;22,3;14,6;11,7;23,8;24,9;19,1;20;26,4;24;16,8;18,7;21,6;21,7;28,6;18,5;0;;;;2024;2018;2015;;;;28,6;26,4;24,9
;jul;22;28,5;21,1;17,4;12,7;27,1;30,1;29,6;25;28,8;28,9;30,4;29,2;22,3;28;0;;;;2022;2017;2018;;;;30,4;30,1;29,6
;ago;24,1;24,2;26,3;27,3;27,9;22;20,8;17,7;28,9;20,7;22,8;17,7;28,1;26,2;29,6;0;;;;2025;2019;2023;;;;29,6;28,9;28,1
;set;26,5;24,5;17,8;17,7;17,5;20,8;26,3;17,4;21,9;27,4;25,7;18,9;26,3;22,8;24,3;0;;;;2020;2011;2023;;;;27,4;26,5;26,3
;out;15,8;26,2;19,1;23,6;15,5;20,2;14,8;12,2;21,9;25,3;12,1;15,8;17,6;23,1;20,7;0;;;;2012;2020;2014;;;;26,2;25,3;23,6
;nov;21,4;22;15,5;17,2;9,3;21,8;16;22,4;2,2;26,3;9,7;25,4;17,6;18,4;17,3;0;;;;2020;2022;2018;;;;26,3;25,4;22,4
;dez;2,1;14,5;1;14,6;10,3;12,4;12,6;17,7;0;1,9;0;8,7;11,5;0;9;0;;;;2018;2014;2012;;;;17,7;14,6;14,5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total  TON;;1.901.718;1.901.174;1.935.699;1.921.519;2.087.385;2.232.800;2.118.418;2.270.287;2.133.945;2.335.798;1.881.401;2.017.916;2.580.178;2.605.941;2.768.892;31.680;;;;;;;;;;;;
Total  TON_HR;;461,4;395,1;516,9;490,3;545,1;544,6;497,4;504,6;491,5;498;479,6;484,3;534,3;531,6;543,7;443,6;;;;;;;;;;;;
Total  DIAS_EFET;;171,7;200,5;156;163,3;159,6;170,8;177,5;187,5;180,9;195,4;163,5;173,6;201,2;204,2;212,2;3;;;;;;;;;;;;
