CD_SAFRA;CD_UPNIVEL1;DE_UPNIVEL1;CD_UPNIVEL3;NO_CORTE;DE_VARIED;ANO;QT_AREA_PROD;TP_FORNEC;PERC_INFEST_BROCA
22122;10001;Laranjeira Industria;9;4;RB92579;2021;4,69;1-PRÓPRIO;0,00%
22223;10001;Laranjeira Industria;9;5;RB92579;2022;4,69;1-PRÓPRIO;0,00%
22324;10001;Laranjeira Industria;9;6;RB92579;2023;4,69;1-PRÓPRIO;0,00%
22122;10001;Laranjeira Industria;10;4;RB92579;2021;1,88;1-PRÓPRIO;0,00%
22223;10001;Laranjeira Industria;10;5;RB92579;2022;1,88;1-PRÓPRIO;0,00%
22324;10001;Laranjeira Industria;10;6;RB92579;2023;1,88;1-PRÓPRIO;0,00%
22122;10001;Laranjeira Industria;11;4;RB92579;2021;1,19;1-PRÓPRIO;0,00%
22223;10001;Laranjeira Industria;11;5;RB92579;2022;1,19;1-PRÓPRIO;0,00%
22324;10001;Laranjeira Industria;11;6;RB92579;2023;1,19;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;1;5;RB92579;2021;13,63;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;2;4;RB92579;2021;8,93;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;3;4;RB92579;2021;4,84;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;4;4;RB92579;2021;3,55;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;5;4;RB92579;2021;8,43;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;6;4;RB92579;2021;2,45;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;8;5;RB92579;2021;8,75;1-PRÓPRIO;1,75%
22122;10002;Laranjeiras;9;5;RB92579;2021;4,78;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;10;4;RB92579;2021;4,53;1-PRÓPRIO;0,00%
22223;10002;Laranjeiras;10;5;RB92579;2022;4,53;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;11;4;RB92579;2021;8,11;1-PRÓPRIO;0,00%
22223;10002;Laranjeiras;11;5;RB92579;2022;8,11;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;13;5;RB92579;2021;3,84;1-PRÓPRIO;0,00%
22223;10002;Laranjeiras;13;6;RB92579;2022;3,84;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;14;4;RB92579;2021;3,91;1-PRÓPRIO;0,00%
22223;10002;Laranjeiras;14;5;RB92579;2022;3,91;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;15;4;RB92579;2021;0,73;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;16;4;RB92579;2021;10,32;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;17;4;RB92579;2021;6,19;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;25;4;RB92579;2021;6,96;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;27;4;RB92579;2021;1,25;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;28;4;RB92579;2021;2,67;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;29;4;RB92579;2021;1,75;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;30;4;RB92579;2021;2,23;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;31;4;RB92579;2021;3,96;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;32;5;RB92579;2021;1,45;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;33;5;RB92579;2021;1,4;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;34;5;RB92579;2021;1,69;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;35;5;RB92579;2021;0,59;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;36;5;RB92579;2021;0,87;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;37;5;RB92579;2021;2,19;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;38;5;RB92579;2021;1,26;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;39;5;RB92579;2021;1,16;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;40;5;RB92579;2021;0,91;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;41;5;RB92579;2021;1,08;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;42;5;RB92579;2021;0,43;1-PRÓPRIO;0,00%
22122;10002;Laranjeiras;43;5;RB92579;2021;0,36;1-PRÓPRIO;0,00%
22122;10003;Estância Pitanga;1;2;RB975033;2021;8,08;1-PRÓPRIO;0,00%
22223;10003;Estância Pitanga;1;3;RB975033;2022;8,14;1-PRÓPRIO;0,00%
22122;10003;Estância Pitanga;2;2;CTC9001;2021;9,35;1-PRÓPRIO;0,50%
22223;10003;Estância Pitanga;2;3;CTC9001;2022;9,35;1-PRÓPRIO;0,00%
22122;10003;Estância Pitanga;3;2;CTC9001;2021;1,11;1-PRÓPRIO;0,00%
22223;10003;Estância Pitanga;3;3;CTC9001;2022;1,14;1-PRÓPRIO;0,00%
22122;10003;Estância Pitanga;4;2;CTC9001;2021;2,72;1-PRÓPRIO;0,00%
22223;10003;Estância Pitanga;4;3;CTC9001;2022;2,72;1-PRÓPRIO;0,00%
22122;10003;Estância Pitanga;5;2;RB975033;2021;14,92;1-PRÓPRIO;0,00%
22223;10003;Estância Pitanga;5;3;RB975033;2022;14,92;1-PRÓPRIO;0,80%
22223;10003;Estância Pitanga;6;3;RB975033;2022;6,04;1-PRÓPRIO;0,00%
22122;10003;Estância Pitanga;7;2;RB975033;2021;18,66;1-PRÓPRIO;1,83%
22223;10003;Estância Pitanga;7;3;RB975033;2022;18,78;1-PRÓPRIO;0,00%
22223;10003;Estância Pitanga;8;3;RB975033;2022;8,4;1-PRÓPRIO;0,00%
22223;10003;Estância Pitanga;9;3;RB975033;2022;6,64;1-PRÓPRIO;0,00%
22122;10004;Fazenda Laranjeiras1;6;4;RB92579;2021;17,7;1-PRÓPRIO;0,00%
22122;10004;Fazenda Laranjeiras1;7;4;RB92579;2021;8,02;1-PRÓPRIO;0,00%
