CD_SAFRA;CD_UPNIVEL1;DE_UPNIVEL1;CD_UPNIVEL3;NO_CORTE;DE_VARIED;ANO;QT_AREA_PROD;NINFAS_METRO
22223;10001;Laranjeira Industria;9;5;RB92579;2021;4,69;0
22223;10001;Laranjeira Industria;10;5;RB92579;2021;1,88;0,0208
22223;10003;Estância Pitanga;2;3;CTC9001;2021;9,35;0
22223;10003;Estância Pitanga;2;3;CTC9001;2022;9,35;0
22223;10003;Estância Pitanga;5;3;RB975033;2021;14,92;0
22223;10003;Estância Pitanga;5;3;RB975033;2022;14,92;0
22223;10003;Estância Pitanga;6;3;RB975033;2021;6,04;0
22223;10003;Estância Pitanga;7;3;RB975033;2021;18,78;0,0139
22223;10003;Estância Pitanga;7;3;RB975033;2022;18,78;0,1181
22223;10003;Estância Pitanga;8;3;RB975033;2021;8,4;0,0394
22223;10003;Estância Pitanga;9;3;RB975033;2021;6,64;0
22223;10003;Estância Pitanga;9;3;RB975033;2022;6,64;0
22122;10005;Fazenda Laranjeiras 2;1;2;RB92579;2021;15,85;0,0301
22223;10005;Fazenda Laranjeiras 2;1;3;RB92579;2021;15,85;0
22223;10005;Fazenda Laranjeiras 2;1;3;RB92579;2022;15,85;0
22425;10005;Fazenda Laranjeiras 2;1;5;RB92579;2024;15,85;0
22526;10005;Fazenda Laranjeiras 2;1;6;RB92579;2025;15,85;0
22122;10005;Fazenda Laranjeiras 2;2;2;RB92579;2021;16,17;0
22223;10005;Fazenda Laranjeiras 2;2;3;RB92579;2021;16,17;0
22223;10005;Fazenda Laranjeiras 2;2;3;RB92579;2022;16,17;0
22425;10005;Fazenda Laranjeiras 2;2;5;RB92579;2024;16,17;0,375
22526;10005;Fazenda Laranjeiras 2;2;6;RB92579;2025;16,17;0
22122;10005;Fazenda Laranjeiras 2;3;2;RB92579;2021;16,93;0,0085
22223;10005;Fazenda Laranjeiras 2;3;3;RB92579;2021;16,93;0
22223;10005;Fazenda Laranjeiras 2;3;3;RB92579;2022;16,93;0
22425;10005;Fazenda Laranjeiras 2;3;5;RB92579;2024;16,93;0
22526;10005;Fazenda Laranjeiras 2;3;6;RB92579;2025;16,93;0
22122;10100;Sítio Jataí II;1;4;RB92579;2021;8,14;0
22223;10100;Sítio Jataí II;1;5;RB92579;2021;8,14;0
22425;10100;Sítio Jataí II;1;7;RB92579;2024;8,14;0
22223;10100;Sítio Jataí II;2;5;RB92579;2021;5,58;0,0417
22425;10100;Sítio Jataí II;2;7;RB92579;2024;5,58;0
22526;10100;Sítio Jataí II;2;8;RB92579;2025;5,58;0
22122;10105;Sitio Boa Esperanca;1;4;RB92579;2021;7,05;0,0486
22223;10105;Sitio Boa Esperanca;1;5;RB92579;2021;7,05;0
22223;10105;Sitio Boa Esperanca;2;5;RB92579;2021;3,85;0
22122;10303;Fazenda Sossego;80;2;RB92579;2021;10,92;0,2986
22223;10303;Fazenda Sossego;80;3;RB92579;2021;10,92;0
22223;10303;Fazenda Sossego;80;3;RB92579;2022;10,92;0,0556
22324;10303;Fazenda Sossego;80;4;RB92579;2023;10,92;0,1042
22425;10303;Fazenda Sossego;80;5;RB92579;2024;10,92;0
22223;10303;Fazenda Sossego;81;3;RB92579;2021;2,39;0
22122;10303;Fazenda Sossego;82;2;RB92579;2021;32,94;0,4792
22223;10303;Fazenda Sossego;82;3;RB92579;2021;32,94;0
22223;10303;Fazenda Sossego;82;3;RB92579;2022;32,94;0,0451
22324;10303;Fazenda Sossego;82;4;RB92579;2023;32,94;0
22425;10303;Fazenda Sossego;82;5;RB92579;2024;32,94;0
22122;10303;Fazenda Sossego;83;2;RB92579;2021;27,01;0,2431
22223;10303;Fazenda Sossego;83;3;RB92579;2021;27,01;0
22223;10303;Fazenda Sossego;83;3;RB92579;2022;27,01;0,0035
22324;10303;Fazenda Sossego;83;4;RB92579;2023;27,01;0
22425;10303;Fazenda Sossego;83;5;RB92579;2024;27,01;0
22122;10303;Fazenda Sossego;84;2;RB92579;2021;7,05;0,2014
22223;10303;Fazenda Sossego;84;3;RB92579;2022;7,05;0
22122;10303;Fazenda Sossego;85;2;RB92579;2021;13,44;0,1181
22223;10303;Fazenda Sossego;85;3;RB92579;2022;13,44;0
22425;10303;Fazenda Sossego;85;5;RB92579;2024;13,44;0
22223;10303;Fazenda Sossego;86;3;RB92579;2022;13,4;0
22324;10303;Fazenda Sossego;86;4;RB92579;2023;13,4;0
22122;10303;Fazenda Sossego;87;2;RB92579;2021;12,08;0
22425;10303;Fazenda Sossego;87;5;RB92579;2024;12,08;0
22122;10303;Fazenda Sossego;88;2;RB92579;2021;10,34;0,1285
22223;10303;Fazenda Sossego;88;3;RB92579;2022;10,34;0
22425;10303;Fazenda Sossego;88;5;RB92579;2024;10,34;0
22223;10303;Fazenda Sossego;89;3;RB92579;2022;8,25;0
22425;10303;Fazenda Sossego;89;5;RB92579;2024;8,25;0
22223;10303;Fazenda Sossego;90;3;RB92579;2022;4,41;0
22122;10303;Fazenda Sossego;99;4;RB92579;2021;30,42;0
22223;10303;Fazenda Sossego;99;5;RB92579;2021;30,42;0
22223;10303;Fazenda Sossego;100;5;RB92579;2021;34,4;0
22122;10303;Fazenda Sossego;101;4;RB92579;2021;31,52;0,0486
22223;10303;Fazenda Sossego;101;5;RB92579;2021;31,52;0
22122;10303;Fazenda Sossego;103;4;RB92579;2021;31,44;0
22223;10303;Fazenda Sossego;103;5;RB92579;2021;31,44;0
22223;10303;Fazenda Sossego;104;5;RB92579;2021;45,1;0
22122;10303;Fazenda Sossego;105;4;RB92579;2021;24,02;0
22223;10303;Fazenda Sossego;105;5;RB92579;2021;24,02;0
22223;10303;Fazenda Sossego;107;5;RB92579;2021;16,11;0
22122;10303;Fazenda Sossego;108;4;RB92579;2021;31,18;0
22223;10303;Fazenda Sossego;108;5;RB92579;2021;31,18;0
22223;10303;Fazenda Sossego;109;5;RB92579;2021;10,94;0
22324;10310;Fazenda Sao Jorge;1;1;SP83-2847;2022;9,09;0
22425;10310;Fazenda Sao Jorge;1;2;SP83-2847;2024;9,09;0
22324;10310;Fazenda Sao Jorge;2;1;SP83-2847;2022;18,97;0
22324;10310;Fazenda Sao Jorge;2;1;SP83-2847;2023;18,97;0
22425;10310;Fazenda Sao Jorge;2;2;SP83-2847;2023;18,97;0
22425;10310;Fazenda Sao Jorge;2;2;SP83-2847;2024;18,97;0
