CD_SAFRA;CD_UPNIVEL1;DE_UPNIVEL1;CD_UPNIVEL3;NO_CORTE;DE_VARIED;ANO;QT_AREA;LARVAS_METRO
22223;10001;Laranjeira Industria;9;5;RB92579;2021;4,69;0
22223;10001;Laranjeira Industria;10;5;RB92579;2021;1,88;0
22223;10001;Laranjeira Industria;11;5;RB92579;2021;1,19;0
22223;10003;Estância Pitanga;1;3;RB975033;2021;8,14;0
22324;10003;Estância Pitanga;1;4;RB975033;2022;8,14;0
22223;10003;Estância Pitanga;3;3;CTC9001;2021;1,14;0
22324;10003;Estância Pitanga;3;4;CTC9001;2022;1,14;0
22223;10003;Estância Pitanga;4;3;CTC9001;2021;2,72;0
22324;10003;Estância Pitanga;4;4;CTC9001;2022;2,72;0
22324;10003;Estância Pitanga;5;4;RB975033;2022;14,92;0
22223;10003;Estância Pitanga;6;3;RB975033;2021;6,04;0
22324;10003;Estância Pitanga;6;4;RB975033;2022;6,04;0
22324;10003;Estância Pitanga;8;4;RB975033;2022;8,4;0
22223;10003;Estância Pitanga;9;3;RB975033;2021;6,64;0
22122;10005;Fazenda Laranjeiras 2;1;2;RB92579;2021;15,85;0
22122;10005;Fazenda Laranjeiras 2;2;2;RB92579;2021;16,17;0
22122;10005;Fazenda Laranjeiras 2;3;2;RB92579;2021;16,93;0
22223;10100;Sítio Jataí II;1;5;RB92579;2021;8,14;0
22324;10100;Sítio Jataí II;1;6;RB92579;2022;8,14;0
22223;10100;Sítio Jataí II;2;5;RB92579;2021;5,58;0
22324;10100;Sítio Jataí II;2;6;RB92579;2022;5,58;0
22223;10105;Sitio Boa Esperanca;2;5;RB92579;2021;3,85;0
22223;10105;Sitio Boa Esperanca;3;5;RB92579;2021;1,65;0
22223;10303;Fazenda Sossego;80;3;RB92579;2021;10,92;0
22324;10303;Fazenda Sossego;80;4;RB92579;2022;10,92;0
22425;10303;Fazenda Sossego;80;5;RB92579;2024;10,92;0
22425;10303;Fazenda Sossego;81;5;RB92579;2023;2,39;0
22425;10303;Fazenda Sossego;82;5;RB92579;2023;32,94;0
22223;10303;Fazenda Sossego;83;3;RB92579;2021;27,01;0
22324;10303;Fazenda Sossego;83;4;RB92579;2022;54,02;0
22425;10303;Fazenda Sossego;83;5;RB92579;2023;27,01;0
22324;10303;Fazenda Sossego;84;4;RB92579;2022;7,05;0
22425;10303;Fazenda Sossego;84;5;RB92579;2024;7,05;0
22223;10303;Fazenda Sossego;85;3;RB92579;2021;13,44;0
22223;10303;Fazenda Sossego;86;3;RB92579;2021;13,4;0
22324;10303;Fazenda Sossego;86;4;RB92579;2022;13,4;0
22425;10303;Fazenda Sossego;86;5;RB92579;2024;13,4;0
22324;10303;Fazenda Sossego;88;4;RB92579;2022;10,34;0
22223;10303;Fazenda Sossego;89;3;RB92579;2021;8,25;0
22425;10303;Fazenda Sossego;89;5;RB92579;2024;8,25;0
22223;10303;Fazenda Sossego;90;3;RB92579;2021;4,41;0
22324;10303;Fazenda Sossego;90;4;RB92579;2022;4,41;0
22223;10303;Fazenda Sossego;100;5;RB92579;2021;34,4;0
22223;10303;Fazenda Sossego;102;5;RB92579;2021;15,33;0
22223;10303;Fazenda Sossego;104;5;RB92579;2021;45,1;0
22223;10303;Fazenda Sossego;107;5;RB92579;2021;16,11;0
22223;10303;Fazenda Sossego;109;5;RB92579;2021;10,94;0
22223;10303;Fazenda Sossego;110;5;RB92579;2021;14,33;0
22425;10310;Fazenda Sao Jorge;1;2;SP83-2847;2023;9,09;0
22425;10310;Fazenda Sao Jorge;3;2;SP83-2847;2023;16,47;0
22425;10310;Fazenda Sao Jorge;5;2;SP83-2847;2023;21,01;0
22324;10310;Fazenda Sao Jorge;21;4;RB975033;2022;2,5;0
22425;10310;Fazenda Sao Jorge;21;0;CTC1007;2023;17,57;0
22425;10310;Fazenda Sao Jorge;22;0;CTC1007;2023;6,77;0
22223;10310;Fazenda Sao Jorge;23;3;RB975033;2021;3,68;0
22324;10310;Fazenda Sao Jorge;23;4;RB975033;2022;3,68;0
22425;10310;Fazenda Sao Jorge;23;0;CTC1007;2023;24,11;0
22223;10310;Fazenda Sao Jorge;24;3;RB975033;2021;2,72;0
