CHV;Código Fazenda;CD_UPNIVEL3;DT_ANALISE;NIVEL INFESTAÇÃO;;Nivel de Infestação;
100020001;10002;1;20/01/2016;B;;A;Alto
100030001;10003;1;09/06/2020;A;;M;Médio
100030002;10003;2;09/06/2020;A;;B;Baixo
100030005;10003;5;09/06/2020;B;;;
100030007;10003;7;09/06/2020;B;;;
100030009;10003;9;09/06/2020;B;;;
100040001;10004;1;20/01/2016;B;;;
100050001;10005;1;10/05/2016;B;;;
103030001;10303;1;21/12/2016;B;;;
103040001;10304;1;20/01/2016;B;;;
103080024;10308;24;22/04/2020;A;;;
103080025;10308;25;22/04/2020;A;;;
103080026;10308;26;22/04/2020;A;;;
103080027;10308;27;22/04/2020;A;;;
103080028;10308;28;22/04/2020;A;;;
103080029;10308;29;22/04/2020;A;;;
103080030;10308;30;22/04/2020;A;;;
103080031;10308;31;22/04/2020;A;;;
103080032;10308;32;22/04/2020;A;;;
103080033;10308;33;22/04/2020;M;;;
103080034;10308;34;22/04/2020;M;;;
103100001;10310;1;28/04/2020;B;;;
103100002;10310;2;28/04/2020;B;;;
103100003;10310;3;28/04/2020;B;;;
103100004;10310;4;28/04/2020;B;;;
103100005;10310;5;28/04/2020;B;;;
103100006;10310;6;28/04/2020;B;;;
103100007;10310;7;28/04/2020;M;;;
103100008;10310;8;28/04/2020;B;;;
103100009;10310;9;28/04/2020;B;;;
103100010;10310;10;28/04/2020;B;;;
103100011;10310;11;28/04/2020;B;;;
103100012;10310;12;28/04/2020;B;;;
103100013;10310;13;28/04/2020;B;;;
103100027;10310;27;23/07/2020;B;;;
103100028;10310;28;23/07/2020;B;;;
103100029;10310;29;23/07/2020;B;;;
103100030;10310;30;23/07/2020;B;;;
103100031;10310;31;23/07/2020;B;;;
103100036;10310;36;23/07/2020;B;;;
103100037;10310;37;23/07/2020;B;;;
103100038;10310;38;23/07/2020;B;;;
103100039;10310;39;23/07/2020;B;;;
103100056;10310;56;23/07/2020;B;;;
103100057;10310;57;23/07/2020;B;;;
103100060;10310;60;23/07/2020;B;;;
103100061;10310;61;23/07/2020;B;;;
103100062;10310;62;23/07/2020;B;;;
103100069;10310;69;23/07/2020;B;;;
103100070;10310;70;23/07/2020;B;;;
103100082;10310;82;01/08/2020;B;;;
103100083;10310;83;01/08/2020;B;;;
103100086;10310;86;23/07/2020;B;;;
103100091;10310;91;01/08/2020;B;;;
103100092;10310;92;01/08/2020;B;;;
103100093;10310;93;01/08/2020;B;;;
103100095;10310;95;23/07/2020;B;;;
103100096;10310;96;23/07/2020;B;;;
103100097;10310;97;23/07/2020;B;;;
103100110;10310;110;23/07/2020;A;;;
103100111;10310;111;23/07/2020;A;;;
103100119;10310;119;23/07/2020;M;;;
103100120;10310;120;23/07/2020;M;;;
103100121;10310;121;23/07/2020;M;;;
103100122;10310;122;23/07/2020;M;;;
103100129;10310;129;23/07/2020;B;;;
103100130;10310;130;23/07/2020;B;;;
103100132;10310;132;01/08/2020;B;;;
103100135;10310;135;01/08/2020;B;;;
103100137;10310;137;23/07/2020;B;;;
103100138;10310;138;23/07/2020;B;;;
103100141;10310;141;23/07/2020;B;;;
103110047;10311;47;02/03/2022;A;;;
103110049;10311;49;11/01/2022;M;;;
103110050;10311;50;11/01/2022;B;;;
103110052;10311;52;11/01/2022;A;;;
103110227;10311;227;01/03/2021;B;;;
103110228;10311;228;01/03/2021;B;;;
103110229;10311;229;01/03/2021;B;;;
103110230;10311;230;01/03/2021;B;;;
103110231;10311;231;01/03/2021;B;;;
103110232;10311;232;01/03/2021;B;;;
103110233;10311;233;01/03/2021;B;;;
103110234;10311;234;01/03/2021;B;;;
103110235;10311;235;01/03/2021;B;;;
103110236;10311;236;01/03/2021;B;;;
103110237;10311;237;01/03/2021;B;;;
103110241;10311;241;01/03/2021;B;;;
103110242;10311;242;01/03/2021;A;;;
103110243;10311;243;01/03/2021;A;;;
103110244;10311;244;01/03/2021;A;;;
103110245;10311;245;01/03/2021;A;;;
103110246;10311;246;01/03/2021;A;;;
103120001;10312;1;21/12/2023;A;;;
103120006;10312;6;21/12/2023;B;;;
103120013;10312;13;28/04/2020;A;;;
103120014;10312;14;28/04/2020;A;;;
103120015;10312;15;22/04/2020;A;;;
103120016;10312;16;22/04/2020;A;;;
103120017;10312;17;22/04/2020;M;;;
103120018;10312;18;22/04/2020;A;;;
103160009;10316;9;21/12/2023;A;;;
103160010;10316;10;21/12/2023;A;;;
103160014;10316;14;11/01/2022;A;;;
103160027;10316;27;11/01/2022;A;;;
103160030;10316;30;11/01/2022;A;;;
103160032;10316;32;11/01/2022;A;;;
103160045;10316;45;11/01/2022;A;;;
103160053;10316;53;11/01/2022;M;;;
103160054;10316;54;11/01/2022;A;;;
103170001;10317;1;22/04/2020;A;;;
103170002;10317;2;22/04/2020;M;;;
103170003;10317;3;22/04/2020;B;;;
103170004;10317;4;22/04/2020;B;;;
103170005;10317;5;22/04/2020;B;;;
103170006;10317;6;22/04/2020;M;;;
103170007;10317;7;22/04/2020;A;;;
103170008;10317;8;22/04/2020;A;;;
103170009;10317;9;22/04/2020;A;;;
103170010;10317;10;22/04/2020;A;;;
103170011;10317;11;22/04/2020;A;;;
103170012;10317;12;22/04/2020;M;;;
103170013;10317;13;22/04/2020;B;;;
103170014;10317;14;22/04/2020;A;;;
103170015;10317;15;22/04/2020;B;;;
103170016;10317;16;22/04/2020;B;;;
103170017;10317;17;22/04/2020;B;;;
103170018;10317;18;22/04/2020;B;;;
103170019;10317;19;22/04/2020;B;;;
103170020;10317;20;22/04/2020;B;;;
103170021;10317;21;22/04/2020;M;;;
103250001;10325;1;05/01/2022;A;;;
103250002;10325;2;21/12/2023;A;;;
103250003;10325;3;05/01/2022;A;;;
103250004;10325;4;27/01/2021;B;;;
