CD_SAFRA;FAZENDA;CD_UPNIVEL3;NO_CORTE;DE_VARIED;DE_LATITUDE;DE_LONGITUDE;DT_AMOSTRA;ANO_AMOST;QT_AREA_PROD;QTDE_PONTO;PAO_GALINHA;NAUPACTUS;PERCEVEJO_CASTANHO;LARVA_ARAME;CRISOMELIDEO;BROCA_PELUDA;METAMASIUS;FA
22425;10303 - Fazenda Sossego;81;5;RB92579;-225.982.646.212;-516.051.608.348;06/09/2023;2023;2,39;1;0;0;0;0;0;0;0;10303
22425;10303 - Fazenda Sossego;82;5;RB92579;-225.972.540.779;-516.018.788.097;06/09/2023;2023;32,94;1;0;0;0;1;0;2;0;10303
22425;10303 - Fazenda Sossego;83;5;RB92579;-225.970.095.067;-515.967.292.966;06/09/2023;2023;27,01;1;1;0;0;0;0;2;1;10303
22425;10310 - Fazenda Sao Jorge;1;2;SP83-2847;-225.283.609.694;-517.107.735.438;24/08/2023;2023;9,09;1;2;0;0;0;0;5;0;10310
22425;10310 - Fazenda Sao Jorge;3;2;SP83-2847;-225.248.256.392;-517.119.835.347;24/08/2023;2023;16,47;1;1;0;0;0;0;6;0;10310
22425;10310 - Fazenda Sao Jorge;5;2;SP83-2847;-22.522.853.357;-517.143.890.476;24/08/2023;2023;21,01;1;0;0;0;1;0;1;0;10310
22425;10310 - Fazenda Sao Jorge;21;4;RB975033;-225.297.578.191;-517.071.434.814;18/07/2023;2023;17,57;1;11;0;1;2;0;0;0;10310
22425;10310 - Fazenda Sao Jorge;22;4;RB975033;-225.287.791.281;-51.707.701.461;18/07/2023;2023;6,77;1;13;0;6;0;0;2;0;10310
22425;10310 - Fazenda Sao Jorge;23;4;RB975033;-225.279.607.645;-517.071.312.807;18/07/2023;2023;24,11;1;7;0;4;0;0;2;0;10310
22425;10310 - Fazenda Sao Jorge;24;4;RB975033;-225.271.951.777;-517.066.572.052;19/07/2023;2023;32,07;1;13;0;4;0;0;0;0;10310
22425;10310 - Fazenda Sao Jorge;26;4;RB975033;-225.261.465.919;-517.060.174.803;19/07/2023;2023;33,66;1;23;0;2;2;0;0;0;10310
22425;10310 - Fazenda Sao Jorge;27;4;RB975033;-225.284.216.932;-517.040.001.167;19/07/2023;2023;8,42;1;1;0;1;0;0;0;0;10310
22425;10310 - Fazenda Sao Jorge;28;4;RB975033;-225.298.586.702;-517.026.704.287;19/07/2023;2023;21,81;1;13;0;2;1;0;1;0;10310
22425;10310 - Fazenda Sao Jorge;29;4;RB975033;-225.305.395.778;-517.025.334.056;19/07/2023;2023;5,14;1;7;0;3;0;0;0;0;10310
22425;10310 - Fazenda Sao Jorge;30;4;RB975033;-225.309.325.924;-517.029.492.356;18/07/2023;2023;17,53;1;0;0;0;1;0;0;0;10310
22425;10310 - Fazenda Sao Jorge;31;4;RB975033;-225.314.616.808;-517.031.796.845;18/07/2023;2023;12,45;1;4;0;0;0;0;1;0;10310
22425;10310 - Fazenda Sao Jorge;32;4;RB975033;-225.323.253.273;-517.027.888.286;18/07/2023;2023;15,55;1;9;0;0;0;0;0;0;10310
22425;10310 - Fazenda Sao Jorge;33;4;RB975033;-225.328.793.545;-517.031.532.076;18/07/2023;2023;34,31;1;4;0;0;0;0;0;0;10310
22425;10311 - Fazenda Santo Antônio ;51;2;CTC9001;-224.750.421.157;-51.754.982.542;12/05/2023;2023;11,22;1;8;0;0;0;0;0;0;10311
22425;10311 - Fazenda Santo Antônio ;53;2;CTC9001;-224.701.875.907;-517.491.866.194;12/05/2023;2023;13,02;1;3;0;0;0;0;0;0;10311
22627;10316 - Fazenda Santa Luzia;27;2;DIVERSAS;-225.076.164.391;-517.074.599.832;14/07/2025;2025;26,06;1;2;0;0;2;0;3;0;10316
22627;10316 - Fazenda Santa Luzia;28;2;DIVERSAS;-225.092.696.286;-517.048.024.597;14/07/2025;2025;44,37;1;0;0;0;0;0;3;0;10316
22627;10316 - Fazenda Santa Luzia;29;2;DIVERSAS;-225.106.519.097;-517.040.206.428;14/07/2025;2025;16,58;1;1;0;0;1;0;4;0;10316
22627;10327 - Fazenda Minerva;1;3;RB975201;-2.240.029.198.909;-5.152.795.468.049;21/08/2025;2025;26,23;1;2;0;0;0;0;6;0;10327
22627;10327 - Fazenda Minerva;2;3;RB975201;-2.240.016.463.172;-5.153.282.625.391;21/08/2025;2025;25,94;1;0;0;0;0;0;9;0;10327
22627;10327 - Fazenda Minerva;3;4;RB975201;-224.038.580.679;-5.153.342.013.231;21/08/2025;2025;14,53;1;0;0;0;0;0;3;0;10327
22627;10327 - Fazenda Minerva;4;4;RB975201;-2.240.497.693.668;-5.153.587.354.094;21/08/2025;2025;13,71;1;0;0;0;0;0;0;0;10327
22425;10327 - Fazenda Minerva;5;2;RB975201;-224.054.369.456;-51.540.726.132;25/08/2023;2023;2,59;1;1;0;0;0;0;2;0;10327
22627;10327 - Fazenda Minerva;6;3;RB975201;-2.240.042.222.706;-5.154.052.329.378;21/08/2025;2025;64,85;1;1;0;0;0;0;8;0;10327
22627;10327 - Fazenda Minerva;7;3;RB975201;-224.003.702.561;-5.154.666.469.448;21/08/2025;2025;35,35;1;3;0;0;0;0;6;0;10327
