CD_SAFRA;CD_UPNIVEL1;DE_UPNIVEL1;CD_UPNIVEL3;NO_CORTE;DE_VARIED;ANO;QT_AREA_PROD;QT_TT_RIZOMAS;QT_RIZOMAS_ATAC;PERC_TOCO_ATAC
22223;10001;Laranjeira Industria;9;5;RB92579;2021;4,69;151;13;8,61%
22223;10001;Laranjeira Industria;10;5;RB92579;2021;1,88;66;1;1,52%
22223;10001;Laranjeira Industria;11;5;RB92579;2021;1,19;37;1;2,70%
22122;10003;Estância Pitanga;1;2;RB975033;2021;8,08;108;1;0,93%
22223;10003;Estância Pitanga;1;3;RB975033;2021;8,14;261;0;0,00%
22324;10003;Estância Pitanga;1;4;RB975033;2022;8,14;167;0;0,00%
22122;10003;Estância Pitanga;2;2;CTC9001;2021;9,35;330;0;0,00%
22223;10003;Estância Pitanga;3;3;CTC9001;2021;1,14;47;0;0,00%
22324;10003;Estância Pitanga;3;4;CTC9001;2022;1,14;34;0;0,00%
22223;10003;Estância Pitanga;4;3;CTC9001;2021;2,72;97;3;3,09%
22324;10003;Estância Pitanga;4;4;CTC9001;2022;2,72;94;0;0,00%
22122;10003;Estância Pitanga;5;2;RB975033;2021;14,92;526;0;0,00%
22324;10003;Estância Pitanga;5;4;RB975033;2022;14,92;395;0;0,00%
22223;10003;Estância Pitanga;6;3;RB975033;2021;6,04;193;0;0,00%
22324;10003;Estância Pitanga;6;4;RB975033;2022;6,04;203;0;0,00%
22223;10003;Estância Pitanga;8;3;RB975033;2021;8,4;266;3;1,13%
22324;10003;Estância Pitanga;8;4;RB975033;2022;8,4;266;1;0,38%
22223;10003;Estância Pitanga;9;3;RB975033;2021;6,64;200;2;1,00%
22122;10005;Fazenda Laranjeiras 2;1;2;RB92579;2021;15,85;138;0;0,00%
22122;10005;Fazenda Laranjeiras 2;2;2;RB92579;2021;16,17;437;0;0,00%
22122;10005;Fazenda Laranjeiras 2;3;2;RB92579;2021;16,93;555;4;0,72%
22223;10100;Sítio Jataí II;1;5;RB92579;2021;8,14;246;3;1,22%
22324;10100;Sítio Jataí II;1;6;RB92579;2022;8,14;243;9;3,70%
22223;10100;Sítio Jataí II;2;5;RB92579;2021;5,58;188;4;2,13%
22324;10100;Sítio Jataí II;2;6;RB92579;2022;5,58;200;0;0,00%
22223;10105;Sitio Boa Esperanca;2;5;RB92579;2021;3,85;122;8;6,56%
22223;10105;Sitio Boa Esperanca;3;5;RB92579;2021;1,65;63;2;3,17%
22223;10303;Fazenda Sossego;80;3;RB92579;2021;10,92;365;3;0,82%
22324;10303;Fazenda Sossego;80;4;RB92579;2022;10,92;321;2;0,62%
22425;10303;Fazenda Sossego;81;5;RB92579;2023;2,39;56;0;0,00%
22425;10303;Fazenda Sossego;82;5;RB92579;2023;32,94;1.037,00;3;0,29%
22223;10303;Fazenda Sossego;83;3;RB92579;2021;27,01;986;1;0,10%
22324;10303;Fazenda Sossego;83;4;RB92579;2022;27,01;813;10;1,23%
22425;10303;Fazenda Sossego;83;5;RB92579;2023;27,01;782;2;0,26%
22324;10303;Fazenda Sossego;84;4;RB92579;2022;7,05;216;11;5,09%
22223;10303;Fazenda Sossego;85;3;RB92579;2021;13,44;469;0;0,00%
22223;10303;Fazenda Sossego;86;3;RB92579;2021;13,4;417;0;0,00%
22324;10303;Fazenda Sossego;86;4;RB92579;2022;13,4;366;9;2,46%
22324;10303;Fazenda Sossego;88;4;RB92579;2022;10,34;285;1;0,35%
22223;10303;Fazenda Sossego;89;3;RB92579;2021;8,25;278;0;0,00%
22223;10303;Fazenda Sossego;90;3;RB92579;2021;4,41;147;0;0,00%
22324;10303;Fazenda Sossego;90;4;RB92579;2022;4,41;112;3;2,68%
22223;10303;Fazenda Sossego;100;5;RB92579;2021;34,4;1.078,00;8;0,74%
22223;10303;Fazenda Sossego;102;5;RB92579;2021;15,33;492;0;0,00%
22223;10303;Fazenda Sossego;104;5;RB92579;2021;45,1;1.606,00;9;0,56%
22223;10303;Fazenda Sossego;107;5;RB92579;2021;16,11;453;1;0,22%
22223;10303;Fazenda Sossego;109;5;RB92579;2021;10,94;368;3;0,82%
22223;10303;Fazenda Sossego;110;5;RB92579;2021;14,33;411;1;0,24%
22425;10310;Fazenda Sao Jorge;1;2;SP83-2847;2023;9,09;249;0;0,00%
22425;10310;Fazenda Sao Jorge;3;2;SP83-2847;2023;16,47;535;0;0,00%
