;; ;;;;;;;;;;;;;;;;;;ANO;RANKING;;;;;;POSIÇÃO;;;;;;
 ;Meses;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;;;2026;1º;2º;3º;;Meta;;1;2;3;;;Linear;Ponderado
16/03/2026 12:34;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 ;0,00 ;0,00 ;;;;
 KG ATR;jan;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;86,44 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;; KG ATR;2016;;;;;;86,44 ;0,00 ;0,00 ;;;;
;fev;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;91,99 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;; KG ATR;2016;;;;;;91,99 ;0,00 ;0,00 ;;;;
;mar;0,00 ;0,00 ;106,02 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;93,18 ;0,00 ;0,00 ;0,00 ;119,50 ;117,87 ;128,10 ;115,66 ;;; KG ATR;2025;2023;2024;;118,0 ;;128,10 ;119,50 ;117,87 ;;;121,82 ;122,63 
;abr;122,20 ;117,38 ;109,79 ;98,03 ;120,96 ;0,00 ;107,16 ;103,81 ;104,71 ;113,51 ;122,34 ;108,97 ;124,86 ;125,79 ;131,73 ;0,00 ;;; KG ATR;2025;2024;2023;;127,5 ;;131,73 ;125,79 ;124,86 ;;;127,46 ;127,27 
;mai;127,71 ;122,57 ;115,67 ;113,41 ;124,37 ;113,26 ;122,23 ;119,62 ;116,64 ;122,87 ;135,80 ;115,03 ;130,77 ;131,47 ;134,33 ;0,00 ;;; KG ATR;2021;2025;2024;;132,0 ;;135,80 ;134,33 ;131,47 ;;;132,19 ;132,24 
;jun;130,38 ;123,18 ;113,34 ;115,46 ;124,81 ;122,51 ;121,24 ;126,66 ;126,71 ;128,48 ;139,15 ;127,82 ;139,53 ;137,82 ;138,83 ;0,00 ;;; KG ATR;2023;2021;2025;;139,0 ;;139,53 ;139,15 ;138,83 ;;;138,73 ;138,59 
;jul;126,61 ;124,92 ;122,52 ;119,01 ;131,89 ;127,16 ;125,68 ;133,36 ;127,98 ;131,87 ;134,14 ;143,82 ;142,33 ;140,86 ;136,71 ;0,00 ;;; KG ATR;2022;2023;2024;;140,0 ;;143,82 ;142,33 ;140,86 ;;;139,97 ;139,88 
;ago;139,36 ;139,50 ;126,67 ;133,05 ;134,27 ;131,31 ;136,03 ;133,96 ;143,00 ;134,32 ;139,07 ;148,63 ;149,26 ;142,49 ;145,16 ;0,00 ;;; KG ATR;2023;2022;2025;;146,0 ;;149,26 ;148,63 ;145,16 ;;;145,64 ;145,65 
;set;146,09 ;148,65 ;132,50 ;140,72 ;135,42 ;135,51 ;141,14 ;137,51 ;143,99 ;139,60 ;138,18 ;149,83 ;150,21 ;152,38 ;154,80 ;0,00 ;;; KG ATR;2025;2024;2023;;152,0 ;;154,80 ;152,38 ;150,21 ;;;152,46 ;152,34 
;out;141,48 ;135,24 ;133,15 ;136,34 ;125,22 ;141,31 ;138,08 ;123,38 ;139,19 ;131,45 ;131,30 ;140,73 ;150,02 ;149,87 ;150,98 ;0,00 ;;; KG ATR;2025;2023;2024;;150,0 ;;150,98 ;150,02 ;149,87 ;;;150,29 ;150,31 
;nov;135,55 ;133,02 ;122,92 ;134,59 ;114,13 ;134,08 ;123,64 ;108,71 ;129,99 ;138,25 ;126,01 ;139,36 ;133,74 ;135,65 ;137,11 ;0,00 ;;; KG ATR;2022;2020;2025;;135,9 ;;139,36 ;138,25 ;137,11 ;;;135,50 ;135,51 
;dez;134,10 ;134,05 ;131,88 ;117,28 ;99,90 ;114,09 ;110,35 ;107,02 ;0,00 ;137,37 ;0,00 ;136,13 ;117,76 ;0,00 ;123,00 ;0,00 ;;; KG ATR;2020;2022;2011;;;;137,37 ;136,13 ;134,10 ;;;138,23 ;138,77 
;;;;;;;;;;;;;;;;;;;; KG ATR;;;;;;;0,00 ;0,00 ;0,00 ;;;;
 KG TERRA;jan;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;14,48 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;; KG TERRA;2016;;2016;;;;14,48 ;0,00 ;14,48 ;;;;
;fev;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;16,16 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;; KG TERRA;2016;;2016;;;;16,16 ;0,00 ;16,16 ;;;;
;mar;0,00 ;0,00 ;16,12 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;9,58 ;0,00 ;0,00 ;0,00 ;8,69 ;8,28 ;6,82 ;8,70 ;;; KG TERRA;2025;2024;2023;;8,5 ;;6,82 ;8,28 ;8,69 ;;;;
;abr;20,17 ;19,47 ;15,83 ;9,57 ;12,70 ;0,00 ;8,00 ;7,37 ;7,51 ;6,41 ;5,45 ;10,17 ;8,44 ;8,12 ;8,02 ;0,00 ;;; KG TERRA;2021;2020;2018;;7,5 ;;5,45 ;6,41 ;7,37 ;;;;
;mai;16,99 ;18,66 ;10,44 ;13,10 ;17,28 ;15,55 ;9,76 ;7,12 ;7,83 ;6,49 ;5,21 ;7,58 ;7,28 ;6,15 ;9,08 ;0,00 ;;; KG TERRA;2021;2024;2020;;7,3 ;;5,21 ;6,15 ;6,49 ;;;;
;jun;15,23 ;23,26 ;18,95 ;16,13 ;12,96 ;11,87 ;8,68 ;6,79 ;6,83 ;9,06 ;8,81 ;8,99 ;10,84 ;6,59 ;12,91 ;0,00 ;;; KG TERRA;2024;2018;2019;;7,3 ;;6,59 ;6,79 ;6,83 ;;;;
;jul;18,97 ;18,78 ;19,37 ;18,44 ;17,03 ;8,89 ;5,70 ;5,89 ;7,39 ;8,56 ;5,81 ;5,71 ;6,95 ;6,74 ;7,17 ;0,00 ;;; KG TERRA;2017;2022;2021;;7,0 ;;5,70 ;5,71 ;5,81 ;;;;
;ago;15,82 ;10,64 ;11,44 ;11,96 ;8,93 ;8,39 ;6,35 ;9,67 ;4,48 ;8,18 ;4,97 ;7,71 ;7,09 ;6,82 ;6,03 ;0,00 ;;; KG TERRA;2019;2021;2025;;7,0 ;;4,48 ;4,97 ;6,03 ;;;;
