Benchmarking CTC - Impureza Mineral (kg/tc) - Safra 2025 (própria)  ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;4,57;0,85;1,13;0,99;0,77;0,66;0,86;1,01;0,94;;;
2;Zilor - Quatá;;1,24;1,73;1,16;0,9;0,69;0,62;1,02;1,64;1,78;;;
3;Zilor - Barra Grande;;1,01;0,88;;0,9;0,55;0,58;0,91;1,18;;;;
4;Vale do Paracatu Bioenergia SA;;;0,71;0,67;0,77;0,61;0,64;;;;;;
5;Umoe Bioenergy;0,68;0,80;0,91;1,29;0,72;0,60;0,53;0,80;1,11;0,82;;;
6;Uisa;;1,13;0,88;0,64;0,56;0,48;0,57;0,66;0,87;0,99;;;
7;UPI - São Luiz;;0,97;0,68;;0,61;0,54;0,55;1,08;;;;;
8;Tietê - Ubarana;;1,23;0,7;0,96;0,65;0,59;0,54;1,24;1,72;;;;
9;Tietê - Paraíso;;1,03;0,91;0,89;0,82;0,84;0,76;1;1,31;;;;
10;Tereos - Vertente;;1,18;1,02;1;0,69;0,69;0,8;1,19;1,91;;;;
11;Tereos - Tanabi;;1,18;0,75;0,9;0,59;0,55;0,63;1,03;;;;;
12;Tereos - S.José;;1,65;1,2;1,31;0,81;0,69;0,77;0,96;1,84;;;;
13;Tereos - Mandu;;1,03;0,86;0,9;0,62;0,57;0,57;0,96;1,56;;;;
14;Tereos - Cruz Alta;;1,6;1,24;1,39;0,9;0,77;0,86;1,27;1,89;;;;
15;Tereos - Andrade;;1,28;1,08;1,01;0,65;0,55;0,63;1,02;1,48;;;;
16;São Martinho - Santa Cruz;;0,9;0,6;1;0,6;0,5;0,6;0,9;1,7;;;;
17;São Martinho - Matriz;;0,97;0,64;0,88;0,53;0,47;6;8,97;1,26;;;;
18;São Martinho - Iracema;;0,98;0,85;1,03;0,68;0,55;0,64;1,37;1,98;;;;
19;São Martinho - Boa Vista;;1,3;0,82;0,83;0,59;0,56;0,68;1,17;1,7;2,33;;;
20;São Manoel;;1,08;0,92;1,15;0,87;0,64;0,52;0,79;1,18;;;;
21;São Luiz SA;;0,91;0,84;1,2;0,82;0,46;0,51;0,86;1,29;;;;
22;São João;;0,75;0,72;0,85;0,6;1;1;1;;;;;
23;São José Estiva;;;0,7;0,8;0,64;0,54;0,53;0,63;0,9;0,71;;;
24;São Domingos;;0,9;1;1,28;0,87;0,75;0,8;0,97;1,43;;;;
25;Participante 25;;0,85;0,8;0,76;0,64;0,4;0,5;0,97;0,99;1,23;;;
26;Santo Ângelo;1,28;0,78;0,67;0,54;0,43;0,35;0,45;0,5;0,69;;;;
27;Santa Terezinha - Terra Rica;1,3;1,86;1,36;1,92;1,25;1,47;1,12;2,19;2,11;1,73;;;
28;Santa Terezinha - Tapejara;2,3;2,43;1,6;2,14;1,57;1,64;1,27;2,1;2,63;3;;;
29;Santa Terezinha - Rondon;1,67;1,97;1,71;2,15;1,46;1,22;1,22;1,54;2,06;2,05;;;
30;Santa Terezinha - Paranacity;1,15;1,79;1,32;1,61;0,98;1,03;0,92;1,53;1,52;1,42;;;
31;Santa Terezinha - Ivaté;2,19;2,09;1,37;2,27;1,4;1,63;1,29;2;2,12;2,11;;;
32;Santa Terezinha - Iguatemi;1,67;1,27;1,15;0,99;0,94;1,03;0,9;1,16;1,43;1,03;;;
33;Santa Terezinha - Cidade Gaúcha;1,61;1,88;1,25;1,9;1,35;1,13;1,03;1,5;1,57;1,97;;;
34;Participante 34;;0,68;0,79;0,89;0,64;0,57;0,53;0,7;1,19;;;;
35;Participante 35;;1;0,7;0,66;0,53;0,44;0,44;0,67;0,8;;;;
36;Santa Fé;;1,18;0,86;1,22;0,63;0,58;0,6;1,02;2,58;;;;
37;Santa Adélia - Polo Noroeste;;1,41;1,17;1,22;0,8;0,74;0,63;0,87;1,17;0,97;;;
38;Santa Adélia - Jaboticabal;;1,08;0,82;0,95;0,5;0,43;0,53;0,69;1,03;;;;
39;Sada Bioenergia;;;5,58;4,72;5,14;5,99;5,15;6,34;5,52;;;;
40;Participante 40;;2,17;1,5;1,89;1,28;1,21;1,2;1,62;1,49;1,87;;;
41;Raízen - V. do Rosário;;1,69;1,38;1,5;1,16;1,02;1,18;1,47;1,6;;;;
42;Raízen - Univalem;;2;1,53;2,06;1,72;1,27;1,13;1,28;1,78;1,35;;;
43;Raízen - São Francisco;1,21;1,41;;1,68;;1,02;1,14;1,16;1,98;;;;
44;Raízen - Santa Elisa;;;1,51;1,7;1,2;;;;;;;;
45;Raízen - Santa Cândida;;1,37;1,46;1,51;1,32;1,46;1,18;1,21;;;;;
46;Raízen - Rio Brilhante;1,26;1,6;1,5;1,4;1,41;1,34;1,18;1,38;1,54;;;;
47;Raízen - Rafard;1,28;1,85;1,23;1,68;1,68;1,14;1,29;1,28;2,72;;;;
48;Raízen - Passa Tempo;1,87;1,98;1,65;1,71;1,58;1,45;1,31;1,64;1,91;;;;
49;Raízen - Paraíso;;1,33;1,32;1,54;1,28;1,08;1,09;;;;;;
50;Raízen - Mundial;;1,22;1,36;1,72;1,33;1,32;1,19;1,35;1,75;;;;
51;Raízen - Leme;;2,52;1,48;1,85;1,24;1,23;1,38;1,44;;;;;
52;Raízen - Lagoa da Prata;;1,52;1,2;1,07;1,12;1,31;1,75;1,53;;;;;
