Benchmarking CTC - Safra 2025 - Impureza mineral - Unid. % Varias Safras ano a ano.;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Estados;;;;;;;;;;;
ES;;;;;;0;0;;;;
GO;0,83;0,81;0,93;0,91;0,85;1,03;0,72;0,72;0,73;0,75;0,77
MG;0,92;0,82;0,71;0,78;0,73;0,63;0,7;0,76;0,71;0,65;0,65
MS;1,21;1,1;1,15;1,13;1,02;0,93;0,82;1,09;1;0,9;0,93
MT;0,78;0,86;0,95;0,77;0,65;0,64;0,54;0,78;0,62;0,64;0,67
PR;1,7;1,33;1,17;1,36;1,06;1,35;1,22;1,38;1,34;1,09;1,26
SP;1,56;1,4;1,13;0,99;0,98;0,82;0,77;1,02;1,03;0,97;1,02
ARACATUBA;1,46;1,55;1,17;1,07;1,06;0,84;0,72;0,95;0,99;0,9;0,99
ASSIS;1,51;1,36;1,26;1,1;1,01;0,89;0,85;1,02;0,93;0,85;0,97
PIRACICABA;1,96;1,73;1,56;1,41;1,4;1,05;1,04;1,98;1,94;1,12;1,09
RIB. PRETO;1,09;0,99;0,97;0,82;0,79;0,69;0,66;0,85;1,01;1,05;1,25
S. J. RIO PRETO;1,84;1,58;1;0,88;0,87;0,75;0,68;0,88;0,97;1;0,87
SÃO CARLOS;1,81;1,4;1,19;1,06;1,12;0,91;0,93;1,42;1,03;0,91;0,98
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Centro-Sul;;;;;;;;;;;
Média;1,37;1,25;1,07;0,98;0,93;0,85;0,78;0,97;0,96;0,89;0,94
Maximo;12,88;12,22;3,36;2,06;1,98;4,38;2,19;4,99;3,63;7,3;3,73
Minimo;0,37;0,23;0,23;0,16;0,44;0;0;0;0,36;0,32;0,41
Desvio;1,16;1,29;0,45;0,36;0,32;0,43;0,35;0,58;0,43;0,94;0,42
Usinas;167;161;159;162;161;158;158;161;161;167;164
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Associada;;;;;;;;;;;
Maximo;2,27;1,78;1,9;1,43;1,48;1,07;1,01;1,32;1,52;1,39;1,54
Minimo;1,06;0,91;0,89;0,8;0,7;0,63;0,65;0,74;0,71;0,63;0,75
ASSIS;1,51;1,36;1,26;1,1;1,01;0,89;0,85;1,02;0,93;0,85;0,97
SP;1,56;1,4;1,13;0,99;0,98;0,82;0,77;1,02;1,03;0,97;1,02
Umoe Bioenergy;1,48;1,18;0,88;0,87;0,71;0,77;0,7;0,88;0,86;0,74;0,8
