Benchmarking CTC - Impureza Vegetal - Safra 2025;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;6,84;7,98;6,61;7,42;6,34;6,61;6,77;8,81;8,83;;;
2;Zilor - Quatá;;8,89;5,42;7,49;6,26;6,2;5,62;6,07;7,7;9,93;;;
3;Zilor - Barra Grande;;6,71;5,61;4,58;4,73;3,57;4,15;4,41;4,64;;;;
4;Vale do Paracatu Bioenergia SA;;;15,85;10,39;11,24;7,36;12,04;;;;;;
5;Umoe Bioenergy;9,09;9,22;9,51;8,96;8,84;9,15;7,37;6,75;7,91;7,70;;;
6;Uisa;;9,24;7,75;6,31;6,46;6,45;5,98;7,07;8,84;10,05;;;
7;UPI - São Luiz;;6,27;9,85;;9,57;10;9,48;9,53;;;;;
8;Tietê - Ubarana;;8,89;7,81;7,65;7,03;6,75;7,05;6,23;8,81;;;;
9;Tietê - Paraíso;;5,34;5,52;5,47;5,25;5,09;4,73;5,88;7,1;;;;
10;São Martinho - Santa Cruz;;8,3;8,3;10,5;11,2;;;8;10,1;;;;
11;São Martinho - Matriz;;10,76;10;9,33;9,1;8,69;8,6;8,49;9,07;;;;
12;São Martinho - Iracema;;10,62;8,86;8,98;7,86;7,46;6,46;8,55;9,57;;;;
13;São Martinho - Boa Vista;;11,14;11,54;10,8;9,79;8,71;8,1;9,32;10,47;11,76;;;
14;São Manoel;;9,51;7,84;6,74;5,91;5,61;4,82;4,56;5,54;;;;
15;São Luiz SA;;9,63;10,02;9,36;8,26;8,27;8,38;8,15;10,16;;;;
16;São João;;4,07;3,79;3,61;3,53;1;1;2;;;;;
17;São José Estiva;;;3,2;3,23;3,67;3,62;3,48;3,19;3,95;5,58;;;
18;São Domingos;;1,18;11,2;11,29;8,59;8,87;8;7,84;9,82;;;;
19;Participante 19;;6,81;5,91;5,83;5,38;5,06;4,92;5,05;6,61;7,96;;;
20;Santo Ângelo;6,74;6,14;5,35;4,9;4,45;4,02;4;4,52;4,82;;;;
21;Participante 21;;7,61;8,15;8,91;7,68;7,28;7,53;7,33;8,92;;;;
22;Participante 22;;;6,91;6,25;5,82;4,78;4,85;4,41;5,13;;;;
23;Santa Fé;;4,93;6,53;5,47;5,36;6,17;4,85;5,42;6,66;;;;
24;Santa Adélia - Polo Noroeste;;4,24;8,74;10,65;10,26;7,78;9,53;8,2;12,64;13,9;;;
25;Santa Adélia - Jaboticabal;;15,95;11,95;12,83;9,7;10,29;9,37;10,72;13,97;;;;
26;Participante 26;;10,53;9,22;10,24;8,27;8,85;8,09;9,16;11,22;12,3;;;
27;Raízen - V. do Rosário;;9,88;9,51;10,29;9,53;8,82;8,53;8,19;8,54;;;;
28;Raízen - Univalem;;14,24;11,86;10,62;11,29;9,77;9,56;10,04;13,38;11,5;;;
29;Raízen - São Francisco;13,36;14,63;14,11;12,14;13,81;11,04;11,93;13,31;13,17;;;;
30;Raízen - Santa Elisa;;;9,71;8,42;7,8;;;;;;;;
31;Raízen - Santa Cândida;;12,14;9,74;9,86;8,28;9,62;10,32;7,01;;;;;
32;Raízen - Rio Brilhante;9,69;9,39;7,6;9,25;9,33;8,39;7,64;7,81;;;;;
33;Raízen - Rafard;15,03;16,18;16,09;15,9;14,61;14,19;12,62;15,08;14,96;;;;
34;Raízen - Passa Tempo;8,49;7,57;7,92;7,85;7,62;6,78;5,94;6,6;6,62;;;;
35;Raízen - Paraíso;;16,05;13,17;11,49;11,33;9,65;10,67;;;;;;
36;Raízen - Mundial;;13,47;9,95;10,88;9,98;8,5;9,41;9,95;10,05;;;;
37;Raízen - Leme;;11,45;10,27;10,11;7,96;7,97;8,22;8,42;;;;;
38;Raízen - Lagoa da Prata;;14,07;11,77;9,7;9,84;9,81;10,56;10,72;;;;;
39;Raízen - Junqueira;;5,82;4,73;4;3,74;3,48;3,83;3,62;;;;;
40;Raízen - Jataí;;9,76;9,33;7,09;5,25;5,7;4,6;9,47;8,58;;;;
41;Raízen - Ipaussu;;10,11;9,91;8,95;6,62;6,61;7,52;7,34;;;;;
42;Raízen - Gasa;;10,83;12,8;12,71;12,8;11,28;10,47;10,06;10,97;11,3;;;
43;Raízen - Diamante;;8,3;7,15;7,15;6,4;5,9;5,59;6,59;;;;;
44;Raízen - Destivale;;7,01;7,57;8,73;5,99;6,44;5,45;5,94;7,43;9,29;;;
45;Raízen - Da Serra;;9,23;8,8;9,46;8,51;8,07;7,32;8,43;;;;;
46;Raízen - Da Barra;;8,39;7,04;6,39;6,49;6,8;5,8;5,02;4,86;;;;
47;Raízen - Costa Pinto;;13,27;9,8;9,08;9,74;9,46;9,81;7,71;8,99;;;;
48;Raízen - Continental;11,46;13,16;14,93;14,4;12,38;13,28;11,24;11,72;;;;;
49;Raízen - Caarapó;;19,26;13,67;11,63;10,17;10,46;11,05;12,78;15,75;16,8;;;
50;Raízen - Bonfim;;14,15;11,23;11,3;12,21;11,72;11,63;11,73;;;;;
51;Raízen - Benálcool;;13,46;13,67;12,23;12,56;11,13;11,02;12,02;13,43;13,77;;;
52;Raízen - Araraquara;;8,13;8,84;12,15;10,46;9,66;9,61;;;;;;
53;Nova América - Tarumã;;;6,04;7,42;5,63;4,91;4,46;5,73;6,33;6,8;;;
54;Nardini - Vista Alegre;;10,54;9,05;8,09;6,94;6,15;6,09;7,65;9,67;;;;
55;Nardini - Aporé;;11,87;8,54;8,53;8,89;7,44;6,66;7;;;;;
56;Participante 56;;;8,71;5,33;6,42;5,94;4,24;4,03;;;;;
57;Londra;9,39;9,8;9,58;9,7;9,26;9,63;9,92;9,67;9,97;9,85;;;
58;Lins;7,55;8,68;8,63;8,59;7,29;8,15;8,1;7,57;7,57;;;;
59;Lasa;;;14,45;;;;;;;;;;
60;Laguna;10,73;9,85;8,77;10,89;10,99;10,41;7,77;5,3;7,77;7,35;;;
61;Jalles - Santa Vitória;;11,64;9,68;6,77;5,45;6,11;5,19;5,84;;;;;
62;Jalles - Otávio Lage;;13,55;9,23;8,44;8,13;7,23;6,9;8,29;8,08;;;;
63;Jalles - Matriz;;11,17;9,56;10,65;11,65;9,05;8,56;9,46;11,39;;;;
64;Jacarezinho;;8,95;8,46;8,73;8,17;7,77;7,45;7,05;12,55;11,9;;;
65;Itajobi;;9,26;7,76;7,51;7,16;5,06;5,34;6,82;9,19;;;;
66;Ipiranga - Passos;;12,66;13,63;11,6;9,06;7,9;10,27;11,66;11,43;10,88;;;
67;Ipiranga - Mococa;;5,56;7,25;8,37;8,06;7,94;5,67;8,26;8,66;7,35;;;
68;Ipiranga - Iacanga;;9,49;8,68;8,08;7,35;6,06;5,67;7,21;9,29;;;;
69;Ipiranga - Descalvado;6,1;5,59;6,28;6,38;5,58;5,29;5,67;7,72;;;;;
70;Guaira;;9,78;9,23;8,92;8,15;8,11;7,23;7,41;;;;;
71;Goiasa;;7,26;8,36;7,28;6,23;5,08;5,46;7,55;11,61;;;;
72;Ferrari;;6,71;7,41;6,7;6,89;6,11;8,89;9,51;10,68;;;;
73;Ester;;12,69;8,93;9,05;5,58;5,12;5,62;4,49;;;;;
74;Energética Sta Helena;;;;;;11,05;11,04;10,78;10,38;10,91;;;
75;Energética Serranópolis;;10,74;6,26;6,49;6,14;4,72;;;;;;;
76;Diana;5,9;4,98;4,28;4,37;4,12;4,19;4,85;5,41;5,03;5,12;;;
77;Denusa;;11,72;9,79;7,59;6,8;6,11;6,36;6,51;7,04;;;;
78;Participante 78;;8,83;8,05;6,63;6,52;5,55;5,68;6,56;7,1;;;;
79;Participante 79;;8,19;7,94;6,8;6,71;6,24;6,97;7,05;7,88;;;;
80;Della Coletta;;2,42;2,3;3;3,99;6,61;7,05;7,35;9,12;;;;
81;Dacalda;11,35;10,83;9,77;8,08;8,71;9,63;9,49;8,69;11,37;10,18;;;
