Benchmarking CTC - Safra 2025 - Impureza vegetal - Unid. % Varias Safras ano a ano.;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Estados;;;;;;;;;;;
ES;;;;;;12,32;7,48;9,59;;11,61;
GO;8,42;7,62;7,88;8,17;8,51;7,61;6,83;7,61;7,79;7,52;8,13
MG;7,38;7,47;6,96;6,77;7,94;6,03;5,62;6,32;6,27;6;6,96
MS;9,77;9,98;9,52;9,13;8,14;7,48;6,59;8,56;8,21;8,57;8,71
MT;10,18;9,02;7,73;8,12;7,84;6,84;0,86;8,13;6,21;5,99;7,33
PR;7,83;4,27;7;4,39;7,67;8,17;7,17;9,66;8,79;6,92;7
SP;8,41;8,56;8,35;8,32;8,12;6,01;5,7;7,83;7,86;7,44;8,08
ARACATUBA;9,36;9,59;8,8;9,04;8,61;7;5,73;8,43;7,76;7,17;8,33
ASSIS;9,17;9,01;9,59;8,86;8,55;4,85;6,31;8,89;8,38;8,31;8,09
PIRACICABA;9,41;8,9;10,09;10,35;10,78;8,14;7,89;9,58;9,67;7,82;8,52
RIB. PRETO;7,1;7,3;6,81;7,26;7,47;5,33;4,93;7,07;7,95;7,8;8,86
S. J. RIO PRETO;8,26;9,46;8,86;8,14;7,74;5,06;4,56;6,75;5,85;6,77;7,14
SÃO CARLOS;8,25;7,87;7,83;7,71;7,2;7,18;6,78;8,08;8,72;7,58;7,74
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Centro-Sul;;;;;;;;;;;
Média;8,42;8,46;8,24;8,11;8,14;6,42;5,93;7,73;7,66;7,26;7,92
Maximo;15,86;16,64;14,92;14,72;15,07;13,57;14,03;15,05;15,69;14,91;14,93
Minimo;1,5;1,84;1,77;2,42;0;0;0;0;2,88;0;2,72
Desvio;2,5;2,7;2,47;2,4;2,79;3,35;3,26;2,44;2,35;2,24;2,12
Usinas;129;122;123;127;131;157;157;141;142;136;132
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Associada;;;;;;;;;;;
Maximo;13,37;13,15;11,71;12,09;11,06;11,16;9,98;10,96;10,78;10,52;10,01
Minimo;6,12;5,44;5,73;5,17;4,54;0;0;3,8;4,65;6,03;5,69
ASSIS;9,17;9,01;9,59;8,86;8,55;4,85;6,31;8,89;8,38;8,31;8,09
SP;8,41;8,56;8,35;8,32;8,12;6,01;5,7;7,83;7,86;7,44;8,08
Umoe Bioenergy;10,94;11,74;8,97;9,14;9,31;10,10;8,43;9,65;6,94;7,88;8,57
