Benchmarking CTC - Safra 2025 - Infestação de Sphenophorus % de tocos atacados;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;4;3,5;1,8;2,3;2,2;1,6;2,8;0,6;2,3;;;
2;Zilor - Quatá;;0,5;0,4;0,7;0,9;2,1;3,3;4,8;5,7;;;;
3;Zilor - Barra Grande;;4,6;8,3;8,9;8,9;13;13,8;14,7;11,6;;;;
4;Umoe Bioenergy;0;0,1;0;0;0;0;;0;0;0;;;
5;UPI - São Luiz;;14,8;19,6;25,1;27,5;28,2;28,1;27,7;24,6;;;;
6;Tietê - Ubarana;;0,6;0,5;1,5;1,2;2,7;2,6;;5,7;;;;
7;Tietê - Paraíso;;7;6,7;7,3;10;7,7;11,5;10,7;8,9;;;;
8;São Martinho - Santa Cruz;;4,8;5,8;7,1;8;9,5;9;11,5;0,1;;;;
9;São Martinho - Matriz;;7,7;8,9;6,8;8,7;8,7;10,2;10,4;10,4;;;;
10;São Martinho - Iracema;;11,7;13,2;12,4;14,6;13,9;14,3;16,1;17;21;;;
11;São Martinho - Boa Vista;;0;;;;;;;;0;;;
12;São Manoel;;3,9;3,2;3,3;2,4;2,9;4;4;3,3;;;;
13;São Luiz SA;0;;3;5,5;6,4;4;3,7;4,5;5,7;5;;;
14;São João;;;;;21,6;20,3;41,1;;;;;;
15;São José Estiva;;;2,8;4,7;6,9;10,7;13,5;14,4;11,5;0;;;
16;São Domingos;;5,6;4,2;3,8;6,2;5,5;4,3;4,3;4,6;;;;
17;Participante 17;;0,2;0,1;;;;;;;;;;
18;Santa Terezinha - Terra Rica;;1;0,7;0,3;0,4;1,2;2;4,9;1;1;2,6;;
19;Santa Terezinha - Tapejara;3,2;5,2;6,8;5,3;3,8;6,5;6,9;7,2;5,7;6,6;10,7;;
20;Santa Terezinha - Rondon;0;0,5;0;0,5;0,4;0;2,2;0,2;0,1;3,1;1,2;;
21;Santa Terezinha - Rio Paraná;;;0;0;0;0;0,9;0;0;0;0;;
22;Santa Terezinha - Paranacity;3;;0;0;1,2;0,2;1,4;2,3;0,1;0;0;;
23;Santa Terezinha - Moreira Sales;2,6;7,3;6,5;11,6;18,2;10,6;4,8;7,8;4,7;6,3;10,8;;
24;Santa Terezinha - Ivaté;;;0;0;0;0,2;0,1;0,1;0,1;0;0;;
25;Santa Terezinha - Iguatemi;0,1;0,9;1,9;0,7;1,9;1,7;1,7;4,6;5,6;3,1;3,4;;
26;Santa Terezinha - Cidade Gaúcha;;0;0,1;0;0;0;0,9;0;0;0;0;;
27;Participante 27;;5,5;6,2;7,7;8,4;10,9;14;13,3;6,9;;;;
28;Participante 28;;0,4;0,1;0,3;0,6;0,7;1,1;2,3;1,7;;;;
29;Santa Fé;;7,6;9;9,3;13,7;15,6;15,5;13,9;11,2;;;;
30;Santa Adélia - Jaboticabal;;4,8;9,8;12,3;14,9;17,6;14,9;16,2;12,1;;;;
31;Nardini - Vista Alegre;;2,6;3,5;4,8;6,5;8,2;7;6,5;5,2;;;;
32;Participante 32;;;6,5;5,5;3,3;;;;;;;;
33;Melhoramentos - VDP;;;;;;;;;;;;;
34;Melhoramentos - NL;;0;0;0;0;0;0;0;0;0;;;
35;Melhoramentos - JS;;;;;;;;;;;;;
36;Londra;3,9;5,6;5,7;5,6;10,6;17,7;14,2;14,3;17,9;9,4;;;
37;Lins;0,1;1;1,1;1,8;2,2;2,9;5,2;4,3;2;3,2;;;
38;Jacarezinho;;6,4;6,1;7,4;6,8;9;9,1;8,6;7,2;5;;;
39;Itajobi;;7,9;;;;;;;26;;;;
40;Ipiranga - Passos;5,8;7,5;7,8;10,2;10,7;12,5;12,7;12,5;14,5;0;;;
41;Ipiranga - Mococa;0;4,4;4,1;3,7;3,6;4,8;5,5;4,2;4,6;4,4;;;
42;Ipiranga - Iacanga;2,1;6,6;2,9;2,9;4,5;6,4;6,1;7,4;6,4;;;;
43;Ipiranga - Descalvado;6,5;8,6;14,4;20;17,7;21;23;22;;;;;
44;Participante 44;;;0,4;0,3;0,6;1,3;0,9;0,8;0,3;;;;
45;Ferrari;;4,8;4,2;4,3;5,2;5,7;6,1;6,3;6,2;;;;
46;Ester;3,4;9,1;0,1;17;;12,8;13,3;14,2;;;;;
47;Energética Sta Helena;0;;;;;;;0;0;0;0;;
48;Denusa;;;;;;;;;0;;;;
