Benchmarking CTC - SAFRA 2025 - Intensidade Infestação de Broca (%);;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
1;Água Bonita;;1,6;1,6;2;1,2;0,9;1,6;2,8;0,6;2,3;;;
2;Zilor - Quatá;;0,5;0,4;0,4;0,7;0,6;0,7;0,6;0,5;;;;
3;Zilor - Barra Grande;;0,3;0,8;0,9;0,7;0,6;0,4;0,6;0,6;;;;
4;Vale do Paracatu Bioenergia SA;;;0;0;;;;;;;;;
5;Umoe Bioenergy;1,1;1,5;0,8;0,8;1,4;1,6;1,2;1,9;1,3;1,1;;;
6;UPI - São Luiz;;0,2;1,4;0,4;1,1;1;1,6;1;1,9;;;;
7;Tietê - Ubarana;;0,2;0,2;0,2;0,2;0,6;0,1;0,2;0,1;;;;
8;Tietê - Paraíso;;0,7;0,5;0,7;0,6;0,8;0,8;0;0,7;;;;
9;São Martinho - Santa Cruz;;0,2;0,5;0,4;0,9;1;1,2;0,7;0,4;;;;
10;São Martinho - Matriz;;0,8;1;0,7;0,8;0,9;1,7;1,2;0,9;;;;
11;São Martinho - Iracema;;0,6;1,5;1,4;1,2;1,5;2,4;1,2;1;0,7;;;
12;São Martinho - Boa Vista;;2,2;1,6;2,9;3,5;2,2;2,5;2,9;2,1;1,3;;;
13;São Manoel;;1,2;0,8;1,3;3;3,3;0,9;0,6;0,2;;;;
14;São Luiz SA;0,5;0,4;0,7;0,9;1;1,1;1,1;0,9;0,5;0;;;
15;São João;;;;;2,9;1,4;2,2;;;;;;
16;São José Estiva;;;0,7;1,4;0,9;0,8;0,9;0,7;0,2;;;;
17;São Domingos;;0,5;1,5;1,6;1,3;0,9;1,2;0,8;0,9;;;;
18;Participante 18;;0,2;0,1;0,3;0,1;0,1;0,1;0,1;0;0;;;
19;Santo Ângelo;0,3;0,2;0,2;0,3;0,6;0,4;0,6;0,2;0,1;;;;
20;Santa Terezinha - Terra Rica;0,6;1,3;0,7;1,3;1,9;2,5;1,6;2;2,3;;;;
21;Santa Terezinha - Tapejara;1,7;1,9;1,9;1,6;1,3;1,5;1;1,3;1,3;1,5;;;
22;Santa Terezinha - Rondon;0,3;0,7;1,1;1;1,7;2,7;4,2;1,4;;;;;
23;Santa Terezinha - Rio Paraná;;;;;0,5;1;0,3;;;;;;
24;Santa Terezinha - Paranacity;1,7;1,8;1,2;1,2;1,4;1,8;2,4;1,6;;;;;
25;Santa Terezinha - Moreira Sales;1,4;1,4;2,8;2,9;1,9;1,8;1,7;;;;;;
26;Santa Terezinha - Ivaté;0,6;0,8;1;;0,2;0,9;0,9;1,3;0,8;4,6;7,6;;
27;Santa Terezinha - Iguatemi;1,3;1,3;0,5;2,2;1;0,4;1,9;0,4;0,1;0,6;0,7;;
28;Santa Terezinha - Cidade Gaúcha;1,1;1,2;1,9;1,3;1,4;0,8;1;1,4;1,1;;;;
29;Santa Maria Pilon;;;36;;;;;;;;;;
30;Participante 30;;0,3;0,1;0,1;0,1;0,3;0,2;0,1;0,1;;;;
31;Participante 31;;0,2;0;0,1;0,1;0,2;0,1;0,1;0,1;;;;
32;Santa Fé;;2,4;4,8;3,2;2,5;3,9;0,9;2,9;3;;;;
33;Santa Adélia - Jaboticabal;;0,9;0,7;0,9;1,7;1,1;0,9;1,3;1;;;;
34;Sada Bioenergia;;;0,9;1,2;1,2;0,7;2,4;1,3;0,6;;;;
35;Pedra - Ipê;;0,3;0,5;0,7;0,2;0,3;0,5;0,4;;;;;
36;Pedra - Da Pedra;;1;0,7;1;0,4;1,2;0,6;1,2;;;;;
37;Pedra - Cedro;;;;;;1,7;1;0,9;;;;;
38;Pedra - Buriti;;;0,8;0,6;0,6;0,7;0,9;0,6;;;;;
39;Nova América - Tarumã;0,2;1,3;1,6;2;2,1;1,8;2,3;2,9;2,2;1,8;;;
40;Nardini - Vista Alegre;;0,6;0,7;0,6;0,4;0,5;0,5;0,5;0,5;;;;
41;Nardini - Aporé;;1,5;0,4;0,6;0,2;0,3;0,3;0,6;;;;;
42;Participante 42;;;1,9;1,4;1,3;;;;;;;;
43;Melhoramentos - VDP;0,3;1,5;2,1;1,6;1,5;0,7;1;1,1;0,9;0,8;;;
44;Melhoramentos - NL;1,6;1,5;1,7;1,5;0,7;1,4;2,9;1,3;0,8;1,1;;;
45;Melhoramentos - JS;;2,2;2,3;2,7;2,4;2,8;2,6;2,5;3,1;2,6;;;
46;Londra;0,3;0,2;0,5;0,9;2;0,8;0,1;0,6;0,2;0;;;
47;Lins;0,3;0,2;0,5;0,4;0,6;0,6;0,8;0,5;0,4;;;;
48;Lasa;;0;;;;;;;;;;;
49;Laguna;0,4;0,3;0,4;1,2;1,4;1;1,9;0,7;1,3;0,5;;;
50;Jalles - Santa Vitória;;4,9;5,6;6,6;8,4;7,2;6,6;4;;;;;
51;Jalles - Otávio Lage;;5,1;3,6;4,7;3,4;3,3;5;4,7;2,1;;;;
52;Jalles - Matriz;;3,1;4,8;3,2;2,7;3,1;3,7;2;;;;;
53;Jacarezinho;;1,9;3,1;1,4;2,6;2,7;1,5;2,1;1,5;1,9;;;
54;Itajobi;;4;1,8;1,3;3;2;5,2;;1,1;;;;
55;Ipiranga - Passos;0;0,5;0,5;0,4;0,4;0,2;0,4;0,5;0,3;0,4;;;
56;Ipiranga - Mococa;;0,6;0,4;0,7;0,8;0,8;0,5;0,4;0,3;0,3;;;
57;Ipiranga - Iacanga;3;1,5;1,4;1,3;1,6;1,6;1;0,9;0,5;;;;
58;Ipiranga - Descalvado;1,6;1;0,6;0,6;1;0,4;0,6;0,9;;;;;
59;Goiasa;;2,6;8,5;2,1;7,6;4,2;10,2;3,1;3,5;;;;
60;Participante 60;;;0,4;0,3;0,6;1,3;1;1;0,3;;;;
61;Ferrari;;;;2,7;2,6;5,5;3,8;4,5;;;;;
62;Ester;0;0,6;0,9;0,7;0;0,2;0,2;0,3;;;;;
63;Energética Sta Helena;0,2;0,2;0,5;0,8;0,2;1,2;0,5;0,6;0,9;0,6;;;
64;Diana;0,2;0;0,2;0,5;0,4;0,4;0,6;0,4;0,4;;;;
65;Denusa;;0,1;0,3;0,2;0,3;0,1;0;0;0;;;;
66;Participante 66;;0,5;0,3;0,7;3,1;0,6;0,8;2;0,6;;;;
67;Participante 67;;0,6;0,3;1,2;1,7;0,7;0,7;0,5;0,2;;;;
68;Della Coletta;;1;1,1;1,1;1,1;;1,1;;;;;;
69;Dacalda;;;1,3;1,2;3,1;1,4;;3,4;3,3;2,2;;;
70;Cox Energy - Coxag;;;1,1;0,4;0,8;0,6;0,8;0,4;;;;;
71;Colombo - Santa Albertina;;4,8;3,5;4,2;2,7;2,5;1,9;2,5;2,8;;;;
72;Colombo - Palestina;;1,9;2,9;5,6;3,3;4,2;0,9;1,1;0,3;;;;
73;Colombo - Ariranha;;0,3;0,1;0,3;0,2;0,5;0,4;0,3;0,3;0,2;;;
74;Cofco - Sebastianópolis;;0,3;0,6;0,4;0,7;1;0,6;0,5;0,7;;;;
75;Cofco - Potirendaba;;1,1;0,8;1;1,1;1,6;1,6;0,6;0,4;0;;;
76;Cofco - Meridiano;;0,5;0,2;0,7;0,2;0,7;0,6;0,4;1,1;0;;;
77;Cofco - Catanduva;;0,8;1,9;0,4;1,9;2;1,2;0,8;0,3;4,8;;;
78;Cocal PPT;0;0,1;0,1;0,1;0,1;0,3;0,4;1;0,2;;;;
79;Cocal NRD;0,1;0,4;0,6;0,4;0,2;0,7;0,4;0,2;0,5;;;;
80;Cevasa;;0,3;0,3;0,5;0,5;0,5;0,4;0,2;0,1;;;;
81;Cerradinho Bioenergia;;0,5;0,2;0,6;0,4;0,3;0,4;0,2;0,2;;;;
82;Participante 82;;0,4;0,6;0,7;0,1;0,2;0,4;0,1;0,1;0,4;;;
