Intens. infestação de broca  Unid. % Safra 2025/2026 Mês 2;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Estados;;;;;;;;;;;
ES;0;0,1;0,3;;1;0,4;0,2;0,4;0,2;0,4;0
GO;2,4;3;2,4;2,6;2,8;1,9;2,8;2,1;0,9;1;2,1
MG;2,6;2,5;1,9;2,1;2,5;1,8;2,2;3;1,3;1;2
MS;1,3;1,7;1,6;1,5;1,6;0,9;0,9;0,5;0,5;0,3;0,7
MT;0,4;1;1;1,5;1,6;1;0,8;0,6;0,7;1,5;0,5
PR;1,9;1,8;1,6;1,8;2;2,2;2;2,1;2,9;1,9;1,6
SP;2,3;3;2;2,2;3,1;2,4;1,4;1,8;1,9;1;1
ARACATUBA;2,6;2,8;2,8;3,1;3,5;1,5;1,4;2,3;2,6;1;1
ASSIS;2,4;2,8;1,9;2,1;3,6;2,6;1,3;1;1,5;0,7;0,8
PIRACICABA;1,4;2,1;0,9;0,8;1,1;3,1;1,9;3,1;3,7;1,8;1,1
RIB. PRETO;2;2;1,5;2;2,8;1,9;1,3;1,9;1,4;0,7;1
S. J. RIO PRETO;2,6;2,9;2,3;2,8;2,4;1,6;1;1,3;1;0,6;0,4
SÃO CARLOS;2,2;4,2;1,9;2;3,5;3,7;1,9;2,2;2,3;1,7;1,7
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Centro-Sul;;;;;;;;;;;
Média;2,2;2,7;1,9;2,1;2,8;2,1;1,6;1,8;1,6;1,1;1,2
Maximo;8,9;7,5;6,7;6,4;10,6;6,8;9,3;9,1;8,5;4;8,2
Minimo;0;0;0;0,4;0,3;0;0;0,1;0;0;0
Desvio;1,4;1,5;1;1,3;1,6;1,3;1,4;1,6;1,4;0,9;1,3
Usinas;160;159;155;157;155;138;127;131;136;126;126
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Associada;;;;;;;;;;;
Maximo;4,9;4,4;3,3;3,7;9,4;4,7;3,2;2,4;5,8;1,8;2,1
Minimo;1,4;1,2;1;1,2;1,1;0,3;0,3;0,1;0,2;0,2;0,2
ASSIS;2,4;2,8;1,9;2,1;3,6;2,6;1,3;1;1,5;0,7;0,8
SP;2,3;3;2;2,2;3,1;2,4;1,4;1,8;1,9;1;1
Umoe Bioenergy;3,39;5;3,87;2,7;4,76;3,72;3,05;1,59;1,83;1,9;1,37
