DASHBOARD EXECUTIVO - OTIMIZAÇÃO DE CUSTOS UMOE BIOENERGY;;;;;;;;;;;;;;;
Metodologia TCH/ATR | Safra 2026/2027 | 31/05/2026;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
?? RESUMO EXECUTIVO - ECONOMIA PROPOSTA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CATEGORIA;VALOR (R$);% TOTAL;RISCO;RECOMENDAÇÃO;;?? CENÁRIOS DE ECONOMIA;;;;;;;;;
?? Redução Pessoas (HC);R$ 3.442.599;25,8%;?? Baixo;? APROVAR;;CENÁRIO;ECONOMIA;RISCO;STATUS;;;;;;
?? Insumos Baixo Risco;R$ 6.387.719;47,8%;?? Mínimo;? APROVAR;;?? Conservador;R$ 9.830.318;Mínimo;? RECOMENDADO;;;;;;
?? Insumos Médio Risco;R$ 1.526.599;11,4%;?? Médio;?? AVALIAR;;?? Moderado;R$ 11.356.917;Baixo-Médio;?? AVALIAR;;;;;;
?? Insumos Alto Risco;R$ 2.001.650;15,0%;?? Alto;?? AVALIAR;;?? Total;R$ 13.358.567;Alto;?? AVALIAR;;;;;;
?? TOTAL GERAL;R$ 13.358.567;100%;-;-;;;;;;;;;;;
;;;;;;;;;;;;;;;
?? METODOLOGIA - MATRIZES DE PRODUTIVIDADE TCH/ATR;;;;;;;;;;;;;;;
A metodologia utiliza 3 matrizes integradas para classificar operações e funções por impacto na produtividade, garantindo que reduções de custo não comprometam a produção de TCH (toneladas de cana por hectare) e ATR (açúcar total recuperável).;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
?? VISÃO 1: MATRIZ TCH (Volume) - 100%;;;;;;?? VISÃO 2: MATRIZ ATR (Qualidade) - 100%;;;;;;;;;
FATOR;PESO;IMPACTO;FUNÇÃO;RISCO;;FATOR;PESO;IMPACTO;FUNÇÃO;RISCO;;;;;
?? Irrigação;21%;Volume (70% água);Operadores Motor/Trator;?? CRÍTICO;;?? Maturadores;25%;Acúmulo sacarose;Aplicação Aérea;?? CRÍTICO;;;;;
?? Adubo (N,P,K);19%;Colmo e folhas;Operadores Adubação;?? CRÍTICO;;?? Inseticidas Colmo;25%;Controle Broca;Aplicação Aérea;?? CRÍTICO;;;;;
?? Herbicidas;16%;Proteção estande;Op. Herbiplus/Uniport;?? CRÍTICO;;?? Pré-maturadores;10%;Preparo fisiológico;Aplicação;?? ALTO;;;;;
?? Calcário;10%;Correção acidez;Operadores Corretivo;?? ALTO;;?? Micronutrientes;10%;Transporte açúcar;Aplicação;?? ALTO;;;;;
?? Gesso;10%;Raiz profunda;Operadores Corretivo;?? ALTO;;?? Adubos Foliares;10%;K foliar pré-colheita;Aplicação;?? ALTO;;;;;
?? Fósforo;10%;Formação;Plantio;?? ALTO;;?? Inibidores;7%;Trava florescimento;Aplicação Aérea;?? MÉDIO;;;;;
?? Inseticidas Solo;6%;Controle pragas;Controle de Pragas;?? MÉDIO;;?? Fungicidas;6%;Ferrugem/Podridão;Aplicação;?? MÉDIO;;;;;
?? Enleiramento;3%;Desobstrução;Operadores Trator;?? BAIXO;;?? Bactericidas;4%;Estria Vermelha;Aplicação;?? BAIXO;;;;;
?? Nematicidas;3%;Defesa radicular;Aplicação;?? BAIXO;;?? Pré-seca;3%;Dessecantes;Aplicação;?? BAIXO;;;;;
?? Biológicos/Microgeo;2%;Microbioma;Terceiros;?? MÍNIMO;;;;;;;;;;;
;;;;;;;;;;;;;;;
?? VISÃO 3: MATRIZ DE OPERAÇÕES AGRÍCOLAS - 100%;;;;;;;;;;;;;;;
#;CATEGORIA;PESO;OPERAÇÕES PRINCIPAIS;HC VINCULADO;CRITICIDADE;;;;;;;;;;
1º;?? CTTA (Colheita/Transbordo/Transporte);40%;Colheita, Transbordo, Transporte, Apoio Pipa;~400 HC;?? CRÍTICA;;;;;;;;;;
2º;?? Formação de Lavouras;20%;Preparo Solo, Plantio, Tratos Cana Planta;~150 HC;?? CRÍTICA;;;;;;;;;;
3º;?? Irrigação/Fertirrigação;15%;Irrigação por Pivô, Carretel, Fertirrigação;~125 HC;?? CRÍTICA;;;;;;;;;;
4º;?? Tratos Cana Soca;13%;Adubação, Herbicidas, Corretivos, Pragas;~100 HC;?? ALTA;;;;;;;;;;
5º;?? Qualidade;6%;CQ Colheita, Plantio, Insumos, Irrigação;~20 HC;?? ALTA;;;;;;;;;;
6º;?? Outros Apoio;5%;CM Oficina, Comboio, Prancha, Borracheiro, Leves;~30 HC;?? MÉDIA;;;;;;;;;;
7º;?? Arrendamento/Parcerias;1%;Terceiros, Parceiros de Fazendas;N/A;? BAIXA;;;;;;;;;;
;TOTAL;100%;;967 HC;;;;;;;;;;;
;;;;;;;;;;;;;;;
?? ANÁLISE DE RISCO E IMPACTO FINANCEIRO;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
?? SIMULAÇÃO DE IMPACTO - REGRA DE OURO;;;;;;;?? DETALHAMENTO REDUÇÃO HC;;;;;;;;
CENÁRIO;PERDA TCH;ÁREA (ha);PREÇO (R$/t);PREJUÍZO;COMPARATIVO;;SETOR;TIPO;QTDE;ECONOMIA LÍQ.;;;;;
Perda 1% TCH;0,8 t/ha;35;R$ 100;R$ 2.800.000;< Economia Conservadora;;Agrícola;Rescisões;65;R$ 2.027.097;;;;;
Perda 3% TCH;2,4 t/ha;35;R$ 100;R$ 8.400.000;? Economia Conservadora;;Agrícola;Não Contratar;18;R$ 477.535;;;;;
Perda 5% TCH;4,0 t/ha;35;R$ 100;R$ 14.000.000;> Economia Total;;Manutenção;Rescisões;18;R$ 680.567;;;;;
;;;;;;;Manutenção;Não Contratar;4;R$ 257.400;;;;;
?? ALERTA ESTRATÉGICO;;;;;;;;;;;;;;;
Uma perda de apenas 5% no TCH gera prejuízo de R$ 14 milhões - SUPERIOR a qualquer economia obtida com cortes em operações críticas!;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
? RECOMENDAÇÕES PARA O CONSELHO;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
? APROVAR SEM RESTRIÇÕES;;;;;?? JUSTIFICATIVAS TÉCNICAS E FINANCEIRAS;;;;;;;;;;
ITEM;VALOR;RISCO;JUSTIFICATIVA;;#;PRINCÍPIO;DESCRIÇÃO;;;;;;;;
Redução HC (Baixa Criticidade);R$ 3.442.599;Mínimo;Trainees, administrativos, não vinculados a equipamentos;;1;Preservar Operações Críticas;Funções vinculadas a equipamentos (colhedoras, tratores) = NÃO REDUZIR;;;;;;;;
Biológicos/Microgeo;R$ 3.223.175;Baixo;Tratamento longo prazo, retomar próximo corte;;2;Matriz TCH como Guia;Irrigação (21%), Adubação (19%), Herbicidas (16%) = Proteger;;;;;;;;
Tratos Soqueira (Biológicos);R$ 1.786.391;Baixo;Nematicidas biológicos, bioestimulantes;;3;Matriz ATR como Guia;Maturadores (25%), Controle Broca (25%) = Manter investimento;;;;;;;;
Despesas Administrativas;R$ 185.000;Mínimo;Licenças BI, viagens, PCM;;4;Biológicos = Flexível;Tratamento de longo prazo, pode ser retomado na próxima safra;;;;;;;;
SUBTOTAL APROVAR;R$ 9.830.318;-;73,6% da economia total;;5;HC Administrativo Primeiro;Trainees, analistas, assistentes = Menor impacto operacional;;;;;;;;
;;;;;6;Não Contratar > Demitir;Evitar custos de rescisão quando possível (R$ 734.935 economia);;;;;;;;
?? AVALIAR COM CUIDADO;;;;;7;Regra de Ouro;Se perda TCH > economia proposta = NÃO FAZER;;;;;;;;
ITEM;VALOR;RISCO;IMPACTO POTENCIAL;;;;;;;;;;;;
Calcário Dolomítico;R$ 1.134.000;Médio;5 t/ha TCH - aplicar ano seguinte;;;;;;;;;;;;
Dologesso 70%;R$ 297.894;Médio;2-4 t/ha TCH, 1-2 kg ATR;;;;;;;;;;;;
Enleiramento;R$ 94.705;Médio;Aumento cigarrinha/sphenophorus;;;;;;;;;;;;
SUBTOTAL AVALIAR;R$ 1.526.599;-;11,4% da economia total;;;;;;;;;;;;
;;;;;;;;;;;;;;;
?? NÃO APROVAR - ALTO RISCO;;;;;;;;;;;;;;;
ITEM;VALOR;RISCO;IMPACTO CRÍTICO;;;;;;;;;;;;
Ureia Protegida;R$ 1.609.650;Alto;1,5-6 t/ha TCH - afeta adubação;;;;;;;;;;;;
Fungicidas;R$ 392.000;Alto;Aumento ferrugem/podridão;;;;;;;;;;;;
SUBTOTAL NÃO APROVAR;R$ 2.001.650;-;15,0% - RISCO > BENEFÍCIO;;;;;;;;;;;;
;;;;;;;;;;;;;;;
?? CONCLUSÃO EXECUTIVA;;;;;;;;;;;;;;;
A proposta de otimização de custos foi desenvolvida utilizando metodologia baseada em matrizes de produtividade (TCH/ATR), garantindo que as reduções não comprometam a capacidade produtiva da UMOE Bioenergy.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
RECOMENDAÇÃO FINAL;ECONOMIA;% TOTAL;RISCO;;;;;;;;;;;;
?? CENÁRIO CONSERVADOR;R$ 9.830.318;73,6%;? RECOMENDADO;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Elaborado por: Equipe Agrícola/Automotiva;;;;;Aprovação Diretoria: ____________________;;;;;;;;;;
Data: 31/05/2026;;;;;Aprovação Conselho: ____________________;;;;;;;;;;
