ELIMINADOR DE SOQUEIRA;;;;;CORRETIVO (CM);; CALCÁRIO ; GESSO ; FOSFATO ; DOLOGESSO ;;;CORRETIVO (TR);; CALCÁRIO ; GESSO ; FOSFATO ; DOLOGESSO ;;;GRADE;; PESADA ; MÉDIA ; LEVE ;;;ARAÇÃO;;;;;SUBSOLAGEM;;;;;SULCAÇÃO;; ADUBO ; TORTA ; DISTRIB. TORTA ;;;COBRIÇÃO;;;;;CORTE MUDA MEC;;;;;PLANTIO MECANIZADO;;;;;UNIPORT (Pulverizador);; Barra ; Pingente ; Linha Mãe ;;;HERBIPLUS;; Barra ; Linha Mãe ; Carreador ; Bordadura ; Curva/Árvore ;;;UNIPORT (Adubação);; Mineral ; Uréia ;;;TRATOR (Adubação);;Mineral;Uréia;;;TRATOR (Aduba+C.Soq.);;Mineral;Uréia;;;QUEBRA LOMBO (Adub+Herb);; Área Total ; Linha Mãe ;;;CORTE DE SOQUEIRA;;;;;ENLEIRAMENTO PALHA;;;;;MOTOBOMBA - VINHAÇA C.SOCA;;;;;MOTOBOMBA - VINHAÇA PLANTIO;;;;;MOTOBOMBA - SALVAMENTO;;;;;PIVÔ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Qtde Turno;#; 3,00 ;;;Qtde Turno;#; 3,00 ; 3,00 ; 3,00 ; 3,00 ;;;Qtde Turno;#; 3,00 ; 3,00 ; 3,00 ; 3,00 ;;;Qtde Turno;#; 3,00 ; 3,00 ; 3,00 ;;;Qtde Turno;#; 3,00 ;;;Qtde Turno;#; 3,00 ;;;Qtde Turno;#; 3,00 ; 3,00 ; 3,00 ;;;Qtde Turno;#; 3,00 ;;;Qtde Turno;#; 3,00 ;;;Qtde Turno;#; 3,00 ;;;Qtde Turno;#; 3,00 ; 3,00 ; 3,00 ;;;Qtde Turno;#; 3,00 ; 3,00 ; 3,00 ; 3,00 ; 3,00 ;;;Qtde Turno;#; 3,00 ; 3,00 ;;;Qtde Turno;#; 3,00 ; 3,00 ;;;Qtde Turno;#; 3,00 ; 3,00 ;;;Qtde Turno;#; 3,00 ; 3,00 ;;;Qtde Turno;#; 3,00 ;;;Qtde Turno;#; 1,00 ;;;Qtde Turno;#; 3,00 ;;;Qtde Turno;#; 3,00 ;;;Qtde Turno;#; 3,00 ;;;Qtde Turno;#; 3,00 ;;;;;;;;
Turno;hr; 8,00 ;;;Turno;hr; 8,00 ; 8,00 ; 8,00 ; 8,00 ;;;Turno;hr; 8,00 ; 8,00 ; 8,00 ; 8,00 ;;;Turno;hr; 8,00 ; 8,00 ; 8,00 ;;;Turno;hr; 8,00 ;;;Turno;hr; 8,00 ;;;Turno;hr; 8,00 ; 8,00 ; 8,00 ;;;Turno;hr; 8,00 ;;;Turno;hr; 8,00 ;;;Turno;hr; 8,00 ;;;Turno;hr; 8,00 ; 8,00 ; 8,00 ;;;Turno;hr; 8,00 ; 8,00 ; 8,00 ; 8,00 ; 8,00 ;;;Turno;hr; 8,00 ; 8,00 ;;;Turno;hr; 8,00 ; 8,00 ;;;Turno;hr; 8,00 ; 8,00 ;;;Turno;hr; 8,00 ; 8,00 ;;;Turno;hr; 8,00 ;;;Turno;hr; 10,00 ;;;Turno;hr; 8,00 ;;;Turno;hr; 8,00 ;;;Turno;hr; 8,00 ;;;Turno;hr; 8,00 ;;;;;;;;
TEMPO TOTAL;hr; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ; 24,00 ; 24,00 ; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ; 24,00 ; 24,00 ; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ; 24,00 ; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ; 24,00 ; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ; 24,00 ; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ; 24,00 ; 24,00 ; 24,00 ; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ;;;TEMPO TOTAL;hr; 10,00 ;;;TEMPO TOTAL;hr; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ;;;TEMPO TOTAL;hr; 24,00 ;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MANUTENÇÃO;hr; 4,80 ;;;MANUTENÇÃO;hr; 4,80 ; 4,80 ; 4,80 ; 4,80 ;;;MANUTENÇÃO;hr; 3,60 ; 3,60 ; 3,60 ; 3,60 ;;;MANUTENÇÃO;hr; 4,80 ; 4,80 ; 4,80 ;;;MANUTENÇÃO;hr; 4,80 ;;;MANUTENÇÃO;hr; 4,80 ;;;MANUTENÇÃO;hr; 3,60 ; 3,60 ; 3,60 ;;;MANUTENÇÃO;hr; 3,60 ;;;MANUTENÇÃO;hr; 4,80 ;;;MANUTENÇÃO;hr; 3,60 ;;;MANUTENÇÃO;hr; 4,80 ; 4,80 ; 4,80 ;;;MANUTENÇÃO;hr; 3,60 ; 3,60 ; 3,60 ; 3,60 ; 3,60 ;;;MANUTENÇÃO;hr; 7,20 ; 7,20 ;;;MANUTENÇÃO;hr; 4,80 ; 4,80 ;;;MANUTENÇÃO;hr; 4,80 ; 4,80 ;;;MANUTENÇÃO;hr; 4,80 ; 4,80 ;;;MANUTENÇÃO;hr; 3,60 ;;;MANUTENÇÃO;hr; 1,00 ;;;MANUTENÇÃO;hr; 3,60 ;;;MANUTENÇÃO;hr; 3,60 ;;;MANUTENÇÃO;hr; 3,60 ;;;MANUTENÇÃO;hr; 3,60 ;;;;;;;;
Manutenção;%;20%;;;Manutenção;%;20%;20%;20%;20%;;;Manutenção;%;15%;15%;15%;15%;;;Manutenção;%;20%;20%;20%;;;Manutenção;%;20%;;;Manutenção;%;20%;;;Manutenção;%;15%;15%;15%;;;Manutenção;%;15%;;;Manutenção;%;20%;;;Manutenção;%;15%;;;Manutenção;%;20%;20%;20%;;;Manutenção;%;15%;15%;15%;15%;15%;;;Manutenção;%;30%;30%;;;Manutenção;%;20%;20%;;;Manutenção;%;20%;20%;;;Manutenção;%;20%;20%;;;Manutenção;%;15%;;;Manutenção;%;10%;;;Manutenção;%;15%;;;Manutenção;%;15%;;;Manutenção;%;15%;;;Manutenção;%;15%;;;;;;;;
;;80%;;;;;80%;80%;80%;80%;;;;;85%;85%;85%;85%;;;;;80%;80%;80%;;;;;80%;;;;;80%;;;;;85%;85%;85%;;;;;85%;;;;;80%;;;;;85%;;;;;80%;80%;80%;;;;;85%;85%;85%;85%;85%;;;;;70%;70%;;;;;80%;80%;;;;;80%;80%;;;;;80%;80%;;;;;;;;;;90%;;;;;85%;;;;;85%;;;;;85%;;;;;85%;;;;;;;;
PARADAS MOTOR DESLIG;hr; 4,70 ;;;PARADAS MOTOR DESLIG;hr; 4,46 ; 4,46 ; 4,46 ; 4,46 ;;;PARADAS MOTOR DESLIG;hr; 4,20 ; 4,20 ; 4,20 ; 4,20 ;;;PARADAS MOTOR DESLIG;hr; 4,30 ; 4,40 ; 4,30 ;;;PARADAS MOTOR DESLIG;hr; 4,55 ;;;PARADAS MOTOR DESLIG;hr; 4,55 ;;;PARADAS MOTOR DESLIG;hr; 3,60 ; 3,60 ; 3,60 ;;;PARADAS MOTOR DESLIG;hr; 3,60 ;;;PARADAS MOTOR DESLIG;hr; 8,50 ;;;PARADAS MOTOR DESLIG;hr; 6,35 ;;;PARADAS MOTOR DESLIG;hr; 4,20 ; 4,20 ; 4,20 ;;;PARADAS MOTOR DESLIG;hr; 4,20 ; 4,20 ; 4,20 ; 4,20 ; 4,20 ;;;PARADAS MOTOR DESLIG;hr; 5,59 ; 5,59 ;;;PARADAS MOTOR DESLIG;hr; 3,70 ; 3,70 ;;;PARADAS MOTOR DESLIG;hr; 4,00 ; 4,00 ;;;PARADAS MOTOR DESLIG;hr; 4,30 ; 4,30 ;;;PARADAS MOTOR DESLIG;hr; 4,00 ;;;PARADAS MOTOR DESLIG;hr; 4,00 ;;;PARADAS MOTOR DESLIG;hr; 4,30 ;;;PARADAS MOTOR DESLIG;hr; 3,60 ;;;PARADAS MOTOR DESLIG;hr; 2,90 ;;;PARADAS MOTOR DESLIG;hr; -   ;;;;;;;;
Refeição;hr; 3,00 ;;;Refeição;hr; 3,00 ; 3,00 ; 3,00 ; 3,00 ;;;Refeição;hr; 3,00 ; 3,00 ; 3,00 ; 3,00 ;;;Refeição;hr; 3,00 ; 3,00 ; 3,00 ;;;Refeição;hr; 3,00 ;;;Refeição;hr; 3,00 ;;;Refeição;hr; 3,00 ; 3,00 ; 3,00 ;;;Refeição;hr; 3,00 ;;;Refeição;hr; 3,00 ;;;Refeição;hr; 3,00 ;;;Refeição;hr; 3,00 ; 3,00 ; 3,00 ;;;Refeição;hr; 3,00 ; 3,00 ; 3,00 ; 3,00 ; 3,00 ;;;Refeição;hr; 3,00 ; 3,00 ;;;Refeição;hr; 3,00 ; 3,00 ;;;Refeição;hr; 3,00 ; 3,00 ;;;Refeição;hr; 3,00 ; 3,00 ;;;Refeição;hr; 3,00 ;;;Refeição;hr; 3,00 ;;;Refeição;hr; -   ;;;Refeição;hr; -   ;;;Refeição;hr; -   ;;;Refeição;hr; -   ;;;;;;;;
