Equipamento;Frente;Fazenda;Data de Alocação;Data Chegada;Entrada Cana;Distância;Tipo de Carga;Tempo Ida;Tempo Carregamento;Tempo Volta;Tempo Industria;Tempo Total;Start Automático;Gravação Automática;Tipo de Alocação;Unidade Destino;Mensagem Alocação;Carretas Entrada;Data Pesagem Entrada;Moído Entrada;Carretas Saída;Data Saída Carreta;Última Basculada Saída;Data Carregamento;Fazenda Carregamento;Tonelada Carregada;Código Transbordo
308377;200;;14/04/2026 11:39:48;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308395;200;;14/04/2026 11:39:53;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308381;2;10337;14/04/2026 11:39:41;14/04/2026 14:32:50;1162617;29.91;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:54:00;00:48:00;01:08:00;20:02:24;22:52:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308382;2;10337;14/04/2026 11:40:05;14/04/2026 14:57:38;1162618;29.91;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:56:00;01:20:00;01:00:00;19:35:24;22:51:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308404;2;10337;14/04/2026 11:42:06;14/04/2026 14:13:29;1162616;29.91;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:57:00;00:31:00;01:03:00;17:24:36;19:55:36;N;N;VIAGEM ;50;S;;;;;;;;;;
308383;200;;14/04/2026 12:06:47;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308377;200;;14/04/2026 12:31:20;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308377;200;;14/04/2026 12:35:21;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308377;200;;14/04/2026 12:39:18;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308377;200;;14/04/2026 12:49:14;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308395;200;;14/04/2026 13:03:16;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308377;2;10337;14/04/2026 13:49:42;14/04/2026 16:38:31;1162619;29.91;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:16:00;00:15:00;01:14:00;17:15:00;20:00:00;S;N;VIAGEM ;50;S;;;;;;;;;;
308383;2;10337;14/04/2026 15:27:54;14/04/2026 17:54:36;1162620;29.91;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:06:00;00:17:00;01:02:00;17:03:00;19:28:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308395;27;30493;15/04/2026 08:15:45;15/04/2026 13:23:35;1162666;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);02:08:00;00:35:00;02:21:00;00:17:24;05:21:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308401;27;30493;15/04/2026 09:29:56;15/04/2026 14:21:47;0;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:59:00;00:54:00;01:56:00;06:03:36;10:52:36;N;N;VIAGEM ;50;S;;;;;;;;;;
308367;27;30493;15/04/2026 09:30:50;;0;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;-;-;N;N;VIAGEM ;50;N;;;;;;;;;;
308378;4;20432;15/04/2026 09:36:58;15/04/2026 11:27:49;1162660;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:43:00;00:26:00;00:43:00;01:12:36;03:04:36;S;N;VIAGEM ;50;S;;;;;;;;;;
308367;1;20320;15/04/2026 10:00:51;15/04/2026 12:21:35;1162662;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;01:19:48;01:19:48;N;N;VIAGEM ;50;N;;;;;;;;;;
308377;27;30493;15/04/2026 10:04:13;15/04/2026 16:03:42;1162675;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;05:08:24;05:08:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308371;10;20713;15/04/2026 10:07:10;15/04/2026 13:00:01;1162664;10.25;19-CAVALO MECÂNICO  (TERCEIRO 3 CARRETAS);-;-;-;00:22:12;00:22:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308381;4;20432;15/04/2026 10:36:54;15/04/2026 12:15:30;1162661;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:47:00;00:10:00;00:39:00;00:25:12;02:01:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308404;1;20320;15/04/2026 10:40:01;15/04/2026 12:39:36;1162663;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:35:00;00:51:00;00:32:00;00:11:24;02:09:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308361;1;20320;15/04/2026 10:53:14;15/04/2026 13:13:52;1162665;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:40:00;01:04:00;00:35:00;01:01:48;03:20:48;S;N;VIAGEM ;50;S;;;;;;;;;;
308373;27;30493;15/04/2026 10:56:22;15/04/2026 18:37:17;0;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;02:04:48;02:04:48;S;N;VIAGEM ;50;S;;;;;;;;;;
308382;4;20432;15/04/2026 10:56:56;;0;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;-;-;N;N;VIAGEM ;50;S;;;;;;;;;;
308383;4;20432;15/04/2026 10:59:28;15/04/2026 13:29:22;1162772;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:30:00;00:36:00;01:23:00;02:18:00;04:47:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308400;27;30493;15/04/2026 11:00:57;16/04/2026 02:13:19;1163106;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;00:30:36;-;N;N;VIAGEM ;50;S;;;;;;;;;;
308375;200;;15/04/2026 11:03:56;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308375;4;20432;15/04/2026 11:12:08;15/04/2026 17:13:30;1162679;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;03:09:00;03:09:00;S;N;VIAGEM ;50;S;;;;;;;;;;
308379;4;20432;15/04/2026 11:48:48;15/04/2026 17:29:15;1162681;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;01:20:24;01:20:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308369;1;20320;15/04/2026 11:49:28;15/04/2026 13:37:36;1162669;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:34:00;00:42:00;00:30:00;00:17:24;02:03:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308398;200;;15/04/2026 11:55:58;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308380;200;;15/04/2026 11:56:41;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308405;200;;15/04/2026 11:59:03;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308368;200;;15/04/2026 11:59:28;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308403;200;;15/04/2026 12:47:24;;;;;-;-;-;-;-;N;;PÁTIO ;;N;;;;;;;;;;
308378;200;;15/04/2026 12:56:14;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308403;200;;15/04/2026 12:57:51;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308381;200;;15/04/2026 12:57:57;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
308404;200;;15/04/2026 12:58:39;;;;;-;-;-;-;-;N;;PÁTIO ;;N;;;;;;;;;;
308398;4;20432;15/04/2026 12:03:23;15/04/2026 17:29:52;1162690;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;04:13:12;04:13:12;S;N;VIAGEM ;50;S;;;;;;;;;;
308380;1;20320;15/04/2026 12:05:48;15/04/2026 13:57:23;1162670;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:33:00;00:47:00;00:30:00;15:27:36;17:17:36;S;N;VIAGEM ;50;S;;;;;;;;;;
