Equipamento;Frente;Fazenda;Data de Alocação;Data Chegada;Distância;Tempo Ida;Tempo Carregamento;Tempo Volta;Tempo Industria;Tempo Total
308364;200;;05/04/2026 07:16;;;-;-;-;-;-
308378;3;20306;05/04/2026 07:01;05/04/2026 11:26;31;-;-;-;01:23:24;01:23:24
308375;4;20315;05/04/2026 07:19;;1.84;-;-;-;-;-
308366;1;20305;05/04/2026 07:30;05/04/2026 10:59;11.59;00:41:00;02:13:00;00:33:00;01:04:12;04:31:12
308384;4;20315;05/04/2026 07:35;05/04/2026 08:18;1.84;00:12:00;00:24:00;00:07:00;00:24:36;01:07:36
308384;200;;05/04/2026 07:31;;;-;-;-;-;-
308398;200;;05/04/2026 07:35;;;-;-;-;-;-
308398;1;20305;05/04/2026 07:40;05/04/2026 11:56;11.59;-;-;-;00:28:12;00:28:12
308379;200;;05/04/2026 07:47;;;-;-;-;-;-
308379;3;20306;05/04/2026 08:00;05/04/2026 12:04;31;-;-;-;01:15:36;01:15:36
308367;1;20305;05/04/2026 08:13;;11.59;-;-;-;-;-
308400;3;20306;05/04/2026 08:13;05/04/2026 12:13;31;01:44:00;01:10:00;01:05:00;00:16:12;04:15:12
308377;4;20315;05/04/2026 08:15;;1.84;-;-;-;-;-
308364;4;20315;05/04/2026 08:16;05/04/2026 09:04;1.84;00:06:00;00:33:00;00:06:00;00:19:48;01:04:48
308380;1;20305;05/04/2026 08:36;05/04/2026 12:22;11.59;00:47:00;02:24:00;00:35:00;00:22:12;04:08:12
308404;10;20713;05/04/2026 08:38;05/04/2026 10:19;10.25;00:30:00;00:45:00;00:25:00;00:17:24;01:57:24
308377;3;20306;05/04/2026 08:38;05/04/2026 14:00;31;-;-;-;01:08:24;01:08:24
308375;4;20315;05/04/2026 08:55;05/04/2026 09:35;1.84;00:16:00;00:16:00;00:03:00;00:20:24;00:55:24
308368;1;20305;05/04/2026 08:55;05/04/2026 12:54;11.59;-;-;-;00:27:36;00:27:36
308363;3;20306;05/04/2026 08:55;05/04/2026 14:37;31;-;-;-;01:32:24;01:32:24
308365;200;;05/04/2026 09:43;;;-;-;-;-;-
308384;200;;05/04/2026 09:00;;;-;-;-;-;-
308384;2;10311;05/04/2026 09:05;05/04/2026 18:27;24.49;-;-;-;00:23:24;00:23:24
308382;2;10311;05/04/2026 09:06;05/04/2026 12:25;24.49;-;-;-;00:31:48;00:31:48
308367;1;20305;05/04/2026 09:06;05/04/2026 09:16;11.59;-;-;-;-;-
308367;200;;05/04/2026 09:01;;;-;-;-;-;-
308381;2;10311;05/04/2026 09:07;05/04/2026 13:53;24.49;-;-;-;00:16:48;00:16:48
308395;1;20305;05/04/2026 09:16;05/04/2026 13:24;11.59;-;-;-;00:15:00;00:15:00
308361;3;20306;05/04/2026 09:18;;31;-;-;-;-;-
308361;4;20315;05/04/2026 09:22;05/04/2026 10:05;1.84;00:09:00;00:26:00;00:05:00;01:02:24;01:42:24
308373;200;;05/04/2026 09:19;;;-;-;-;-;-
308373;1;20305;05/04/2026 09:27;05/04/2026 14:00;11.59;-;-;-;00:28:48;00:28:48
308401;27;30527;05/04/2026 09:28;05/04/2026 17:24;24.5;-;-;-;07:13:48;07:13:48
308364;4;20315;05/04/2026 09:37;05/04/2026 10:29;1.84;00:11:00;00:33:00;00:06:00;00:33:00;01:23:00
308365;200;;05/04/2026 10:01;;;-;-;-;-;-
