CD_SAFRA;FAZENDA;AMBIENTE;VARIEDADE;CORTE;AREA_HA;TON_CANA;KG_ACUCAR;TCH;ATR;TAH_LINHA
22122;Laranjeira Industria;Ambiente C;RB92579;4;4,69;233,93;33.219,16;49,88;142,00;7,08
22223;Laranjeira Industria;Ambiente C;RB92579;5;4,69;423,18;57.457,63;90,23;135,78;12,25
22324;Laranjeira Industria;Ambiente C;RB92579;6;4,69;97,67;12.583,78;20,83;128,84;2,68
22122;Laranjeira Industria;Ambiente C;RB92579;4;1,88;92,91;13.192,98;49,42;142,00;7,02
22223;Laranjeira Industria;Ambiente C;RB92579;5;1,88;170,82;23.193,20;90,86;135,78;12,34
22324;Laranjeira Industria;Ambiente C;RB92579;6;1,88;39,48;5.086,75;21,00;128,84;2,71
22122;Laranjeira Industria;Ambiente C;RB92579;4;1,19;59,74;8.483,57;50,20;142,00;7,13
22223;Laranjeira Industria;Ambiente C;RB92579;5;1,19;108,73;14.763,38;91,37;135,78;12,41
22324;Laranjeira Industria;Ambiente C;RB92579;6;1,19;24,95;3.213,97;20,96;128,84;2,70
22122;Laranjeiras;Ambiente C;RB92579;5;13,63;397,84;54.527,02;29,19;137,06;4,00
22122;Laranjeiras;Ambiente C;RB92579;4;8,93;260,85;35.751,85;29,21;137,06;4,00
22122;Laranjeiras;Ambiente C;RB92579;4;4,84;141,39;19.378,50;29,21;137,06;4,00
22122;Laranjeiras;Ambiente B;RB92579;4;3,55;52,24;6.055,63;14,72;115,91;1,71
22122;Laranjeiras;Ambiente B;RB92579;4;8,43;121,92;14.132,40;14,46;115,91;1,68
22122;Laranjeiras;Ambiente B;RB92579;4;2,45;36,28;4.205,15;14,81;115,91;1,72
22122;Laranjeiras;Ambiente B;RB92579;5;8,75;127,73;14.805,47;14,60;115,91;1,69
22122;Laranjeiras;Ambiente B;RB92579;5;4,78;69,67;8.075,09;14,57;115,91;1,69
22122;Laranjeiras;Ambiente C;RB92579;4;4,53;65,31;7.570,40;14,42;115,91;1,67
22223;Laranjeiras;Ambiente C;RB92579;5;3,41;168,14;22.379,28;49,31;133,10;6,56
22122;Laranjeiras;Ambiente C;RB92579;4;8,11;117,57;13.627,47;14,50;115,91;1,68
22223;Laranjeiras;Ambiente C;RB92579;5;6,99;313,97;41.553,36;44,92;132,35;5,94
22122;Laranjeiras;Ambiente D;RB92579;5;3,84;202,45;25.981,22;52,72;128,34;6,77
22223;Laranjeiras;Ambiente D;RB92579;6;2,72;149,79;19.982,19;55,07;133,41;7,35
22122;Laranjeiras;Ambiente D;RB92579;4;3,91;206,67;26.522,93;52,86;128,34;6,78
22223;Laranjeiras;Ambiente D;RB92579;5;2,79;152,71;20.367,10;54,74;133,37;7,30
22122;Laranjeiras;Ambiente C;RB92579;4;0,73;14,75;1.893,21;20,21;128,34;2,59
22122;Laranjeiras;Ambiente C;RB92579;4;10,32;217,21;27.875,72;21,05;128,34;2,70
22122;Laranjeiras;Ambiente C;RB92579;4;6,19;130,80;16.786,38;21,13;128,34;2,71
22122;Laranjeiras;Ambiente B;RB92579;4;6,96;31,65;4.165,18;4,55;131,60;0,60
22122;Laranjeiras;Ambiente C;RB92579;4;1,25;99,55;13.959,75;79,64;140,23;11,17
22122;Laranjeiras;Ambiente C;RB92579;4;2,67;206,77;28.996,06;77,44;140,23;10,86
22122;Laranjeiras;Ambiente C;RB92579;4;1,75;137,85;19.330,94;78,77;140,23;11,05
22122;Laranjeiras;Ambiente C;RB92579;4;2,23;168,48;23.625,71;75,55;140,23;10,59
22122;Laranjeiras;Ambiente C;RB92579;4;3,96;306,40;42.967,02;77,37;140,23;10,85
22122;Laranjeiras;Ambiente C;RB92579;5;1,45;21,76;2.522,47;15,01;115,91;1,74
22122;Laranjeiras;Ambiente C;RB92579;5;1,40;20,31;2.354,08;14,51;115,91;1,68
22122;Laranjeiras;Ambiente C;RB92579;5;1,69;24,66;2.858,88;14,59;115,91;1,69
22122;Laranjeiras;Ambiente C;RB92579;5;0,59;8,70;1.007,81;14,74;115,91;1,71
22122;Laranjeiras;Ambiente B;RB92579;5;0,87;13,05;1.512,98;15,00;115,91;1,74
22122;Laranjeiras;Ambiente B;RB92579;5;2,19;31,92;3.699,87;14,57;115,91;1,69
22122;Laranjeiras;Ambiente B;RB92579;5;1,26;18,86;2.185,93;14,97;115,92;1,73
22122;Laranjeiras;Ambiente B;RB92579;5;1,16;17,41;2.017,42;15,00;115,91;1,74
22122;Laranjeiras;Ambiente B;RB92579;5;0,91;13,05;1.512,98;14,34;115,91;1,66
22122;Laranjeiras;Ambiente B;RB92579;5;1,08;15,95;1.849,03;14,77;115,91;1,71
22122;Laranjeiras;Ambiente B;RB92579;5;0,43;5,79;671,51;13,47;115,92;1,56
22122;Laranjeiras;Ambiente B;RB92579;5;0,36;6,05;700,74;16,81;115,82;1,95
22122;Estância Pitanga;Ambiente D;RB975033;2;8,08;558,01;82.457,15;69,06;147,77;10,21
22223;Estância Pitanga;Ambiente D;RB975033;3;8,14;270,33;33.557,98;33,21;124,14;4,12
22122;Estância Pitanga;Ambiente D;CTC9001;2;9,35;668,34;98.760,37;71,48;147,77;10,56
22223;Estância Pitanga;Ambiente D;CTC9001;3;9,35;311,11;38.619,63;33,27;124,14;4,13
22122;Estância Pitanga;Ambiente D;CTC9001;2;1,11;79,01;11.675,05;71,18;147,77;10,52
22223;Estância Pitanga;Ambiente D;CTC9001;3;1,14;37,50;4.655,36;32,90;124,14;4,08
22122;Estância Pitanga;Ambiente D;CTC9001;2;2,72;194,86;28.794,13;71,64;147,77;10,59
22223;Estância Pitanga;Ambiente D;CTC9001;3;2,72;116,90;14.511,15;42,98;124,14;5,33
22122;Estância Pitanga;Ambiente D;RB975033;2;14,83;1.121,61;165.740,19;75,63;147,77;11,18
22223;Estância Pitanga;Ambiente D;RB975033;3;14,92;992,44;123.198,20;66,52;124,14;8,26
22223;Estância Pitanga;Ambiente D;RB975033;3;6,04;200,59;24.900,48;33,21;124,14;4,12
22122;Estância Pitanga;Ambiente D;RB975033;2;14,09;1.065,85;157.500,65;75,65;147,77;11,18
22223;Estância Pitanga;Ambiente D;RB975033;3;18,78;1.087,94;135.052,33;57,93;124,14;7,19
22223;Estância Pitanga;Ambiente D;RB975033;3;8,40;378,71;47.011,24;45,08;124,14;5,60
22223;Estância Pitanga;Ambiente D;RB975033;3;6,64;299,77;37.212,79;45,15;124,14;5,60
22122;Fazenda Laranjeiras1;Ambiente C;RB92579;4;17,70;180,99;24.963,57;10,23;137,92;1,41
22122;Fazenda Laranjeiras1;Ambiente D;RB92579;4;8,02;81,79;11.280,57;10,20;137,92;1,41
22122;Fazenda Laranjeiras1;Ambiente D;RB92579;4;8,52;86,90;11.986,26;10,20;137,93;1,41
22122;Fazenda Laranjeiras1;Ambiente D;RB92579;4;4,47;46,00;6.344,56;10,29;137,93;1,42
