FAZENDA;C1;C2;C3;C4;C5;C6;C7;MEDIA;CORTES_COM_DADO;AREA_TOTAL_HA;TAH_GERAL
Sitio Boa Esperanca (Ricardo);17,41;0,00;0,00;0,00;0,00;0,00;0,00;17,41;1,00;12,55;17,41
Fazenda Isadora - Lerosa;16,10;0,00;0,00;0,00;0,00;0,00;0,00;16,10;1,00;66,81;16,10
Fazenda Laranjeiras-Lote4QuadraA-Lerosa;16,04;0,00;0,00;0,00;0,00;0,00;0,00;16,04;1,00;31,01;16,04
Fazenda Astorga;23,16;15,95;7,77;0,00;0,00;0,00;0,00;15,62;3,00;268,98;15,62
Fazenda Água do Valão;22,59;14,18;9,87;0,00;0,00;0,00;0,00;15,55;3,00;462,82;15,58
Sitio Ebenezer;19,15;15,99;11,10;0,00;0,00;0,00;0,00;15,41;3,00;110,71;15,44
Fazenda São Roque II;21,69;15,19;9,12;0,00;0,00;0,00;0,00;15,33;3,00;157,20;15,33
Fazenda Bandeirantes I;13,52;16,11;0,00;0,00;0,00;0,00;0,00;14,82;2,00;356,12;14,82
Sitio São Pedro;18,21;14,17;11,77;0,00;0,00;0,00;0,00;14,72;3,00;48,55;14,67
Sitio Boa Esperanca;0,00;22,49;11,53;9,86;0,00;0,00;0,00;14,63;3,00;91,99;13,98
Fazenda Santa Terezinha - GbA e B;14,48;0,00;0,00;0,00;0,00;0,00;0,00;14,48;1,00;147,61;14,48
Fazenda Laranjeiras 3;16,33;12,31;14,72;0,00;0,00;0,00;0,00;14,45;3,00;275,98;14,46
Sitio Sao Joao;14,02;17,93;12,34;13,37;0,00;0,00;0,00;14,41;4,00;210,41;14,39
Fazenda São Geraldo - Lerosa;13,96;0,00;0,00;0,00;0,00;0,00;0,00;13,96;1,00;71,79;13,96
Sítio Isadora;15,24;16,66;12,11;10,26;0,00;0,00;0,00;13,57;4,00;176,28;12,76
Fazenda Laranjeiras 4;15,49;12,59;12,06;0,00;0,00;0,00;0,00;13,38;3,00;167,78;13,38
Fazenda André Luiz;12,70;17,35;10,79;10,75;0,00;0,00;0,00;12,90;4,00;731,76;12,90
Fazenda do Retiro;18,57;13,57;14,65;0,00;4,34;0,00;0,00;12,78;4,00;516,42;12,80
Setor/Lote A-15 Faz. S. Domingos|St. S. Domingos|Est.Guaporé;12,74;0,00;0,00;0,00;0,00;0,00;0,00;12,74;1,00;107,20;12,74
Lote 4 - Quadra L - Sitio do Herculano;14,04;13,66;10,20;0,00;0,00;0,00;0,00;12,63;3,00;30,08;12,64
Fazenda São Domingos II;12,40;12,81;0,00;0,00;0,00;0,00;0,00;12,60;2,00;172,94;12,60
Fazenda Santa Maria - Lerosa;12,42;0,00;0,00;0,00;0,00;0,00;0,00;12,42;1,00;47,28;12,42
Fazenda Nossa Senhora das Graças;16,61;7,30;13,41;14,33;9,90;0,00;0,00;12,31;5,00;879,76;12,50
Fazenda Três Irmãos;10,85;17,36;10,45;9,61;13,10;0,00;0,00;12,28;5,00;189,66;12,44
Fazenda Santa Irene IV;12,59;16,25;11,34;10,57;10,38;0,00;0,00;12,22;5,00;659,53;12,66
Fazenda Laranjeiras-Lote1QuadraH-Lerosa;12,20;0,00;0,00;0,00;0,00;0,00;0,00;12,20;1,00;5,89;12,20
Estância São Lucas (Fabiano);12,13;0,00;0,00;0,00;0,00;0,00;0,00;12,13;1,00;91,13;12,13
Estancia Sao Geraldo;11,93;13,10;11,26;0,00;0,00;0,00;0,00;12,09;3,00;64,14;12,09
Fazenda Santa Irene;13,53;16,67;10,47;7,68;0,00;0,00;0,00;12,09;4,00;1.340,09;12,09
Fazenda Estrela - Atvos;12,07;0,00;0,00;0,00;0,00;0,00;0,00;12,07;1,00;17,44;12,07
Fazenda Bonanza I;11,19;17,85;0,00;13,87;5,02;0,00;0,00;11,98;4,00;59,54;12,00
Estancia Pedrini (Fabiano);11,37;12,39;0,00;0,00;0,00;0,00;0,00;11,88;2,00;262,88;11,84
Sitio Primavera (126020);0,00;0,00;0,00;0,00;0,00;11,80;0,00;11,80;1,00;4,50;11,80
Fazenda Pederneiras II (Fabiano);11,55;0,00;0,00;0,00;0,00;0,00;0,00;11,55;1,00;56,26;11,55
Fazenda Renascer;11,72;11,33;0,00;0,00;0,00;0,00;0,00;11,52;2,00;888,19;11,52
Lote 3 Quadra L - Sítio São Jorge;12,28;8,15;13,96;0,00;0,00;0,00;0,00;11,46;3,00;49,98;11,46
