AMBIENTE;RANK;VARIEDADE;AREA_HA;TCH;ATR;TAH;CORTES_COM_DADO;OBS
A Definir;1;RB975201;53,23;110,69;132,92;14,71;2,00;Variedade vetada RB975242 excluída da recomendação
A Definir;2;RB985476;73,06;95,00;142,16;13,50;2,00;
A Definir;3;CV0470;138,58;89,88;135,64;12,19;2,00;
A Definir;4;RB966928;368,08;86,18;139,24;12,00;5,00;
A Definir;5;IAC87-3396;296,86;82,32;143,77;11,84;6,00;
Ambiente A;1;RB975201;96,41;121,11;153,00;18,53;1,00;Variedade vetada RB975242 excluída da recomendação
Ambiente A;2;RB988082;50,74;119,44;138,77;16,58;1,00;
Ambiente A;3;CTC9007;45,46;129,70;122,73;15,92;2,00;
Ambiente A;4;CTC9001;85,16;104,03;144,95;15,08;4,00;
Ambiente A;5;CTC9001BT;106,96;98,03;145,47;14,26;4,00;
Ambiente B;1;CTC2994;13,47;133,01;129,92;17,28;1,00;Variedade vetada RB975242 excluída da recomendação
Ambiente B;2;RB988082;43,34;129,45;125,74;16,28;1,00;
Ambiente B;3;RB975201;89,86;118,78;127,51;15,15;1,00;
Ambiente B;4;RB975952;90,82;102,71;132,22;13,58;2,00;
Ambiente B;5;CTC9007;537,48;99,51;133,29;13,26;4,00;
Ambiente C;1;CTC9003BT;39,39;152,46;121,80;18,57;1,00;Variedade vetada RB975242 excluída da recomendação
Ambiente C;2;RB988082;167,71;114,32;131,83;15,07;3,00;
Ambiente C;3;IACSP04-6007;40,20;98,23;145,28;14,27;2,00;
Ambiente C;4;CTC9003;334,69;107,81;130,91;14,11;4,00;
Ambiente C;5;RB975952;631,39;106,79;128,88;13,76;4,00;
Ambiente D;1;RB127825;215,30;119,84;133,40;15,99;1,00;Variedade vetada RB975242 excluída da recomendação
Ambiente D;2;RB975162;55,90;103,70;152,54;15,82;3,00;
Ambiente D;3;CTC9007;466,19;112,89;129,54;14,62;3,00;
Ambiente D;4;CTC9004;91,08;109,15;133,45;14,57;1,00;
Ambiente D;5;RB975952;138,67;101,71;140,31;14,27;1,00;
Ambiente E;1;RB975162;2,95;137,87;153,84;21,21;1,00;Variedade vetada RB975242 excluída da recomendação
Ambiente E;2;CTC9006;1.104,01;107,56;143,95;15,48;4,00;
Ambiente E;3;IACSP04-6007;346,75;101,92;143,85;14,66;1,00;
Ambiente E;4;CTC1007;206,52;87,29;143,54;12,53;1,00;
Ambiente E;5;IAC87-3396;132,84;85,22;145,91;12,43;4,00;
