 RANK ; FAZENDA ; AREA_HA ; TCH ; ATR ; TAH_GERAL ; CORTES_COM_DADO ; TALHOES 
 1,00 ; Sitio Boa Esperanca (Ricardo) ; 12,55 ; 111,41 ; 156,25 ; 17,41 ; 1,00 ; 3,00 
 2,00 ; Fazenda Isadora - Lerosa ; 66,81 ; 113,53 ; 141,84 ; 16,10 ; 1,00 ; 8,00 
 3,00 ; Fazenda Laranjeiras-Lote4QuadraA-Lerosa ; 31,01 ; 119,49 ; 134,20 ; 16,04 ; 1,00 ; 5,00 
 10,00 ; Fazenda Santa Terezinha - GbA e B ; 147,61 ; 109,51 ; 132,21 ; 14,48 ; 1,00 ; 8,00 
 14,00 ; Fazenda São Geraldo - Lerosa ; 71,79 ; 97,88 ; 142,63 ; 13,96 ; 1,00 ; 5,00 
 19,00 ; Setor/Lote A-15 Faz. S. Domingos|St. S. Domingos|Est.Guaporé ; 107,20 ; 95,70 ; 133,11 ; 12,74 ; 1,00 ; 10,00 
 28,00 ; Fazenda Santa Maria - Lerosa ; 47,28 ; 85,87 ; 144,62 ; 12,42 ; 1,00 ; 5,00 
 29,00 ; Fazenda Laranjeiras-Lote1QuadraH-Lerosa ; 5,89 ; 107,82 ; 113,15 ; 12,20 ; 1,00 ; 1,00 
 30,00 ; Estância São Lucas (Fabiano) ; 91,13 ; 84,28 ; 143,93 ; 12,13 ; 1,00 ; 2,00 
 33,00 ; Fazenda Estrela - Atvos ; 17,44 ; 121,69 ; 99,19 ; 12,07 ; 1,00 ; 4,00 
 37,00 ; Sitio Primavera (126020) ; 4,50 ; 93,44 ; 126,31 ; 11,80 ; 1,00 ; 1,00 
 39,00 ; Fazenda Pederneiras II (Fabiano) ; 56,26 ; 104,18 ; 110,89 ; 11,55 ; 1,00 ; 3,00 
 62,00 ; Sitio Santa Catarina (Fabiano) ; 2,00 ; 114,62 ; 91,33 ; 10,47 ; 1,00 ; 1,00 
 68,00 ; Setor/Lote E-43 Fazenda Jatay ; 31,38 ; 70,01 ; 147,47 ; 10,32 ; 1,00 ; 3,00 
 80,00 ; Fazenda São Jorge (Fabiano) ; 118,84 ; 83,78 ; 118,93 ; 9,96 ; 1,00 ; 5,00 
 94,00 ; Fazenda Carandá (120438) ; 35,55 ; 67,83 ; 140,08 ; 9,50 ; 1,00 ; 3,00 
 99,00 ; Sitio Novo Horizonte II (129423) ; 30,00 ; 71,55 ; 129,54 ; 9,27 ; 1,00 ; 4,00 
 118,00 ; Sítio Monteiro e Sítio Boa Esperança - Alto Alegre ; 21,52 ; 76,19 ; 115,30 ; 8,79 ; 1,00 ; 2,00 
 123,00 ; Sitio Novo Horizonte (129422) ; 19,98 ; 68,39 ; 126,36 ; 8,64 ; 1,00 ; 3,00 
 179,00 ; Fazenda Triângulo (126016) ; 52,13 ; 58,49 ; 102,33 ; 5,98 ; 1,00 ; 4,00 
 198,00 ; Sítio Boa Vista ; 11,73 ; 29,75 ; 144,39 ; 4,30 ; 1,00 ; 2,00 
 200,00 ; Fazenda Santa Rita de Cassia (120110) ; 5,43 ; 27,73 ; 150,39 ; 4,17 ; 1,00 ; 1,00 
 203,00 ; Fazenda Represa e Atalaia ; 331,32 ; 30,96 ; 67,42 ; 2,09 ; 1,00 ; 5,00 
 204,00 ; Lote 2 - Quadra E ; 16,04 ; 12,86 ; 114,63 ; 1,47 ; 1,00 ; 2,00 
 8,00 ; Fazenda Bandeirantes I ; 356,12 ; 101,32 ; 146,25 ; 14,82 ; 2,00 ; 14,00 
 24,00 ; Fazenda São Domingos II ; 172,94 ; 107,56 ; 117,17 ; 12,60 ; 2,00 ; 8,00 
 36,00 ; Estancia Pedrini (Fabiano) ; 262,88 ; 85,74 ; 138,08 ; 11,84 ; 2,00 ; 10,00 
 38,00 ; Fazenda Cruzeiro do Sul (Fabiano) ; 634,61 ; 85,22 ; 136,24 ; 11,61 ; 2,00 ; 31,00 
 40,00 ; Fazenda Renascer ; 888,19 ; 85,02 ; 135,52 ; 11,52 ; 2,00 ; 36,00 
 42,00 ; Fazenda Chapada (Fabiano) ; 471,08 ; 94,27 ; 121,43 ; 11,45 ; 2,00 ; 14,00 
 59,00 ; Sitio Boa Esperança ; 25,10 ; 76,61 ; 140,45 ; 10,76 ; 2,00 ; 6,00 
 60,00 ; Fazenda Santa Virginia (Fabiano) ; 1.566,71 ; 76,05 ; 139,66 ; 10,62 ; 2,00 ; 59,00 
 81,00 ; Fazenda Bandeirantes II ; 295,90 ; 71,17 ; 139,91 ; 9,96 ; 2,00 ; 12,00 
 109,00 ; Fazenda São Carlos (Fabiano) ; 173,01 ; 58,84 ; 153,30 ; 9,02 ; 2,00 ; 11,00 
 111,00 ; Fazenda São João (Fabiano) ; 296,28 ; 67,50 ; 132,72 ; 8,96 ; 2,00 ; 18,00 
 145,00 ; Estância Pitanga ; 126,31 ; 58,45 ; 135,94 ; 7,95 ; 2,00 ; 15,00 
 153,00 ; Faz. Sao Jose/N. Sra Aparecida/Ortigao - Alto Alegre ; 51,77 ; 86,21 ; 88,73 ; 7,65 ; 2,00 ; 5,00 
 171,00 ; Lote 6 - Quadra F - Sitio São José ; 26,64 ; 51,90 ; 132,05 ; 6,85 ; 2,00 ; 4,00 
 182,00 ; Fazenda Bandeirante  ; 291,06 ; 42,54 ; 137,71 ; 5,86 ; 2,00 ; 22,00 
 184,00 ; Fazenda São Luiz III (126026) ; 132,43 ; 50,59 ; 115,02 ; 5,82 ; 2,00 ; 15,00 
 187,00 ; Sitio Sao Joao Frefer ; 294,22 ; 43,52 ; 132,70 ; 5,77 ; 2,00 ; 22,00 
 189,00 ; Sítio São Luiz  ; 44,32 ; 46,70 ; 122,44 ; 5,72 ; 2,00 ; 12,00 
 194,00 ; Fazenda Bandeirante ; 348,20 ; 36,68 ; 134,99 ; 4,95 ; 2,00 ; 66,00 
 195,00 ; Estância Pedrini ; 285,54 ; 35,10 ; 132,19 ; 4,64 ; 2,00 ; 22,00 
 197,00 ; Estância Recanto  ; 34,96 ; 32,48 ; 134,87 ; 4,38 ; 2,00 ; 8,00 
 201,00 ; Fazenda Chapada ; 234,46 ; 28,90 ; 127,57 ; 3,69 ; 2,00 ; 17,00 
 4,00 ; Fazenda Astorga ; 268,98 ; 105,03 ; 148,76 ; 15,62 ; 3,00 ; 12,00 
 5,00 ; Fazenda Água do Valão ; 462,82 ; 109,16 ; 142,75 ; 15,58 ; 3,00 ; 31,00 
 6,00 ; Sitio Ebenezer ; 110,71 ; 113,18 ; 136,38 ; 15,44 ; 3,00 ; 15,00 
 7,00 ; Fazenda São Roque II ; 157,20 ; 102,81 ; 149,15 ; 15,33 ; 3,00 ; 15,00 
