VARIEDADE;C1;C2;C3;C4;C5;C6;C7;MEDIA;CORTES_COM_DADO;AREA_TOTAL_HA;TAH_GERAL
RB127825;15,99;0,00;0,00;0,00;0,00;0,00;0,00;15,99;1,00;215,30;15,99
RB975162;17,69;15,60;13,51;0,00;0,00;0,00;0,00;15,60;3,00;58,85;16,09
CTC9003BT;16,44;16,44;12,78;8,59;0,00;0,00;0,00;13,56;4,00;224,99;14,06
CV7870;12,92;0,00;0,00;0,00;0,00;0,00;0,00;12,92;1,00;195,94;12,92
IACSP04-6007;13,81;12,94;11,97;0,00;0,00;0,00;0,00;12,90;3,00;937,33;13,52
CTC9004;14,57;0,00;0,00;11,15;0,00;0,00;0,00;12,86;2,00;95,42;14,41
CTC1007;12,62;0,00;0,00;0,00;0,00;0,00;0,00;12,62;1,00;342,49;12,62
CTC9006;15,17;13,12;11,46;11,73;9,55;0,00;0,00;12,21;5,00;6.851,24;13,80
CTC9001BT;13,55;14,84;10,52;9,73;0,00;0,00;0,00;12,16;4,00;7.111,55;12,40
CTC9007;15,48;14,17;10,49;8,20;0,00;0,00;0,00;12,08;4,00;3.412,37;13,61
RB075322;11,75;12,27;0,00;0,00;0,00;0,00;0,00;12,01;2,00;56,15;11,80
RB985476;14,89;12,62;11,68;8,60;0,00;0,00;0,00;11,95;4,00;674,12;12,70
CTC4;14,36;13,98;11,86;10,60;9,56;13,23;9,92;11,93;7,00;5.936,38;12,55
CV0470;12,74;10,32;0,00;0,00;0,00;0,00;0,00;11,53;2,00;138,58;12,19
RB988082;14,99;16,29;5,91;8,79;0,00;0,00;0,00;11,49;4,00;318,57;14,32
CTC2994;7,85;8,85;17,28;0,00;0,00;0,00;0,00;11,33;3,00;201,87;8,95
CTC9003;14,78;12,51;11,23;6,77;0,00;0,00;0,00;11,32;4,00;334,69;14,11
RB975952;14,37;13,74;10,37;6,77;0,00;0,00;0,00;11,31;4,00;919,34;13,79
CTC9001;14,85;13,74;10,77;9,44;8,17;7,91;0,00;10,81;6,00;16.175,49;11,62
IAC87-3396;12,60;15,02;11,32;9,53;8,43;7,78;8,30;10,43;7,00;1.762,59;11,44
VIVEIRO;13,48;12,54;10,01;8,75;6,92;12,32;8,83;10,41;7,00;820,33;10,94
RB975201;15,99;12,79;10,07;8,51;6,39;6,27;0,00;10,00;6,00;9.424,47;13,10
RB985517;10,24;9,96;8,68;11,06;0,00;0,00;0,00;9,98;4,00;1.544,24;9,95
RB966928;14,42;12,00;9,56;9,23;8,55;8,15;7,50;9,92;7,00;13.375,14;9,79
CTC3445;13,94;5,73;0,00;0,00;0,00;0,00;0,00;9,84;2,00;34,63;12,37
RB855156;11,46;9,56;9,65;8,23;10,73;7,02;11,81;9,78;7,00;363,77;10,08
DIVERSAS;13,57;10,88;7,85;6,09;8,64;11,95;8,37;9,62;7,00;2.327,49;8,98
RB975242;13,55;11,45;8,38;8,46;5,77;0,00;0,00;9,52;5,00;7.664,84;11,51
RB825336;9,29;0,00;0,00;0,00;0,00;0,00;0,00;9,29;1,00;156,73;9,29
RB92579;13,19;10,49;10,84;7,26;6,28;7,07;8,57;9,10;7,00;8.865,58;8,13
RB855453;0,00;0,00;0,00;0,00;0,00;0,00;9,02;9,02;1,00;49,98;9,02
IACSP95-5000;11,69;13,58;0,00;6,73;6,84;8,55;5,97;8,89;6,00;3.332,59;7,74
SP83-5073;13,99;10,24;8,73;8,09;7,31;6,80;6,65;8,83;7,00;13.680,77;8,40
SP91-1049;0,00;0,00;0,00;0,00;8,52;0,00;0,00;8,52;1,00;4,72;8,52
RB006970;7,68;8,97;0,00;0,00;0,00;0,00;0,00;8,32;2,00;17,74;8,32
RB026850;7,68;8,76;0,00;0,00;0,00;0,00;0,00;8,22;2,00;32,10;8,18
CTC9002;12,59;9,81;5,45;6,72;5,87;0,00;0,00;8,09;5,00;400,12;8,15
RB975033;10,64;10,16;8,09;6,26;6,49;6,77;0,00;8,07;6,00;1.833,63;8,52
SP83-2847;14,26;10,70;7,10;5,97;5,72;4,92;6,48;7,88;7,00;14.560,63;7,94
RB835054;0,00;9,45;3,05;6,57;7,22;11,63;0,00;7,58;5,00;120,77;7,64
RB867515;12,97;8,85;7,64;7,23;6,12;5,59;4,56;7,56;7,00;34.912,54;7,37
CTC25;0,00;0,00;0,00;0,00;6,36;8,49;0,00;7,42;2,00;34,50;7,42
CTC2;0,00;0,00;0,00;0,00;0,00;7,29;0,00;7,29;1,00;7,43;7,29
RB855536;12,09;0,00;5,21;4,50;6,65;6,19;0,00;6,93;5,00;2.121,37;5,54
CTC15;0,00;0,00;0,00;7,04;6,19;6,14;6,40;6,44;4,00;3.848,32;6,40
RB937570;0,00;0,00;0,00;5,33;5,69;6,23;6,41;5,91;4,00;710,78;5,75
IAC52-150;0,00;0,00;0,00;3,55;7,24;0,00;0,00;5,39;2,00;9,69;5,43
SP81-3250;0,00;0,00;0,00;0,00;0,00;4,40;4,07;4,24;2,00;19,86;4,14
RB935744;0,00;0,00;0,00;0,00;0,00;0,00;3,64;3,64;1,00;214,60;3,64
